STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID	QieCuoLevel
16501												
16500	newmp_wxj_rm_shp_002	5		hunterinfo_16500	1						30102	
16508												
16509	newmp_wxj_09	1		hunterinfo_16509				1	QiecuoTitle_16509	QiecuoMenu_16509	30252	0
16510	newmp_wxj_09	1		hunterinfo_16510				1	QiecuoTitle_16510	QiecuoMenu_16510	30253	5
16511	newmp_wxj_09	1		hunterinfo_16511				1	QiecuoTitle_16511	QiecuoMenu_16511	30254	10
16512	newmp_wxj_08	1		hunterinfo_16512				1	QiecuoTitle_16512	QiecuoMenu_16512	30256	0
16513	newmp_wxj_08	1		hunterinfo_16513				1	QiecuoTitle_16513	QiecuoMenu_16513	30257	5
16514	newmp_wxj_08	1		hunterinfo_16514				1	QiecuoTitle_16514	QiecuoMenu_16514	30258	10
16515	newmp_wxj_07	1		hunterinfo_16515				1	QiecuoTitle_16515	QiecuoMenu_16515	30260	0
16516	newmp_wxj_07	1		hunterinfo_16516				1	QiecuoTitle_16516	QiecuoMenu_16516	30261	5
16517	newmp_wxj_07	1		hunterinfo_16517				1	QiecuoTitle_16517	QiecuoMenu_16517	30262	10
16518	newmp_wxj_06	1		hunterinfo_16518				1	QiecuoTitle_16518	QiecuoMenu_16518	30264	0
16519	newmp_wxj_06	1		hunterinfo_16519				1	QiecuoTitle_16519	QiecuoMenu_16519	30265	5
16520	newmp_wxj_06	1		hunterinfo_16520				1	QiecuoTitle_16520	QiecuoMenu_16520	30266	10
16521	newmp_wxj_05	1		hunterinfo_16521				1	QiecuoTitle_16521	QiecuoMenu_16521	30268	0
16522	newmp_wxj_05	1		hunterinfo_16522				1	QiecuoTitle_16522	QiecuoMenu_16522	30269	5
16523	newmp_wxj_05	1		hunterinfo_16523				1	QiecuoTitle_16523	QiecuoMenu_16523	30270	10
16524	newmp_wxj_04	1		hunterinfo_16524				1	QiecuoTitle_16524	QiecuoMenu_16524	30272	0
16525	newmp_wxj_04	1		hunterinfo_16525				1	QiecuoTitle_16525	QiecuoMenu_16525	30273	5
16526	newmp_wxj_04	1		hunterinfo_16526				1	QiecuoTitle_16526	QiecuoMenu_16526	30274	10
16527	newmp_wxj_03	1		hunterinfo_16527				1	QiecuoTitle_16527	QiecuoMenu_16527	30276	0
16528	newmp_wxj_03	1		hunterinfo_16528				1	QiecuoTitle_16528	QiecuoMenu_16528	30277	5
16529	newmp_wxj_03	1		hunterinfo_16529				1	QiecuoTitle_16529	QiecuoMenu_16529	30278	10
16530	newmp_wxj_02	1		hunterinfo_16530				1	QiecuoTitle_16530	QiecuoMenu_16530	30280	0
16531	newmp_wxj_02	1		hunterinfo_16531				1	QiecuoTitle_16531	QiecuoMenu_16531	30281	5
16532	newmp_wxj_02	1		hunterinfo_16532				1	QiecuoTitle_16532	QiecuoMenu_16532	30282	10
16533	newmp_wxj_01	1		hunterinfo_16533				1	QiecuoTitle_16533	QiecuoMenu_16533	30284	0
16534	newmp_wxj_01	1		hunterinfo_16534				1	QiecuoTitle_16534	QiecuoMenu_16534	30285	5
16535	newmp_wxj_01	1		hunterinfo_16535				1	QiecuoTitle_16535	QiecuoMenu_16535	30286	10
16503	asd	1		hunterinfo_16503								
16586												
16502	newmp_wxj_glrm_03	1		hunterinfo_16502	634			1	QiecuoTitle_16502	QiecuoMenu_16502	30122	10
