STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID	QieCuoLevel
16002	wuxbsb	1		hunterinfo_16002							21412	
16001	wuxbsb	1		hunterinfo_16001	541							
16005	ssg_hd_mphz_007	1		hunterinfo_16005	573						21416	
16007	newmp_shenshui_015	1		hunterinfo_16007				1	QiecuoTitle_16007	QiecuoMenu_16007	21602	0
16008	newmp_shenshui_015	1		hunterinfo_16008				1	QiecuoTitle_16008	QiecuoMenu_16008	21603	5
16009	newmp_shenshui_015	1		hunterinfo_16009				1	QiecuoTitle_16009	QiecuoMenu_16009	21604	10
16010	newmp_shenshui_012	1		hunterinfo_16010				1	QiecuoTitle_16010	QiecuoMenu_16010	21606	0
16011	newmp_shenshui_012	1		hunterinfo_16011				1	QiecuoTitle_16011	QiecuoMenu_16011	21607	5
16012	newmp_shenshui_012	1		hunterinfo_16012				1	QiecuoTitle_16012	QiecuoMenu_16012	21608	10
16013	newmp_shenshui_011	1		hunterinfo_16013				1	QiecuoTitle_16013	QiecuoMenu_16013	21610	0
16014	newmp_shenshui_011	1		hunterinfo_16014				1	QiecuoTitle_16014	QiecuoMenu_16014	21611	5
16015	newmp_shenshui_011	1		hunterinfo_16015				1	QiecuoTitle_16015	QiecuoMenu_16015	21612	10
16016	newmp_shenshui_010	1		hunterinfo_16016				1	QiecuoTitle_16016	QiecuoMenu_16016	21614	0
16017	newmp_shenshui_010	1		hunterinfo_16017				1	QiecuoTitle_16017	QiecuoMenu_16017	21615	5
16018	newmp_shenshui_010	1		hunterinfo_16018				1	QiecuoTitle_16018	QiecuoMenu_16018	21616	10
16019	newmp_shenshui_009	1		hunterinfo_16019				1	QiecuoTitle_16019	QiecuoMenu_16019	21618	0
16020	newmp_shenshui_009	1		hunterinfo_16020				1	QiecuoTitle_16020	QiecuoMenu_16020	21619	5
16021	newmp_shenshui_009	1		hunterinfo_16021				1	QiecuoTitle_16021	QiecuoMenu_16021	21620	10
16022	newmp_shenshui_008	1		hunterinfo_16022				1	QiecuoTitle_16022	QiecuoMenu_16022	21622	0
16023	newmp_shenshui_008	1		hunterinfo_16023				1	QiecuoTitle_16023	QiecuoMenu_16023	21623	5
16024	newmp_shenshui_008	1		hunterinfo_16024				1	QiecuoTitle_16024	QiecuoMenu_16024	21624	10
16025	newmp_shenshui_006	1		hunterinfo_16025				1	QiecuoTitle_16025	QiecuoMenu_16025	21626	0
16026	newmp_shenshui_006	1		hunterinfo_16026				1	QiecuoTitle_16026	QiecuoMenu_16026	21627	5
16027	newmp_shenshui_006	1		hunterinfo_16027				1	QiecuoTitle_16027	QiecuoMenu_16027	21628	10
16028	newmp_shenshui_004	1		hunterinfo_16028				1	QiecuoTitle_16028	QiecuoMenu_16028	21630	0
16029	newmp_shenshui_004	1		hunterinfo_16029				1	QiecuoTitle_16029	QiecuoMenu_16029	21631	5
16030	newmp_shenshui_004	1		hunterinfo_16030				1	QiecuoTitle_16030	QiecuoMenu_16030	21632	10
16031	newmp_shenshui_003	1		hunterinfo_16031				1	QiecuoTitle_16031	QiecuoMenu_16031	21634	0
16032	newmp_shenshui_003	1		hunterinfo_16032				1	QiecuoTitle_16032	QiecuoMenu_16032	21635	5
16033	newmp_shenshui_003	1		hunterinfo_16033				1	QiecuoTitle_16033	QiecuoMenu_16033	21636	10
16000	ysmp_ssg_rc_005	1		hunterinfo_16000	573			1	QiecuoTitle_16000	QiecuoMenu_16000	21404	5
16004	newmp_shenshui_003	1		hunterinfo_16004	573			1	QiecuoTitle_16004	QiecuoMenu_16004	21453	-2
16003	ssg_new_zyb001	3		hunterinfo_16003	573						21500	
16036	newmp_shenshui_002	1		hunterinfo_16036	573			1	QiecuoTitle_16036	QiecuoMenu_16036	21511	1
16006	ysmp_ssg_rc_007	1		hunterinfo_16006	573			1	QiecuoTitle_16006	QiecuoMenu_16006	21404	5
