STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID	QieCuoLevel
12461	WorldNpc09857	1		hunterinfo_12461	17			1	QiecuoTitle_12461	QiecuoMenu_12461	38863	
12462	xjz_zx_001	1		hunterinfo_12462	17			1	QiecuoTitle_12462	QiecuoMenu_12462	38867	
12400	WorldNpc09974	1		hunterinfo_12400	17			1	QiecuoTitle_12400	QiecuoMenu_12400	38902	
12401	WorldNpc09972	1		hunterinfo_12401	17			1	QiecuoTitle_12401	QiecuoMenu_12401	38913	
12463	xjz_zx_004	1		hunterinfo_12463	17			1	QiecuoTitle_12463	QiecuoMenu_12463	38874	
12464	xjz_zx_005	1		hunterinfo_12464	17			1	QiecuoTitle_12464	QiecuoMenu_12464	38875	
12465	xjz_zx_006	1		hunterinfo_12465	17			1	QiecuoTitle_12465	QiecuoMenu_12465	38875	
12466	WorldNpc09842	1		hunterinfo_12466	17			1	QiecuoTitle_12466	QiecuoMenu_12466	38882	
12467	xjz_zx_009	1		hunterinfo_12467	17			1	QiecuoTitle_12467	QiecuoMenu_12467	38893	
12460	xjz_rm_001	1		hunterinfo_12460	17						38923	
12431	xjz_origin_01_01	1		hunterinfo_12431	17			1	QiecuoTitle_12431	QiecuoMenu_12431	38952	
12432	xjz_origin_01_02	1		hunterinfo_12432	17			1	QiecuoTitle_12432	QiecuoMenu_12432	38953	
12433	xjz_origin_01_03	1		hunterinfo_12433	17			1	QiecuoTitle_12433	QiecuoMenu_12433	38954	
12434	xjz_origin_02_01	1		hunterinfo_12434	17			1	QiecuoTitle_12434	QiecuoMenu_12434	38956	0
12435	xjz_origin_02_02	1		hunterinfo_12435	17			1	QiecuoTitle_12435	QiecuoMenu_12435	38957	5
12436	xjz_origin_02_03	1		hunterinfo_12436	17			1	QiecuoTitle_12436	QiecuoMenu_12436	38958	10
12468	BossClone003001	1		hunterinfo_12468							38949	
12469	BossClone003002	1		hunterinfo_12469							38949	
12475	xjz_zc_tm	1		hunterinfo_12475								
12476	xjz_zc_cj	1		hunterinfo_12476								
12470	bossclone021003	1		hunterinfo_12470							38949	
12471	BossClone003001	1		hunterinfo_12471							38950	
12472	bossclone021001	1		hunterinfo_12472							38950	
12473	bossclone001306_x	1		hunterinfo_12473							38950	
12474	bossclone002013_x	1		hunterinfo_12474							38950	
