STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	Count	RefreshMonster	TrackInfo	SceneID	HideAccept	IsNeedCreator	IsQieCuo	QiecuoTitle	QiecuoMenu	TaskID
31794	bossv040200	1		hunterinfo_31794	1						80194
31800	WorldNpc00124	1		hunterinfo_31800	1			1	QiecuoTitle_31800	QiecuoMenu_31800	80202
31801	WorldNpc00125	1		hunterinfo_31801	1			1	QiecuoTitle_31801	QiecuoMenu_31801	80202
31802	monv043103	3		hunterinfo_31802	1						80203
31808	monv043601	3		hunterinfo_31808	1						80210
31810	WorldNpc00030	1		hunterinfo_31810	1			1	QiecuoTitle_31810	QiecuoMenu_31810	80212
31809	monv040600	3		hunterinfo_31809	1						80211
31807	monv043600	3		hunterinfo_31807	1						80210
31811	monv040300	3		hunterinfo_31811	1						80213
31812	monv043201	3		hunterinfo_31812	1						80213
31813	monv043100	3		hunterinfo_31813	1						80214
31804	monv043100	3		hunterinfo_31804	1						80206
31798	monv043501	3		hunterinfo_31798	1						80200
31799	monv043500	3		hunterinfo_31799	1						80200
31793	monv043300	3		hunterinfo_31793	1						80194
31792	monv043203	3		hunterinfo_31792	1		1				80192
31806	WorldNpc00114	1		hunterinfo_31806	1			1	QiecuoTitle_31806	QiecuoMenu_31806	80209
31814	monv043702	1		hunterinfo_31814	1						80215
31816	monv043703	4		hunterinfo_31816	1						80215
31795	monv043400	3		hunterinfo_31795	1		1				80195
31796	monv043400	3		hunterinfo_31796	1						80198
31817	monv043100	3		hunterinfo_31817	1						80204
31803	monv043500	3		hunterinfo_31803	1						80206
31805	monv043601	3		hunterinfo_31805	1		1				80208
31815	monv043600	5		hunterinfo_31815	1						80208
