STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ChooseTitle	ChooseMenu1	ChoosePrize1	ChooseAccTask1	ChooseMenu2	ChoosePrize2	ChooseAccTask2	ChooseMenu3	ChoosePrize3	ChooseAccTask3	ChooseMenu4	ChoosePrize4	ChooseAccTask4
1	choosetitle_1	choosemenu_1_1_1|	111001	24029	choosemenu_1_2_1|	111002	24028						
2	choosetitle_2	choosemenu_2_1_1|	111003	24015	choosemenu_2_2_1|	111004	24017						
3	choosetitle_3	choosemenu_3_1_1|	111005	38030	choosemenu_3_2_1|	111006	38031						
4	choosetitle_4	choosemenu_4_1_1|	111007	36009	choosemenu_4_2_1|	111008	36010						
5	choosetitle_5	choosemenu_5_1_1|	111009	50027	choosemenu_5_2_1|	111010	50026						
6	choosetitle_6	choosemenu_6_1_1|	111011	40027	choosemenu_6_2_1|	111012	40037						
7	choosetitle_7	choosemenu_7_1_1|	111013	46007	choosemenu_7_2_1|	111014	46041						
8	choosetitle_8	choosemenu_8_1_1|	111015	44027	choosemenu_8_2_1|	111016	44032						
10	choosetitle_10	choosemenu_10_1_1|	111019	22028	choosemenu_9_2_1|	111020	22029						
11	choosetitle_11	choosemenu_11_1_1|	111021	48027	choosemenu_11_2_1|	111022	48028						
12	choosetitle_12	choosemenu_12_1_1|	111023	42024	choosemenu_12_2_1|	111024	42022						
13	choosetitle_13	choosemenu_13_1_1|	111025	34025	choosemenu_13_2_1|	111026	34026						
14	choosetitle_14	choosemenu_14_1_1|	111027	38085	choosemenu_14_2_1|	111028	38089						
15	choosetitle_15	choosemenu_15_1_1|	111029	46042	choosemenu_15_2_1|	111030	46045						
16	choosetitle_16	choosemenu_16_1_1|	111031	44081	choosemenu_16_2_1|	111032	44082						
17	choosetitle_17	choosemenu_17_1_1|	111033	28033	choosemenu_17_2_1|	111034	28034						
18	choosetitle_18	choosemenu_18_1_1|	111035	44003	choosemenu_18_2_1|	111036	44016						
19	choosetitle_19	choosemenu_19_1_1|	111037	34023	choosemenu_19_2_1|	111038	34024						
20	choosetitle_20	choosemenu_20_1_1|	111039	36018	choosemenu_20_2_1|	111040	36019						
21	choosetitle_21	choosemenu_21_1_1|	111041	36040	choosemenu_21_2_1|	111042	36041						
22	choosetitle_22	choosemenu_22_1_1|	111043	46020	choosemenu_22_2_1|	111044	46024						
23	choosetitle_23	choosemenu_23_1_1|	111045	38019	choosemenu_23_2_1|	111046	38022						
24	choosetitle_24	choosemenu_24_1_1|	111047	36002	choosemenu_24_2_1|	111048	36007						
25	choosetitle_25	choosemenu_25_1_1|	111049	46006	choosemenu_25_2_1|	111050	46007						
26	choosetitle_26	choosemenu_26_1_1|	111051	40015	choosemenu_26_2_1|	111052	40016						
27	choosetitle_27	choosemenu_27_1_1|	111053	28027	choosemenu_27_2_1|	111054	28032						
28	choosetitle_28	choosemenu_28_1_1|	111055	28037	choosemenu_28_2_1|	111056	28043						
29	choosetitle_29	choosemenu_29_1_1|	111057	80892	choosemenu_29_2_1|	111058	80896	choosemenu_29_3_1|	111059	80901			
30	choosetitle_30	choosemenu_30_1_1|	111060	28062	choosemenu_30_2_1|	111061	28065						
32	choosetitle_32	choosemenu_32_1_1|		34212	choosemenu_32_2_1|		34213						
