STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	BuffID
71512	ymsj_mishiguj_001	1	1	useiteminfo_71512	1	0	1	16	0			EventNpc_ymsj_guj_msz012	71176	
71153				useiteminfo_71153										
71159	dfsj_yt_kf_001	1	1	useiteminfo_71159		1	3	13				dfsj_zjcj_cj002	71205	
71158	item_dfzyb_013_1	1	1	useiteminfo_71158	1		10	654				df_zybnpc_020	71221	
71513	item_ngsj_juqingguj_001	1	1	useiteminfo_71513	1	1	2	17	0			ngsj_guj_juqing_002	71352	
71514	item_ngsj_juqingguj_002	1	1	useiteminfo_71514		1	2	17	0			ngsj_guj_juqing_007	71354	
71515	item_ngsj_juqingguj_003	1	1	useiteminfo_71515	1	1	2	17	0			ngsj_guj_juqing_008	71356	
71516	item_ngsj_juqingguj_005	1	1	useiteminfo_71516	1	0	2	17	0	item_ngsj_juqingguj_006		EventNpc_ngsj_guj_jqi006	71359	
71517	item_ngsj_juqingguj_008	1	1	useiteminfo_71517	1	1	2	17	0			ngsj_guj_juqing_013	71360	
71518	item_ngsj_juqingguj_014	1	1	useiteminfo_71518	1	1	2	17	0			ngsj_guj_juqing_017	71365	
71519	item_ngsj_juqingguj_015	1	1	useiteminfo_71519		0	2	17	0			EventNpc_ngsj_guj_jqi005	71368	
71152	item_ymzyb_01	1	1	useiteminfo_71152	1		5	16				Eventnpc_ymzyb_005	71156	
71511	item_ymzyb_001	1	1	useiteminfo_71511	1		2	16				Eventnpc_ymzyb_001	71153	
71160	useitem_sjzyb_001	1	1	useiteminfo_71160	1			3					71238	
71161	useitem_sjzyb_002	1	1	useiteminfo_71161	1			3					71238	
71162	useitem_sjzyb_003	1	1	useiteminfo_71162	1			3					71238	
71163	useitem_sjzyb_004	1	1	useiteminfo_71163	1			2						
71164	useitem_sjzyb_005	1	1	useiteminfo_71164	1			2						
71165	useitem_sjzyb_006	1	1	useiteminfo_71165	1									
71520	item_mrzyb_003	1	1	useiteminfo_71520	1	1	5	14				mryzb_npc_008	71234	
71154	useitem_ymzyb_001	1	1	useiteminfo_71154		1	5	2				ym_zybnpc_028	71164	
