STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	ActionID
1	useitem_bs008	1	1	useiteminfo_1	1			10					43	
2	useitem_bs002	1	1	useiteminfo_2	1	1	5	6				WorldNpc03003	44	ty_drink2
4	useitem_bs003	1	1	useiteminfo_4	1			8					47	
3	useitem_bs005	1	1	useiteminfo_3	1			9		taskitem_bs001				
5	useitem_bs001	1	1	useiteminfo_5	1			7					45	
6	useitem_132m	1	1	useiteminfo_6	1		3	15				Gather00156m	207	
7	useitem_134m	1	1	useiteminfo_7	1	1	5	15				Gather00155m		
8	useitem_135m	1	1	useiteminfo_8	1	1	5	15				Gather00155m		
9	useitem_136m	1	1	useiteminfo_9	1	1	5	15				Gather00155m		
10	useitem_133m	1	1	useiteminfo_10	1	1	5	15				Gather00155m		
11	qy_gcd_12_003	1	1	useiteminfo_11	1		50	2				EventNpc9527	230	
12	taskitem_korea_002	1	1	useiteminfo_12	1		3	14				jieyudiban001	433	interact006a
13	taskitem_korea_003	1	1	useiteminfo_12	1		3	14				jieyudiban001	70	interact006a
14	taskitem_korea_004	1	1	useiteminfo_12	1		3	14				jieyudiban001	71	interact006a
15	taskitem_korea_005	1	1	useiteminfo_12	1		3	14				jieyudiban001	72	interact006a
16	taskitem_korea_006	1	1	useiteminfo_12	1		3	14				jieyudiban001	73	interact006a
17	taskitem_korea_007	1	1	useiteminfo_12	1		3	14				jieyudiban001	74	interact006a
18	taskitem_korea_008	1	1	useiteminfo_12	1		3	14				jieyudiban001	75	interact006a
19	taskitem_korea_009	1	1	useiteminfo_12	1		3	14				jieyudiban001	76	interact006a
20	taskitem_korea_010	1	1	useiteminfo_12	1		3	14				jieyudiban001	77	interact006a
21	taskitem_korea_011	1	1	useiteminfo_12	1		3	14				jieyudiban001	78	interact006a
22	marry_sl_01	1	1	useiteminfo_22	1			12						
23	qingming_1291	1	1	useiteminfo_23	1		3	15				Gather00156m	291	
25	qingming_1292	1	1	useiteminfo_25	1		3	15				Gather00156m	292	
26	qingming_0292	1	1	useiteminfo_26	1	1	5	15				Gather00155m	292	
27	qingming_1293	1	1	useiteminfo_27	1		3	15				Gather00156m	293	
28	qingming_0293	1	1	useiteminfo_28	1	1	5	15				Gather00155m	293	
24	qingming_0291	1	1	useiteminfo_24	1	1	5	15				Gather00155m	291	
