STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
51825		1	1	useiteminfo_51825	1	1	5	7	0				
51826		1	1	useiteminfo_51826	1	1	5	7	0				
51827		1	1	useiteminfo_51827	1	1	5	7	0				
51828		1	1	useiteminfo_51828	1	1	5	7	0				
51829		1	1	useiteminfo_51829	1	1	5	7	0				
51830		1	1	useiteminfo_51830	1	1	5	7	0				
51831		1	1	useiteminfo_51831	1	1	5	7	0				
51832		1	1	useiteminfo_51832	1	1	5	7	0				
51833		1	1	useiteminfo_51833	1	1	5	7	0				
51834		1	1	useiteminfo_51834	1	1	5	7	0				
51835		1	1	useiteminfo_51835	1	1	5	7	0				
51836		1	1	useiteminfo_51836	1	1	5	7	0				
51837		1	1	useiteminfo_51837	1	1	5	7	0				
51838		1	1	useiteminfo_51838	1	1	5	7	0				
51839		1	1	useiteminfo_51839	1	1	5	7	0				
51840		1	1	useiteminfo_51840	1	1	5	7	0				
51841		1	1	useiteminfo_51841	1	1	5	7	0				
51842		1	1	useiteminfo_51842	1	1	5	7	0				
51843		1	1	useiteminfo_51843	1	1	5	7	0				
51844		1	1	useiteminfo_51844	1	1	5	7	0				
51845		1	1	useiteminfo_51845	1	1	5	7	0				
51846		1	1	useiteminfo_51846	1	1	5	7	0				
51847		1	1	useiteminfo_51847	1	1	5	7	0				
51848		1	1	useiteminfo_51848	1	1	5	7	0				
51849		1	1	useiteminfo_51849	1	1	5	7	0				
51850		1	1	useiteminfo_51850	1	1	5	7	0				
51851		1	1	useiteminfo_51851	1	1	5	7	0				
51852		1	1	useiteminfo_51852	1	1	5	7	0				
51853		1	1	useiteminfo_51853	1	1	5	7	0				
51854		1	1	useiteminfo_51854	1	1	5	7	0				
51855		1	1	useiteminfo_51855	1	1	5	7	0				
51856		1	1	useiteminfo_51856	1	1	5	7	0				
51857		1	1	useiteminfo_51857	1	1	5	7	0				
51858		1	1	useiteminfo_51858	1	1	5	7	0				
51859		1	1	useiteminfo_51859	1	1	5	7	0				
51860		1	1	useiteminfo_51860	1	1	5	7	0				
51861		1	1	useiteminfo_51861	1	1	5	7	0				
51862		1	1	useiteminfo_51862	1	1	5	7	0				
51863		1	1	useiteminfo_51863	1	1	5	7	0				
51864		1	1	useiteminfo_51864	1	1	5	7	0				
51865		1	1	useiteminfo_51865	1	1	5	7	0				
51866		1	1	useiteminfo_51866	1	1	5	7	0				
51867		1	1	useiteminfo_51867	1	1	5	7	0				
