STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID
12400	useitem_xjz_001	1	1	useiteminfo_12400	1	1	20	17				xjz_task001	38802
12401	useitem_xjz_008	1	1	useiteminfo_12401		1	5	17				xjz_020	38911
12402	useitem_xjz_009	1	1	useiteminfo_12402			30	17		taskitem_xjz_011		EventNpc_xjz_12	38929
12403	useitem_xjz_010	1	1	useiteminfo_12403			30	17		taskitem_xjz_012		EventNpc_xjz_13	38929
12404	useitem_xjz_011	1	1	useiteminfo_12404			30	17		taskitem_xjz_013		EventNpc_xjz_14	38929
12405	useitem_xjz_003	1	1	useiteminfo_12405	1	1	20	17				xjz_task001	38803
12406	taskitem_xjz_002	1	1	useiteminfo_12406	1		10	17				Box_xjz_002	
12407	taskitem_xjz_003	1	1	useiteminfo_12407	1		10	17				Box_xjz_002	
12408	taskitem_xjz_004	1	1	useiteminfo_12408	1		10	17				Box_xjz_002	
12409	taskitem_xjz_005	1	1	useiteminfo_12409	1		10	17				Box_xjz_002	
