STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemID	ProCount	AddPro	TrackInfoID	DeleteSelf	LockTarget	Radius	SceneID	Water	AddItems	DeleteItems	TargetConfig	TaskID	ActionID
4017	useitem_6h	1	1	useiteminfo_4017	0	0	5	17	0			ItemNpc12002		
4023	useitem_2a	1	1	useiteminfo_4023	1	1	5	20	0			WorldNpc06613		
4027	useitem_13b	1	1	useiteminfo_4027	1	1	5	10	0			WorldNpc02614		
4029	useitem_10a	1	1	useiteminfo_4029	1	1	15	9	0			WorldNpc02527		
4030	useitem_8a	0	0	useitem24478	1	0	0	9	0	taskitem_20a				
4031	useitem_4a	4	1	useiteminfo_4031_1	0	1	5	22	0			Gather00026b		
4032	useitem_6a	1	1	useiteminfo_4032	0	0		9	0					
4033	useitem_9a	1	1	useiteminfo_4033	1	0		9						
4034	useitem_11a	1	1	useiteminfo_4034	1	0		22						
4035	useitem_12a	1	1	useiteminfo_4035	1	1	5	22	0			WorldNpc06128		
4036	useitem_13a	1	1	useiteminfo_4036	1	1	5	9	0			WorldNpc02433		
4040	useitem_16a	1	1	useiteminfo_4040	1	0		9	0					
4041	useitem_17a	4	1	useiteminfo_4041	0	1	5	9	0			monm052700		
4042	useitem_18a	1	1	useitem24564	1	1	5	9	0			monrm058500		
4043	useitem_19a	1	1	useitem24567	1	1	5	9	0			ItemNpc02012		
4044	useitem_20a	1	1	useitem24569	1	1	5	9	0			WorldNpc02443		
4045	useitem_21a	1	1	useiteminfo_4045	1	1	5	9	0			WorldNpc02451		
4046	useitem_22a	1	1	useiteminfo_4046	1	1	5	9	0			WorldNpc02452		
4047	useitem_23a	4	1	useiteminfo_4047	1	1	5	9	0			ItemNpc02013		
4048	useitem_24a	1	1	useiteminfo_4048	1	0		9	0					
4049	useitem_25a	1	1	useiteminfo_4049	1	0		9	0					
4050	useitem_17b				1	0	0	11	0	taskitem_29b				
4054	useitem_26b	1	1	useiteminfo_4054_1	0	1	3	11	0			WorldNpc04809		
4055	useitem_26b	1	1	useiteminfo_4055_2	0	1	3	11	0			WorldNpc04810		
4056	useitem_21b	1	1	useiteminfo_4056	1	1	3	11	0			WorldNpc04710		
4057	useitem_22b				0	0	0	11	0	taskitem_38b	taskitem_417			
4070	useitem_42b	1	1	useiteminfo_4070_1	0	1	3	22	0			WorldNpc06110		
4075	useitem_4a	4	1	useiteminfo_4075_2	0	1	3	22	0			Gather00027b		
4077	useitem_48b	1	1	useiteminfo_4077	0	1	3	22	0			Gather00028b		
4001	useitem_2f	1	1	useiteminfo_4001_1	1	0	5	1	0			WorldNpc00017	24031	
4003	useitem_5f	1	1	useiteminfo_4003	1	0	0	1	0				24046	
4005	useitem_6f	1	1	useiteminfo_4005	0	0	0	1	0		taskitem_6f		24059	
4006	useitem_7f	1	1	useiteminfo_4006	1	0	0	1	0				24065	
4008	useitem_12f	1	1	useiteminfo_4008_1	0	1	3	21	0			ItemNpc04001	24104	
4009	useitem_12f	1	1	useiteminfo_4009_2	0	1	3	21	0			ItemNpc04002	24104	
4010	useitem_12f	1	1	useiteminfo_4010_3	0	1	3	21	0			ItemNpc04003	24104	
4011	useitem_13f	1	1	useiteminfo_4011	0	0	0	21	0	taskitem_18f	taskitem_15f;taskitem_16f		24107	
4012	useitem_14f	1	1	useiteminfo_4012_1	0	1	3	21	0			ItemNpc04001	24109	
4013	useitem_14f	1	1	useiteminfo_4013_2	0	1	3	21	0			ItemNpc04002	24109	
4014	useitem_14f	1	1	useiteminfo_4014_3	0	1	3	21	0			ItemNpc04003	24109	
4015	useitem_15f	1	1	useiteminfo_4015_1	1	0	20	21	1	useitem_16f		EventNpc24130	24130	
4018	useitem_5h	1	1	useiteminfo_4018	1	0	0	17	0			WorldNpc09601	24232	
4019	useitem_9b	1	1	useiteminfo_4019	0	0	3	1	0			EventNpc24249	24244	
4020	useitem_8b	1	1	useiteminfo_4020	1	1	2	1	0			WorldNpc00032	24260	
4021	useitem_7b	1	1	useiteminfo_4021	1	0	0	1	0	taskitem_6b			24263	
4022	useitem_1a	1	1	useiteminfo_4022	1	0	0	13	0				24291	
4024	useitem_3a	3	1	useiteminfo_4024	1	0	50	20	0			EventNpc24330	24330	
4025	useitem_15b	1	1	useiteminfo_4025	1	0	0	13	0				24380	
4026	useitem_14b	1	1	useiteminfo_4026	1	0	0	13	0				24383	
4028	useitem_16b	1	1	useiteminfo_4028	1	1	5	10	0			WorldNpc02647	24423	
4037	useitem_26a	1	1	useiteminfo_4037	1	0		9	0				24537	
4038	useitem_14a	1	1	useiteminfo_4038	1	0		9	0				24539	
4039	useitem_15a	1	1	useiteminfo_4039	1	1	5	9	0			WorldNpc02440	24555	
4051	useitem_18b	1	1	useiteminfo_4051	1	1	3	11	0			WorldNpc04709	24642	
4052	useitem_19b	1	1	useiteminfo_4052	1	0	0	11	0	taskitem_33b			24653	
4053	useitem_20b	1	1	useiteminfo_4053	1	1	3	11	0			WorldNpc04808	24658	
4060	useitem_25b	1	1	useiteminfo_4060	1	1	3	11	0			WorldNpc04805	24718	
4061	useitem_8f	1	1	useiteminfo_4061_1	1	1	3	1	0			WorldNpc00023	24067	ty_turn_orz
4062	useitem_8f	1	1	useiteminfo_4062_2	1	1	3	1	0			WorldNpc00024	24067	ty_turn_orz
4063	useitem_8f	1	1	useiteminfo_4063_3	1	1	3	1	0			WorldNpc00025	24067	ty_turn_orz
4064	useitem_18f	1	1	useiteminfo_4064	1	0	5	22	0			EventNpc24164	24163	
4065	useitem_19f	1	1	useiteminfo_4065	1	1	0	22	0			WorldNpc06113	24178	
4066	useitem_40b	1	1	useiteminfo_4066	1	0	0	22	0				24157	
4068	useitem_39b	1	1	useiteminfo_4068	1	1	3	1	0			WorldNpc00017	24034	
4071	useitem_43b	1	1	useiteminfo_4071	1	0	0	10	0	taskitem_49b;taskitem_50b			24412	
4072	useitem_44b	1	1	useiteminfo_4072	0	1	3	9	0			WorldNpc02510	24449	
4073	useitem_45b	1	1	useiteminfo_4073	1	1	3	9	0			Gather00025b	24454	
4074	useitem_46b	1	1	useiteminfo_4074	1	1	3	9	0			WorldNpc02533	24470	
4076	useitem_47b	1	1	useiteminfo_4076	1	0	0	9	0				24496	
4078	useitem_49b	4	1	useiteminfo_4078	1	0	0	9	0				24557	
4079	useitem_50b	1	1	useiteminfo_4079	1	1	3	9	0			Gather00033b	24596	
4080	useitem_51b	1	1	useiteminfo_4080	1	1	3	10	0			WorldNpc02706	24738	
4081	useitem_52b	1	1	useiteminfo_4081	0	1	3	10	0			WorldNpc02706	24741	
4082	useitem_53b	1	1	useiteminfo_4082	0	0	0	10	0	taskitem_68b;taskitem_69b	taskitem_67b		24759	
4058	useitem_23b	3	1	useiteminfo_4058	1	1	3	11	0			WorldNpc04805	24713	
4059	useitem_24b	3	1	useiteminfo_4059	1	1	3	11	0			WorldNpc04805	24713	
4069	useitem_41b	1	1	useiteminfo_4069	1				0				24247	
4004	useitem_9f	1	1	useiteminfo_4004	1	0	3	1	0	taskitem_11f		EventNpc24053	24053	
4016	useitem_16f	1	1	useiteminfo_4016_2	1	1	5	21	0			WorldNpc06011		
4083	useitem_11f	1	1	useiteminfo_4083	1	1	6	1				lifeanimalv04001	24056	
4007	useitem_10f	1	1	useiteminfo_4007	0	1	0	10	0			Gather00010f	24079	
4084	useitem_76y	1	0		1	0	5	1	0	useitem_75y				
4002	useitem_3f	1	1	useiteminfo_4002_2	1	1	5	1	0			WorldNpc00017	24031	
4085	item_zx_fhs_001	1	1	useiteminfo_4085	1	1	3	595				zx_fhs_015_a		
