NPC编号	ini注释名称	副本分组场景刷新属性包	对象类型	Npc类型	实力包编号	AI类型	表现AI包编号	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	鼠标形状	模型缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	能否移动	是否停止AI	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	势力归属
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	ModifyPropID	script	NpcType	PowerNo	AITemplate	AIParaNo	NeedRotate	Resource	CollideRadius	Photo	Material	LuaScript	Level	BossLevel	RunSpeed	FacultyExp	DropID	table@SkillRec	NotPositive	SpringRange	WalkSpeed	Fixed	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	CursorShape	Scale	WeaponName	WeaponMode	WeaponType	table@BornActionRec	RandomAction	RefreshTime	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	CantMove	StopAI	AttackRate	AIFightFreq	UseLockRate	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	ChaseRange	AddPropID	NormalSkill	AIEditorPackID	SelfForceID
																																																																													
NpcClone021521	神志不清的下人	241	PlayActNpc	2	101	1	4		npc\fbnpc021018	0.909767	icon\monster\fbnpc021018.png		npc\clone\clone021\PlayActNewNpc.lua	26	2	6		FBMon025	"clone021_xg_11,1,2;clone021_xg_12,1,2;clone021_xg_13,1,2;clone021_shidu,1,35;"	0	16	1.3	0	2	300	60	300	npc_foundplayer	0	0						hand1s_1				-1	0										48506-48510	48506-48510	48506-48510	48506-48510		48506-48510	FunnpcClone021104		0	0	0				1500		100		5	1	appear	1	0				
NpcClone021524	男		PlayActNpc	202	101	1	4		npc\fbnpc00006				npc\monster\PlayActNpc.lua	45	2	6				0	80	1.5	0	2	30	30	30	npc_foundplayer	0	0										-1	0																		0	0	0				1500		100		5	1			0				
NpcClone021525	女		PlayActNpc	202	101	1	4		npc\fbnpc021019				npc\clone\clone021\PlayActNewNpc.lua	45	2	6				0	80	1.5	0	2	30	30	30	npc_foundplayer	0	0					dk_rl_npcitem307	dknife1_2				-1	0																		0	0	0				1500		100		5	1	appear	1	0				
Npcclone_qdj_05	千灯劫杀手男		PlayActNpc	202	375	1	4		npc\fbnpc00006				npc\clone\clone021\PlayActNewNpc.lua	67	2	6			"clone021_xg_11,1,2;clone021_xg_12,1,2;clone021_xg_13,1,2;clone021_shidu,1,35;"	0	10	1.5	0	2	30	30	30	npc_foundplayer	0	0					dk_r_601	dknife1_1				-1	0																Npcclone_qdj_09		0	0	0				1500		100		5	1	appear	1	0				1
Npcclone_qdj_07	千灯劫杀手女		PlayActNpc	202	375	1	4		npc\fbnpc021019				npc\clone\clone021\PlayActNewNpc.lua	67	2	6			"clone021_xg_11,1,2;clone021_xg_12,1,2;clone021_xg_13,1,2;clone021_shidu,1,35;"	0	10	1.5	0	2	30	30	30	npc_foundplayer	0	0					dk_r_601	dknife1_2				-1	0																Npcclone_qdj_09		0	0	0				1500		100		5	1	appear	1	0				1
Npcclone_qdj_06	千灯劫杀手男		PlayActNpc	202	375	1	4		npc\fbnpc00006	0.909767	icon\monster\fbnpc021018.png		npc\clone\clone021\PlayActNewNpc.lua	67	2	6			"clone021_xg_11,1,2;clone021_xg_12,1,2;clone021_xg_13,1,2;clone021_shidu,1,35;"	0	10	1.3	0	2	300	60	300	npc_foundplayer	0	0					dk_r_601	dknife1_1				-1	0																Npcclone_qdj_09		0	0	0				1500		100		5	1	appear	1	0				1
Npcclone_qdj_0801	千灯劫杀手		PlayActNpc	202	375	1	4		npc\fbnpc021019				npc\clone\clone021\PlayActNewNpc.lua	67	2	6			"clone021_xg_11,1,2;clone021_xg_12,1,2;clone021_xg_13,1,2;clone021_shidu,1,35;"	0	10	1.5	0	2	30	30	30	npc_foundplayer	0	0					dk_r_601	dknife1_2				-1	0																Npcclone_qdj_09		0	0	0				1500		100		5	1	appear	1	0				1
