NPC编号	对象类型	名称	模型编号	头像	NPC类型	NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集时特效名	采集后特效名	采集后特效持续时间（毫秒）	刷新时间（ms）	采集动作名	读条时间(ms)	采集类型	参数1	参数2	回收	掉落	采集地点	最多可采集次数	体力	工具限制（不填写表示没有限制）	多人同时采集（填1允许）	AI编辑包	鼠标形状
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	GatherRange	GatherEffects	AfterGatherEffects	EffectsTime	RefreshTime	GatherAction	DelayTime	GatherType	GatherPara1	GatherPara2	LostItems	DropID	ShowPoint	MaxCount	NeedEne	ToolLimited	MultiUse	AIEditorPackID	CursorShape
																	1											
	//副本1000-1999																1											
GatherNpc00005	MineNpc	宝箱	npc\itemnpc005a	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				3600000	interact041		1				GatherNpc00005		1					
GatherNpc00006	MineNpc	钥匙	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				3600000	interact041		1				GatherNpc00006		1					
GatherNpc01000	MineNpc	金蚕衣	npc\itemnpc135	icon\funcnpc\itemnpc137.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001016		99			1		
GatherNpc01001	MineNpc	破烂的衣服（女式）	npc\itemnpc136	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001017		99			1		
GatherNpc01002	MineNpc	畸形的盔甲	npc\itemnpc137	icon\funcnpc\itemnpc137.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001018		99			1		
GatherNpc01003	MineNpc	千毒圭	npc\itemnpc138	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001019		99			1		
GatherNpc01004	MineNpc	断剑	npc\itemnpc146	icon\funcnpc\ceshi_007.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001020		1					
GatherNpc01005	MineNpc	断刀	npc\itemnpc147	icon\funcnpc\ceshi_007.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001021		1					
GatherNpc01006	MineNpc	刈鹿刀	npc\itemnpc148	icon\funcnpc\itemnpc148.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001022		1					
GatherNpc01007	MineNpc	折扇	npc\itemnpc149	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001023		1					
GatherNpc01008	MineNpc	残肢令	npc\itemnpc150	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	2018	0		TaskItemClone_001024		1					
GatherNpc01009	MineNpc	卷宗	npc\itemnpc006a	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041		1				taskitem_1127		1					
GatherNpc01010	MineNpc	私放证据的盒子	npc\itemnpc007a	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041		1				taskitem_1129		1					
GatherNpc01011	MineNpc	谋反证据的盒子	npc\itemnpc008a	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	4				0	interact041		1				taskitem_1135		1					
																	1											
GatherClone001001	MineNpc	土木香	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001003		1					
GatherClone001002	MineNpc	荆芥	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001004		1					
GatherClone001003	MineNpc	无根藤	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001005		1					
GatherClone001004	MineNpc	麻黄	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001006		1					
GatherClone001005	MineNpc	当归	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001007		1					
GatherClone001006	MineNpc	枸杞	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001008		1					
GatherClone001007	MineNpc	破旧的箱子	npc\itemnpc005a	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017		1				TaskItemClone_001025		1					
																												
GatherNpc001101	MineNpc	夜翼	npc\itemnpc649	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact041	5000	1	2022	0		TaskItemClone_001101		1			1		
GatherNpc001102	MineNpc	暗翎	npc\itemnpc207	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact041	5000	1	2026	0		TaskItemClone_001102		1			1		
GatherNpc001103	MineNpc	冥凰	npc\itemnpc087	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact041	5000	1	2030	0		TaskItemClone_001103		1			1		
GatherClone001101	MineNpc	天狼血	npc\itemnpc054	icon\funcnpc\task.png	153	3	3	2	npc\gather_npc.lua	3				10000	interact017	2000	1	2025	0		TaskItemClone_001104		1					
																												
GatherClone017001	MineNpc	清心迷魂露	npc\itemnpc001	icon\funcnpc\task.png	153	4	20	2	npc\gather_npc.lua	3				-1	interact035	1000	1				hd_0501026		6					
																												
GatherClone002001	MineNpc	密封的盒子	npc\itemnpc006a	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				0	interact041	5000	1		0		TaskItemClone_002007		99					
GatherClone002002	MineNpc	金镶玉的钱箱	npc\itemnpc005a	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				0	interact041	5000	1	2836	0		TaskItemClone_002008		99					
GatherClone002003	MineNpc	沈义山的财宝	npc\itemnpc161	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				0	interact041	5000	1	2836	0		TaskItemClone_002009		99					
GatherClone002004	MineNpc	装小孩的篓子	npc\itemnpc005a	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				0	interact041		1						99					
GatherClone002005	MineNpc	柴火	npc\itemnpc038	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact021b	6000	1	2839	0		TaskItemClone_002019		99					
GatherClone002006	MineNpc	土豆	npc\itemnpc487	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact017	3000	1	2839	0		TaskItemClone_002022		99					
GatherClone002007	MineNpc	甘草	npc\itemnpc054	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact041	5000	1	2434	0		TaskItemClone_002021		99					
GatherClone002008	MineNpc	肉馅	npc\itemnpc462	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact174	3000	1	2839	0		TaskItemClone_002024		99					
GatherClone002009	MineNpc	狼粪	npc\itemnpc033	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact017	3000	1	2070	0		TaskItemClone_002027		99					
GatherClone002010	MineNpc	长梦水	npc\itemnpc005	icon\funcnpc\itemnpc005.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact017	3000	1	2053	0		TaskItemClone_002028		99					
GatherClone002015	MineNpc	沈义山的财宝	npc\itemnpc201	icon\funcnpc\itemnpc201.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact041	3000	4				BoxClone002002		99					
GatherClone002011	MineNpc	潮湿的草料	npc\itemnpc473	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				-1	interact017	3000	1	5112	1		useitemclone002010		1					
GatherClone002012	MineNpc	晒干的草料	npc\itemnpc087	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				-1	interact017	3000	1	5112	2		TaskItemClone_002030		1					
GatherClone002013	MineNpc	柴堆	npc\itemnpc038	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				1000	interact017	3000	1						1					
GatherClone002014	MineNpc	烤肉柴堆	npc\itemnpc081	icon\funcnpc\task.png	153	3	5	2	npc\clone\clone002\GatherClone002014.lua	5				-1	interact017	2000	4						1					
GatherClone007001	MineNpc	药罐	npc\itemnpc001	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				5000	interact041	3000	1	2308	0		TaskItemClone_007008		1					
GatherClone007002	MineNpc	木箱	npc\itemnpc005	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				5000	interact041	3000	1	2308	0		TaskItemClone_007009		1					
GatherClone007003	MineNpc	剑碑	npc\fbmac007001	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	5				5000	interact041	10000	1	2313	0				1					
GatherClone007004	MineNpc	井	npc\itemnpc182	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1		0				1					
GatherClone007005	MineNpc	水缸	npc\itemnpc060	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1		0				1					
GatherClone007601	MineNpc	碗橱	npc\fbmac003024	icon\funcnpc\task.png	153	3	20	2	npc\gather_npc.lua	3				0	interact041	5000	1	5603	0				1					
GatherClone007201	MineNpc	锦盒	npc\itemnpc201	icon\funcnpc\itemnpc005.png	153	3	0	2	npc\gather_npc.lua	3				-1	interact041	5000	3				WDchushiBoss210		99			1		9
																												
																												
GatherClone004001	MineNpc	木盒	npc\itemnpc005	icon\funcnpc\task.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact041	3000	1	2184	0		TaskItemClone_004002		1					
GatherClone004002	MineNpc	嫩桑枝	npc\itemnpc054	icon\shenghuo\cl_15010006.png	153	3	5	2	npc\gather_npc.lua	3				10000	interact041	3000	1	5354	0		TaskItemClone_004003		1					
GatherClone004003	MineNpc	粮草	npc\itemnpc032	icon\funcnpc\itemnpc032.png	153	3	5	2	npc\gather_npc.lua	4		fire_burn_1	15000	-1	interact041	3000	1	2165	1				1					
GatherClone004004	MineNpc	方无恨被绑	npc\itemnpc670	icon\funcnpc\itemnpc032.png	153	3	5	2	npc\gather_npc.lua	4					interact041	3000	1	4503	2				100					
GatherClone004005	MineNpc	矿石	npc\cj020120	icon\shenghuo\cl_15010006.png	153	3	5	2		3				10000	interact006a	3000	4				TaskItemClone_004007		100			1		6
GatherClone004006	MineNpc	木材	npc\itemnpc447	icon\shenghuo\cl_15010006.png	153	3	5	2		3				10000	interact007b	3000	4				TaskItemClone_004008		100			1		14
GatherClone004007	MineNpc	武林线火把堆	npc\itemnpc552	icon\funcnpc\itemnpc038.png	153	3	5	2		5				-1	interact041	3000	4				blade_huoba_002		99			1		28
GatherClone004008	MineNpc	武林线风筝堆	npc\itemnpc673	icon\prop\prop480.png	153	3	5	2		3				-1	interact041	3000	4				skillitem004_fengzheng		99			1		28
GatherClone004009	MineNpc	方无恨箱子	npc\itemnpc586	icon\funcnpc\itemnpc005.png	153	3	5	2	npc\gather_npc.lua	3				-1	interact041	3000	1						99					
GatherClone004010	MineNpc	武林线火架	npc\itemnpc701	icon\funcnpc\itemnpc038.png	172	3	5	2		5				-1	interact041	3000	4				blade_huoba_002		99			1		28
GatherClone004011	MineNpc	村民线避蛇香	npc\itemnpc586	icon\funcnpc\itemnpc005.png	153	3	5	2	npc\gather_npc.lua	0				-1	interact041	3000	1						0					
GatherClone004012	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004007		1					28
GatherClone004013	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004008		1					28
GatherClone004014	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004009		1					28
GatherClone004015	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004010		1					28
GatherClone004016	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004011		1					28
GatherClone004017	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004012		1					28
GatherClone004018	MineNpc	村民线陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004013		1					28
GatherClone004019	MineNpc	村民线药品	npc\itemnpc687	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004014		1					28
GatherClone004020	MineNpc	村民线药品	npc\itemnpc687	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004015		1					28
GatherClone004021	MineNpc	村民线药品	npc\itemnpc685	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	3000	4				useitemclone004016		1					28
GatherClone004022	MineNpc	村民线药品	npc\itemnpc666	icon\funcnpc\task.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	3000	4						1					28
GatherClone004023	MineNpc	村民线随机陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				clone004_nm_random1		1					28
GatherClone004024	MineNpc	村民线随机药品	npc\fbmac003022	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	3000	4				clone004_nm_random2		1					28
GatherClone004025	MineNpc	村民线风筝	npc\itemnpc673	icon\prop\prop480.png	153	3	5	2		3				-1	interact041	3000	4				skillitem004_fengzheng		1					28
GatherClone004026	MineNpc	村民线破碎的陷阱	npc\hw_xj001	icon\funcnpc\itemnpc005.png	153	3	5	2		5				-1	interact041	3000	4				clone004_nm_random3		1					28
GatherClone004027	MineNpc	叛军线东泉村财宝	npc\itemnpc586	icon\funcnpc\task.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004028	MineNpc	叛军线牢房刑具	npc\fbmac004014	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	2000	4				clone004_xingju		100					28
GatherClone004029	MineNpc	守军线武器架	npc\fbmac00040	icon\funcnpc\task.png	153	3	5	2		5				-1	interact041	2000	4				clone004_wuqijia		100					28
GatherClone004030	MineNpc	鱼篓	npc\fbmac003022	icon\funcnpc\fbmac003022.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004031	MineNpc	水桶	npc\npcitem067	icon\prop\prop323.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004032	MineNpc	被子	npc\fbmac003023	icon\funcnpc\itemnpc005.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004033	MineNpc	柜子	npc\fbmac003024	icon\funcnpc\itemnpc005.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004034	MineNpc	草药类宝箱	npc\cj_106015b2	icon\funcnpc\cj_160150.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
GatherClone004035	MineNpc	木宝箱	npc\fbmac003021	icon\funcnpc\task.png	153	3	5	2	npc\clone\clone004\GatherClone004027.lua	5				-1	interact041	5000	4				clone004_jl01		1					9
																												
																												
GatherClone009001	MineNpc	药草	npc\cj_160001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				10000	interact041	3000	1	2405	0				1					
GatherClone009002	MineNpc	宝盒	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	2415	0		TaskItemClone009011		1					
GatherClone009003	MineNpc	小木剑	npc\fbmac009001	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				20000	interact041	3000	1	2401	0		TaskItemClone009008		1					
GatherClone009004	MineNpc	未完成的道袍	npc\fbmac009002	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				20000	interact041	3000	1	2402	1		TaskItemClone009009		1					
GatherClone009005	MineNpc	垫子	npc\itemnpc063	icon\funcnpc\task.png	153	3	1	2	npc\gather_npc.lua	3				20000	interact294	3000	1	2421	1				100					
																												
GatherClone005001	MineNpc	柴火	npc\itemnpc038	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				10000	interact021b	5000	1	2202	0		TaskItemClone005005		5					
GatherClone005002	MineNpc	青菜	npc\cj_040021	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				10000	interact041	3000	1	2207	0		TaskItemClone005010		1					
GatherClone005003	MineNpc	跌打草	npc\itemnpc054	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				10000	interact041	5000	1	2211	0		TaskItemClone005013		1					
																												
GatherClone011001	MineNpc	箱子	npc\itemnpc005	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	2502	0		TaskItemClone_011002		1					
																												
GatherClone021001	MineNpc		npc\fbmac021066	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	3004	0		TaskItemClone_021001		1					
GatherClone021002	MineNpc		npc\itemnpc517	icon\funcnpc\task.png	153	3	2	2	npc\gather_npc.lua	3				4000	interact041	3000	1	3010	2				100					
