	ini注释名称	副本分组场景刷新属性包	对象类型	Npc类型	实力包编号	AI类型	表现AI包编号	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	鼠标形状	模型缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	能否移动	是否停止AI	攻击防御比重	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	"追击范围,米"	附加随机能力编号	普通攻击	AI编辑包	直接触发	格挡方式(-1表示不格挡)	存在时间	防御概率	连招表	播放的动作名	npc等待时间	只关心距离脱离战斗	使用轻功	穿云纵速度	是否可以战斗
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	ModifyPropID	script	NpcType	PowerNo	AITemplate	AIParaNo	NeedRotate	Resource	CollideRadius	Photo	Material	LuaScript	Level	BossLevel	RunSpeed	FacultyExp	DropID	table@SkillRec	NotPositive	SpringRange	WalkSpeed	Fixed	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	CursorShape	Scale	WeaponName	WeaponMode	WeaponType	table@BornActionRec	RandomAction	RefreshTime	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	CantMove	StopAI	AttackRate	AIFightFreq	UseLockRate	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	ChaseRange	AddPropID	NormalSkill	AIEditorPackID	DirectSpring	ParrayID	LifeTime	AIParrayRate	table@TaoluRec	ActName	ActTimer	OnlyCareDistance	UseQingGong	AirRushSpeed	CantFight
																																																																																							
	//孔雀山庄副本npc																																																																																						
npcclone001058	青龙护卫		AttackNpc	2	102	1	1		npc\monster265	0.961669	icon\monster\monster265.png			55	1	5		JDNormalMon00101		0	20	1.5	0	2	1	4	4	npc_foundplayer	0	1						hand1_1				-1	0																funnpcclone001001		0	0	0				1500	20	1000		5	1			0				1	-1									
npcclone001053	玄武卫1		AttackNpc	1	1	1	1		npc\monster601	0.989952	icon\funcnpc\worldnpc390.png		npc\clone\clone001\npcclone_turtle.lua	55	2	5				1	10	1.5	0	2	1	3	3	npc_foundplayer	0	0	AI_clone001_025				s_r_npcitem204	sword1_1	2	s_stand_1		-1	0																	funnpcclone001017	0	0	0				1500	20	1000		2	1			1					-1									
npcclone001054	玄武卫2		AttackNpc	1	1	1	1		npc\monster601	0.989953	icon\funcnpc\worldnpc390.png		npc\clone\clone001\npcclone_turtle.lua	55	2	5				1	10	1.5	0	2	1	3	3	npc_foundplayer	0	0	AI_clone001_026				b_r_npcitem061	blade1_1	1	b_fi_stand_4		-1	0																	funnpcclone001017	0	0	0				1500	20	1000		2	1			1					-1									
npcclone001055	玄武卫3		AttackNpc	1	1	1	1		npc\monster601	0.989954	icon\funcnpc\worldnpc390.png		npc\clone\clone001\npcclone_turtle.lua	55	2	5				1	10	1.5	0	2	1	3	3	npc_foundplayer	0	0	AI_clone001_027				db_rl_npcitem022	gblade1_1	11	b_fi_stand_4		-1	0																	funnpcclone001017	0	0	0				1500	20	1000		2	1			1					-1									
npcclone001056	玄武卫4		AttackNpc	1	1	1	1		npc\monster601	0.989955	icon\funcnpc\worldnpc390.png		npc\clone\clone001\npcclone_turtle.lua	55	2	5				1	10	1.5	0	2	1	3	3	npc_foundplayer	0	0	AI_clone001_028				s_r_npcitem026	sword1_1	2	s_stand_1		-1	0																	funnpcclone001017	0	0	0				1500	20	1000		2	1			1					-1									
funnpcclone001017	玄武赤子		AttackNpc	2	71	1	1		npc\fbboss00016	0.989952	icon\monster\fbboss00016.png			55	3	3				0	5	1.5	1	2	1	1	1	npc_foundplayer	0	0					s_r_npcitem214	sword1_1	2	stand		-1	0																funnpcclone001001	npcclone001053;npcclone001054;npcclone001055;npcclone001056	0	0	0				1500	20	1000		20	1			30			3298		-1									
