NPC编号	ini注释名称	对象类型	副本分组场景刷新属性包	实力包编号	AI类型	表现AI包编号	NPC类型	是否转身	模型编号	模型半径	图片	材质类型	脚本编号	级别	怪物强度	跑步速度	修为经验	掉落	掉落数量	技能表	主动被动	响应范围	走路速度	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	缩放	武器名称	武器持握方式	武器类型	出生状态	随机动作	刷新时间	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	进入切磋前对话	结束切磋后对话	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	碰撞时对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	不能移动	攻击防御比重	防御概率	"战斗频率,毫秒"	使用锁定技能概率	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	接任务表	交任务表	善恶参数	时间轴	格挡方式(-1表示不格挡)	破防几率	破防使用技能	格挡CD	使用轻功	轻功使用概率(默认为0)	脱战回血	连招表	加载蓝条	黑幕对话	不会反击	动作集	无受击动作（1不播放）	上半身受击动作（1不播放）	NPC优先显示	动态图标	商店ID	天气包	是否可见	动态副本积分	动态buff包	动态技能包	动态副本限制套路标志	伤害判定奖励类BOSS类型	追击高度差	竞拍掉落	团队显示道具
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	script	ModifyPropID	PowerNo	AITemplate	AIParaNo	NpcType	NeedRotate	Resource	CollideRadius	Photo	Material	LuaScript	Level	BossLevel	RunSpeed	FacultyExp	DropID	DropCount	table@SkillRec	NotPositive	SpringRange	WalkSpeed	Fixed	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	Scale	WeaponName	WeaponMode	WeaponType	table@BornActionRec	RandomAction	RefreshTime	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	KnockTalk	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	CantMove	AttackRate	AIParrayRate	AIFightFreq	UseLockRate	SkillHoldTime	CallHelpType	CallHelpID	CallHelpRange	ShowRate	ShowTime	ChaseRange	OnlyCareDistance	AddPropID	NormalSkill	SelfForceID	table@ForceRec	AIEditorPackID	DirectSpring	table@TaskCanAccept	table@TaskCanSubmit	Character	AxisId	ParrayID	AIBreakParryRate	BreakParrySkill	ParryCD	UseQingGong	UseQGRate	RecoverType	table@TaoluRec	NeedInitMp	NpcTalkType	CantFight	ActionSet	CantPlayHurtAction	FixedBeHitAct	RefreshAtonce	TrendsIcon	ShopID	WeatherPag	Invisible	DynamicCloneScore	DynamicBuffPackID	DynamicSkillPackID	DynamicLimitSkillFlag	BossDamageRankPrizeID	ChaseYRange	AuctionDropID	IsDropTip
																																																																																																																
	//孔雀山庄BOSS																																																																																																															
bossclone001010	吕尸华（低）	BossNpc			7	1	3		npc\itemnpc1088	1				1	9	0					0	1	0	1	2	1	1	1						"4.5,4.5,4.5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4494				2		5			20			4				1		1	1													
bossclone001004	汤野（低）	BossNpc			7	1	3		npc\itemnpc1323	1				1	9	0					0	1	0	1	2	1	1	1						"6,6,6"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4492				2		5			20			4				1		1	1													
bossclone001009	杜铁芯（低）	BossNpc			7	1	3		npc\itemnpc630	1				1	9	0					0	1	0	1	2	1	1	1												-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4493				2		5			20			4				1		1	1													
bossclone001001	龙孟（低）	BossNpc			7	1	3		npc\itemnpc057m	1				1	9	0					0	1	0	1	2	1	1	1						"2,2,2"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4486				2		5			20			4				1		1	1													
bossclone001012	狗郎君（低）	BossNpc			7	1	3		npc\itemnpc057_huo	1				1	9	0					0	1	0	1	2	1	1	1						"5,5,5"						-1					2															0	0	0	1	100	-1	2000	20	1000	1		10							1001		4491				2		5			20			4				1		1	1													
bossclone001003	南霸天（低）	BossNpc		536	7	1	340		npc\monster190	0.925	icon\monster\monster190.png			49	4	5			6	"clone001_dinggan_01,1,0;clone001_dinggan_02,1,0;clone001_dinggan_03,1,0;clone001_dinggan_xff,1,0;clone001_dinggan_gcj,1,0;clone001_dinggan_clmzd,1,0"	0	15	1.5	1	2	3600	300	7200												-1					2													funnpcclone001001		0	0	0		100	-1	2000	20	1000	1		5				1			1001		4485	1			2	1069	5			20									1	1													
