STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
2002	item_cfglrm_01	1	0	1	20354
2100	item_gjcf_002	1	0	1	20452
2101	item_gjcf_002	1	0	1	
2003	item_cfglrm_02	1	1	1	20354
2004	UseItem_lmrc_10		1	1	
2102	useitem_cfbj_gj01	1	1	1	20472
2103	useitem_cfbj_gj02	1	1	1	20473
2005	UseItem_lmrc_01	1	0	1	20103
2006	item_yhg_hd_005	0	1	1	20107
2007	UseItem_lmrc_001	1	0	1	20101
2008	TaskItem_lmrc_02	0	1	1	20102
2009	use_item_changfeng_zyb_001	1	0	1	20303
2104	UseItem_lmrc_007	0	1	1	20105
