STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
71151	item_ngsj_juqingguj_006	0	1	1	71359
71152	item_ngsj_juqingguj_012	0	1	1	
71153	item_ngsj_juqingguj_015	1	1	1	71368
71154	item_mrsj_lbqy001	1	1	1	71302
71155	item_ymzyb_001	1	0	1	71153
71156	item_dfzyb_013	1	0	1	
71157	item_dfzyb_002	0	1	1	71211
71158	item_dfzyb_003	0	1	1	71211
71159	item_dfzyb_004	0	1	1	71211
71160	taskitem_ymsj_gujcy_010	0	1	1	71175
71161	item_ngsj_juqingguj_002	0	1	1	
71162	item_ngsj_juqingguj_004	0	1	1	
71163	item_ngsj_juqingguj_007	0	1	1	
71164	item_ngsj_juqingguj_009	0	1	1	
71165	item_ngsj_juqingguj_011	0	1	1	
71166	item_ngsj_juqingguj_010	0	1	1	
71167	item_ngsj_juqingguj_013	0	1	1	
71170	item_dfzyb_006	0	1	1	71213
71171	item_dfzyb_007	0	1	1	71213
71172	item_dfzyb_008	0	1	1	71213
71173	item_dfzyb_009	0	1	1	71213
71174	useitem_sjzyb_004	1	0	1	71166
71176	useitem_sjzyb_006	1	0	1	71166
71175	useitem_sjzyb_005	1	0	1	71166
71177	useitem_sjzyb_001	1	0	1	71238
71178	useitem_sjzyb_002	1	0	1	71238
71179	useitem_sjzyb_003	1	0	1	71238
