STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	IsBind	TaskID
43000	drug_1001	1	0	2	1	502;703;723;743;763;783
43001	cropper_40001	1	0	1	1	
43004	toxicant_1001	1	0	2	1	504;705;725;745;765;785
43005	stuff_10001	1	0	3	1	
43006	hcitem_0501006	1	0	1	1	
43007	kuangshi_1_1001	1	0	2	1	506;707;727;747;767;787
43008	hcitem_0101001	1	0	1	1	
43009	hcitem_helmet_10202	1	0	1	1	
43010	buliao_1001	1	0	2	1	507;708;728;748;768;788
43011	kuangshi_1001	1	0	2	1	508;709;729;749;769;789
43012	stuff_10038	1	0	10	1	
43013	hcitem_ring_10202	1	0	1	1	
43014	kuangshi_1001	1	0	2	1	509;710;730;750;770;790
43015	stuff_10028	1	0	10	1	
43016	hcitem_blade_10202	1	0	1	1	
43017	cropper_40001	1	0	1	1	510;711;731;751;771;791
43018	hcitem_0301001	1	0	1	1	
43019	stuff_10011	1	0	3	1	510;711;731;751;771;791
43020	seed1113	1	0	1	1	513;714;734;754;774;794;802;805;808;811;814;817
43021	nongyao10001	1	0	1	1	513;714;734;754;774;794
43022	nongyao10002	1	0	1	1	
43023	nongyao10003	1	0	1	1	
43024	hcitem_0900001	1	0	1	1	
43025	stuff_10086	1	0	1	1	515;716;736;756;776;796;856;877;878;879
43026	stuff_10093	1	0	2	1	515;716;736;756;776;796;856;877;878;879
43027	hcitem_2000001	1	0	1	1	516;717;737;757;777;797;857;880;881;882
43028	yanliao_2000001	1	0	1	1	516;717;737;757;777;797;857;880;881;882
43029	stuff_10086	1	0	2	1	516;717;737;757;777;797;857;880;881;882
43030	stuff_10038	1	0	1	1	
43031	qpitem_10001	1	0	1	1	517;718;738;758;778;798;858;874;875;876
43032	hcitem_1000001	1	0	1	1	
43033	tool_nf_01	1	 	1	1	
43034	cropper_40002	1	0	1	1	510;711;731;751;771;791
43035	stuff_10033	1	0	10	1	
43036	hcitem_0100001	1	0	1	1	502;703;723;743;763;783
43037	hcitem_0100003	1	0	1	1	504;705;725;745;765;785
43038	hcitem_kuangshi_1001	1	0	1	1	506;707;727;747;767;787
43039	fenjie_20001	1	0	5	1	
43040	blade_10101	1	0	1	1	825;833;840;847;854
43041	fenjie_10001	1	0	5	1	
43042	cloth_10101	1	0	1	1	821;829;836;843;850
43043	fenjie_30001	1	0	5	1	
43044	ring_10101	1	0	1	1	823;831;838;845;852
43045	ring_sh_ys_001	1	0	1	1	502;703;723;743;763;783
43046	cloth_sh_ds_001	1	0	1	1	504;705;725;745;765;785
43047	hcitem_0100004	1	0	1	1	507;708;728;748;768;788
43048	cloth_sh_cf_001	1	0	1	1	507;708;728;748;768;788
43049	hcitem_0100002	1	0	1	1	508;709;729;749;769;789
43050	ring_sh_jq_001	1	0	1	1	508;709;729;749;769;789
43051	hcitem_0100005	1	0	1	1	509;710;730;750;770;790
43052	blade_sh_tj_001	1	0	1	1	509;710;730;750;770;790
43053	hcitem_0302003	1	0	1	1	510;711;731;751;771;791
43054	blade_sh_cs_001	1	0	1	1	510;711;731;751;771;791
43055	hcitem_0900001	1	0	1	1	515;716;736;756;776;796;856;877;878;879
43056	hcitem_1900001	1	0	1	1	519;720;740;760;780;800;860
43057	hcitem_1000001	1	0	1	1	518;719;739;759;779;799;859;871;872;873
43058	fenjie_30001	1	0	18	1	822;830;837;844;851
43059	fenjie_20001	1	0	18	1	824;832;839;846;853
43060	fenjie_10001	1	0	18	1	826;834;841;848;855
43061	fqrwdj_1007	1	0	1	0	925
43062	mlyqdh_01	1	0	1	1	
43063	item_lxxz_cc_001		1	1		
