STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
3800		0			
3801	useitem_thd_cc003	0	1	1	39621
3802	useitem_thd_cc002	0	1	1	39622
3803	useitem_thd_cc004	1	1	1	39625
3804	item_thd_cc004	1	1	1	39625
3805	item_thd_cc003	1	0	1	39625
3806	useitem_thd_cc005	1	0	1	39629
3807	useitem_thd_cc006	1	1	1	39632
3808	item_thd_guihuagao	1	1	1	
3809	item_thd_huaduo	1	1	1	
3810	item_thd_xinwu_1	1		1	
3811	item_thd_xinwu_2	1		1	
3812	item_thd_xinwu_3	1		1	
3813	item_thd_xinwu_4	1		1	
3814	item_thd_xinwu_5	1		1	
3815	item_thd_xinwu_6	1		1	
3822	item_thd_yaowu	1	1	1	
3823					
3824	item_thd_shachongji	1		1	39709
3825	item_thd_feiliao	1		1	39709
3826	item_thd_shuihu	1		1	39709
3830	taskitem_thd_008	1	0	1	39901
3827	item_thd_cc011	0	1	1	39636
3828	item_thd_cc009	0	1	1	39634
3829	item_thd_cc002	0	1	1	39623
3831	taskitem_thd_011	0	1	1	39904
3832	tool_thd_fish_01	1	1	1	39674
3833	item_thd_xinjian	1		1	39683
3834	item_thd_cc005	0	1	1	39625
3835	item_thd_cc012	0	1	1	39637
3836	item_thd_cc007	0	1	1	39629
3837	item_thd_thz	1	0	1	39714
