STRING	STRING	STRING	STRING	STRING	STRING
ID	ItemId	IsGive	back	Count	TaskID
17600	taskitem_63m	1	0	1	
17601	taskitem_74m	1	0	1	80617
17602	taskitem_77m	0	1	1	80620
17603	taskitem_93m	0	1	1	80610
17604	taskitem_64m	0	1	1	
17605	useitem_30m	1	0	1	80608
17608	taskitem_67m	0	1	1	80605
17609	taskitem_003cyh	0	1	1	80622
17610	taskitem_008cyh-1	1	1	1	
17611	taskitem_009cyh	0	1	1	80627
17612	taskitem_010cyh	0	1	1	80629
17613	useitem_001cyh	1	0	1	80632
17615	taskitem_012cyh	0	1	1	80633
17616	taskitem_013cyh	1	0	1	80636
17617	taskitem_012cyh	1	0	1	80637
17618	taskitem_012cyh	0	1	1	80638
17619	taskitem_011cyh	0	1	1	80632
17620	useitem_006cyh	1	1	1	
17621	taskitem_016cyh	1	0	1	
17622	taskitem_017cyh	1	0	1	80625
