STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	ActionID	HideNpcID
4003	WorldNpc00007	1	DialogID_4003			interactinfo_4003	okmenu24011			
4010	Gather00004f	1	0			interactinfo_4010				
4011	Gather00004f	1	0			interactinfo_4011				
4020	Gather00019f	22	DialogID_4020_1			interactinfo_4020_1				
4021	WorldNpc09801	17	DialogID_4021_1			interactinfo_4021_1				
4024	WorldNpc00032	4	DialogID_4024_1			interactinfo_4024				
4025	WorldNpc00031	4	DialogID_4025_1		taskitem_9b-1	interactinfo_4025_1				
4027	WorldNpc06459	20	DialogID_4027_1			interactinfo_4027				
4029	WorldNpc06459	20	DialogID_4029_1			interactinfo_4029_1				
4030	Gather00010a	20	DialogID_24323_1			interactinfo_4030				
4036	WorldNpc02907	10	DialogID_4036_1			interactinfo_4036_1	okmenu_4036_1			
4038	WorldNpc02522	9	DialogID_4038_1	taskitem_12a-1		interactinfo_4038_1				
4039	WorldNpc02523	9	DialogID_4039_2		taskitem_12a-1	interactinfo_4039_2				
4041	WorldNpc02526	9	DialogID_4041_2		taskitem_22a-1	interactinfo_4041_2				
4042	EventNpc24445	9				interactinfo_4042_1				
4044	WorldNpc02533	9	DialogID_4044_1		taskitem_414-1	interactinfo_4044_1				
4045	WorldNpc02534	9	DialogID_4045_1	useitem_8a-1		interactinfo_4045_1				
4046	Gather00016a	22				interactinfo_4046_1				
4047	WorldNpc02533	9	DialogID_4047_1			interact24499_1				
4048	WorldNpc06128	22	DialogID_4048_1			interact24508_1				
4049	WorldNpc06132	22	DialogID_24515_1		taskitem_27a-1	interact24515_1				
4050	Gather00019a	22				interact24519_1				
4051	Gather00020a	22				interact24519_2				
4052	Gather00021a	22				interact24519_3				
4053	WorldNpc06128	22	DialogID_4053_1		taskitem_30a-1	interact24528_1				
4054	EventNpc24538_1	9				interact24538_1				
4055	EventNpc24538_2	9				interact24538_2				
4056	EventNpc24538_3	9				interact24538_3				
4057	Gather00023a	9		useitem_17a-1		interactinfo_4057				
4058	Gather00024a	9		useitem_19a-1		interactinfo_4058_1				
4059	WorldNpc02450	9	DialogID_24589_1		taskitem_35a-1	interact24589_1				
4060	WorldNpc02451	9	DialogID_24589_2		taskitem_36a-1	interact24589_2				
4061	WorldNpc02450	9	DialogID_4061_1	taskitem_38a-1		interact24591_1				
4062	WorldNpc02479	9	DialogID_4062_2		taskitem_38a-1|taskitem_39a-1	interact24591_2				
4063	WorldNpc02451	9	DialogID_4063_1		taskitem_35a-1	interact24593_1				
4064	WorldNpc02450	9	DialogID_4064_2		taskitem_36a-1	interact24593_2				
4065	WorldNpc04706	11	DialogID_4065_1			interactinfo_4065_1				
4067	WorldNpc04810	11	DialogID_4067_1		useitem_26b-1	interactinfo_4067_1				
4071	WorldNpc04429	11	DialogID_24673_1		taskitem_29b-1	interact24673_1				
4072	WorldNpc04707	11				interact24679_1				
4073	WorldNpc04555	11	DialogID_24691_1	taskitem_88-1		interact24691_1				
4074	WorldNpc04710	11	DialogID_24691_2		taskitem_88-1	interact24691_2				
4075	WorldNpc04556	11	DialogID_24692_1	taskitem_24b-1		interact24692_1				
4076	WorldNpc04710	11	DialogID_24692_2		taskitem_24b-1	interact24692_2				
4077	WorldNpc04557	11	DialogID_24694_1			interact24694_1				
4081	WorldNpc09813	17	DialogID_4081_1	useitem_5h-1		interactinfo_4081_1				
4142	WorldNpc06009	21	DialogID_4142_1			interactinfo_4142_1	okmenu_4142_1			
4150	WorldNpc06110	22	DialogID_4150_2	useitem_18f-1	useitem_42b-1	interactinfo_4150_2	okmenu_4150_2			
4196	WorldNpc08858	13	DialogID_4196_1		taskitem_1a-5	interactinfo_4196_1	okmenu_4196_1			
4207	EventNpc24326	20				interactinfo_4207_1				
4242	Gather00031b	9		useitem_17a-1		interactinfo_4242_1				
4252	WorldNpc02449	9	DialogID_4252_1			interactinfo_4252_1	okmenu_4252_1			
4001	EventNpc24001	1				interactinfo_4001_1		24002		
4005	Gather00003f	1	0			interactinfo_4005		24013		
4012	FuncNpc00002	1	DialogID_4012_1	useitem_39b-1		interactinfo_4012_1	okmenu_4012	24034		
4013	FuncNpc00004		DialogID_4013_1			interactinfo_4013_1	okmenu_4013	24037		
4082	WorldNpc00016	1	DialogID_4082_1			interactinfo_4082_1	okmenu_4082_1	24026		
