STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID	ActionID	
4019	WorldNpc09612	story_4019_1	storymenu_4019_1	9607	0	storyinfo_24204	17			
4019	WorldNpc09612	story_4019_2	storymenu_4019_2	9607	0	storyinfo_24204	17			
4021	WorldNpc09605	story_4021_1	storymenu_4021_1	9607	0	storyinfo_24225	17			
4021	WorldNpc09605	story_4021_2	storymenu_4021_2	9607	0	storyinfo_24225	17			
4022	WorldNpc09601	story_4022_1	storymenu_4022_1	9607	0	storyinfo_24227	17			
4022	WorldNpc09601	story_4022_2	storymenu_4022_2	9607	0	storyinfo_24227	17			
4023	WorldNpc09601	story_4023_1	storymenu_4023_1	9607	0	storyinfo_4023	17			
4023	WorldNpc09601	story_4023_2	storymenu_4023_2	9607	0	storyinfo_4023	17			
4023	WorldNpc09601	story_4023_3	storymenu_4023_3	9607	0	storyinfo_4023	17			
4026	WorldNpc05802	story_4026_1	storymenu_4026_1	9607	0	storyinfo_24268	21			
4026	WorldNpc05802	story_4026_2	storymenu_4026_2	9607	0	storyinfo_24268	21			
4032	WorldNpc06612	story_4032_1	storymenu_4032_1	9607	0	storyinfo_24304	20			
4032	WorldNpc06612	story_4032_2	storymenu_4032_2	9607	0	storyinfo_24304	20			
4040	WorldNpc02643	story_4040_1	storymenu_4040_1	9607	0	storyinfo_4040	10			
4040	WorldNpc02643	story_4040_2	storymenu_4040_2	9607	0	storyinfo_4040	10			
4043	WorldNpc02510	story_4043_1	storymenu_4043_1	9607	0	storyinfo_24452	9			
4043	WorldNpc02510	story_4043_2	storymenu_4043_2	9607	0	storyinfo_24452	9			
4043	WorldNpc02510	story_4043_3	storymenu_4043_3	9607	0	storyinfo_24452	9			
4044	WorldNpc02532	story_4044_1	storymenu_4044_1	9607	0	storyinfo_24460	9			
4044	WorldNpc02532	story_4044_2	storymenu_4044_2	9607	0	storyinfo_24460	9			
4044	WorldNpc02532	story_4044_3	storymenu_4044_3	9607	0	storyinfo_24460	9			
4045	WorldNpc02532	story_4045_1	storymenu_4045_1	9607	0	storyinfo_24463	9			
4045	WorldNpc02532	story_4045_2	storymenu_4045_2	9607	0	storyinfo_24463	9			
4045	WorldNpc02532	story_4045_3	storymenu_4045_3	9607	0	storyinfo_24463	9			
4046	WorldNpc02528	story_4046_1	storymenu_4046_1	9607	0	storyinfo_24465	9			
4046	WorldNpc02528	story_4046_2	storymenu_4046_2	9607	0	storyinfo_24465	9			
4046	WorldNpc02528	story_4046_3	storymenu_4046_3	9607	0	storyinfo_24465	9			
4049	WorldNpc06130	story_4049_3	storymenu_4049_3	9607	0	storyinfo_4049	22			
4049	WorldNpc06130	story_4049_1	storymenu_4049_1	9607	0	storyinfo_24489	22			
4049	WorldNpc06130	story_4049_2	storymenu_4049_2	9607	0	storyinfo_24489	22			
4050	WorldNpc06130	story_4050_1	storymenu_4050_1	9607	0	storyinfo_24497	22			
4050	WorldNpc06130	story_4050_2	storymenu_4050_2	9607	0	storyinfo_24497	22			
4050	WorldNpc06130	story_4050_3	storymenu_4050_3	9607	0	storyinfo_24497	22			
4051	WorldNpc02528	story_4051_1	storymenu_4051_1	9607	0	storyinfo_24500	9			
4051	WorldNpc02528	story_4051_2	storymenu_4051_2	9607	0	storyinfo_24500	9			
4051	WorldNpc02528	story_4051_3	storymenu_4051_3	9607	0	storyinfo_24500	9			
4052	WorldNpc06131	story_4052_1	storymenu_4052_1	9607	0	storyinfo_24510	22			
4052	WorldNpc06131	story_4052_2	storymenu_4052_2	9607	0	storyinfo_24510	22			
4052	WorldNpc06131	story_4052_3	storymenu_4052_3	9607	0	storyinfo_24510	22			
4053	WorldNpc06130	story_24521_1	storymenu_24521_1	9607	0	storyinfo_24521	22			
4053	WorldNpc06130	story_24521_2	storymenu_24521_2	9607	0	storyinfo_24521	22			
4053	WorldNpc06130	story_24521_3	storymenu_24521_3	9607	0	storyinfo_24521	22			
4059	WorldNpc02437	story_4059_1	storymenu_4059_1	9607	0	storyinfo_24553	9			
4059	WorldNpc02437	story_4059_2	storymenu_4059_2	9607	0	storyinfo_24553	9			
4060	WorldNpc02440	story_4060_1	storymenu_4060_1	9607	0	storyinfo_24556	9			
4060	WorldNpc02440	story_4060_2	storymenu_4060_2	9607	0	storyinfo_24556	9			
4061	WorldNpc02440	story_4061_1	storymenu_4061_1	9607	0	storyinfo_24558	9			
4061	WorldNpc02440	story_4061_2	storymenu_4061_2	9607	0	storyinfo_24558	9			
4062	WorldNpc02440	story_4062_1	storymenu_4062_1	9607	0	storyinfo_24565	9			
4062	WorldNpc02440	story_4062_2	storymenu_4062_2	9607	0	storyinfo_24565	9			
4064	WorldNpc02443	story_4064_1	storymenu_4064_1	9607	0	storyinfo_24573	9			
4064	WorldNpc02443	story_4064_2	storymenu_4064_2	9607	0	storyinfo_24573	9			
4068	WorldNpc02450	story_4068_1	storymenu_4068_1	9607	0	storyinfo_24596	9			
4068	WorldNpc02450	story_4068_2	storymenu_4068_2	9607	0	storyinfo_24596	9			
4070	WorldNpc02454	story_4070_1	storymenu_4070_1	9607	0	storyinfo_24611	9			
4070	WorldNpc02454	story_4070_2	storymenu_4070_2	9607	0	storyinfo_24611	9			
4071	WorldNpc02453	story_24615_1	storymenu_24615_1	9607	0	storyinfo_24615	9			
4071	WorldNpc02453	story_24615_2	storymenu_24615_2	9607	0	storyinfo_24615	9			
4072	WorldNpc04708	story_4072_1	storymenu_4072_1	9607	0	storyinfo_24628	11			
4072	WorldNpc04708	story_4072_2	storymenu_4072_2	9607	0	storyinfo_24628	11			
4073	WorldNpc04807	story_4073_1	storymenu_4073_1	9607	0	storyinfo_4073	11			
4073	WorldNpc04807	story_4073_2	storymenu_4073_2	9607	0	storyinfo_4073	11			
4075	WorldNpc04401	story_4075_1	storymenu_4075_1	9607	0	storyinfo_24696	11			
4075	WorldNpc04401	story_4075_2	storymenu_4075_2	9607	0	storyinfo_24696	11			
4082	WorldNpc06003	story_4082_1	storymenu_4082_1	9607	0	storyinfo_4082	21			
4082	WorldNpc06003	story_4082_2	storymenu_4082_2	9607	0	storyinfo_4082	21			
4129	WorldNpc06113	story_4129_1	storymenu_4129_1	9607	0	storyinfo_4129	22			
4129	WorldNpc06113	story_4129_2	storymenu_4129_2	9607	0	storyinfo_4129	22			
4137	WorldNpc02427	story_4137_1	storymenu_4137_1	9607	0	storyinfo_4137	9			
4137	WorldNpc02427	story_4137_2	storymenu_4137_2	9607	0	storyinfo_4137	9			
4137	WorldNpc02427	story_4137_3	storymenu_4137_3	9607	0	storyinfo_4137	9			
4139	WorldNpc02427	story_4139_1	storymenu_4139_1	9607	0	storyinfo_4139	9			
4139	WorldNpc02427	story_4139_2	storymenu_4139_2	9607	0	storyinfo_4139	9			
4005	FuncNpc00004	story_4005_1	storymenu_4005_1	9607	0	storyinfo_4005	1	24026		
4005	FuncNpc00004	story_4005_2	storymenu_4005_2	9607	0	storyinfo_4005	1	24026		
4012	WorldNpc06103	story_4012_1	storymenu_4012_1	9607	0	storyinfo_4012	22	24149		
4012	WorldNpc06103	story_4012_2	storymenu_4012_2	9607	0	storyinfo_4012	22	24149		
4012	WorldNpc06103	story_4012_3	storymenu_4012_3	9607	0	storyinfo_4012	22	24149		
4013	WorldNpc06104	story_4013_1	storymenu_4013_1	9607	0	storyinfo_4013	22	24152		
4013	WorldNpc06104	story_4013_2	storymenu_4013_2	9607	0	storyinfo_4013	22	24152		
4013	WorldNpc06104	story_4013_3	storymenu_4013_3	9607	0	storyinfo_4013	22	24152		
4014	WorldNpc06106	story_4014_1	storymenu_4014_1	9607	0	storyinfo_4014	22	24154		
4014	WorldNpc06106	story_4014_2	storymenu_4014_2	9607	0	storyinfo_4014	22	24154		
4014	WorldNpc06106	story_4014_3	storymenu_4014_3	9607	0	storyinfo_4014	22	24154		
4015	WorldNpc06112	story_4015_1	storymenu_4015_1	9607	0	storyinfo_4015	22	24165		
4015	WorldNpc06112	story_4015_2	storymenu_4015_2	9607	0	storyinfo_4015	22	24165		
4015	WorldNpc06112	story_4015_3	storymenu_4015_3	9607	0	storyinfo_4015	22	24165		
4015	WorldNpc06112	story_4015_4	storymenu_4015_4	9607	0	storyinfo_4015	22	24165		
4016	WorldNpc06116	story_4016_1	storymenu_4016_1	9607	0	storyinfo_4016	22	24172		
4016	WorldNpc06116	story_4016_2	storymenu_4016_2	9607	0	storyinfo_4016	22	24172		
4016	WorldNpc06116	story_4016_3	storymenu_4016_3	9607	0	storyinfo_4016	22	24172		
4016	WorldNpc06116	story_4016_4	storymenu_4016_4	9607	0	storyinfo_4016	22	24172		
4017	WorldNpc09601	story_4017_1	storymenu_4017_1	9607	0	storyinfo_4017	17	24193		
4017	WorldNpc09601	story_4017_2	storymenu_4017_2	9607	0	storyinfo_4017	17	24193		
4017	WorldNpc09601	story_4017_3	storymenu_4017_3	9607	0	storyinfo_4017	17	24193		
4017	WorldNpc09601	story_4017_4	storymenu_4017_4	9607	0	storyinfo_4017	17	24193		
4017	WorldNpc09601	story_4017_5	storymenu_4017_5	9607	0	storyinfo_4017	17	24193		
4018	WorldNpc09602	story_4018_1	storymenu_4018_1	9607	0	storyinfo_4018	17	24196		
4018	WorldNpc09602	story_4018_2	storymenu_4018_2	9607	0	storyinfo_4018	17	24196		
4018	WorldNpc09602	story_4018_3	storymenu_4018_3	9607	0	storyinfo_4018	17	24196		
4020	WorldNpc09805	story_4020_1	storymenu_4020_1	9607	0	storyinfo_4020	17	24217		
4020	WorldNpc09805	story_4020_2	storymenu_4020_2	9607	0	storyinfo_4020	17	24217		
4020	WorldNpc09805	story_4020_3	storymenu_4020_3	9607	0	storyinfo_4020	17	24217		
4024	WorldNpc00029	story_4024_1	storymenu_4024_1	9607	0	storyinfo_4024	1	24249		
4024	WorldNpc00029	story_4024_2	storymenu_4024_2	9607	0	storyinfo_4024	1	24249		
4024	WorldNpc00029	story_4024_3	storymenu_4024_3	9607	0	storyinfo_4024	1	24249		
4025	WorldNpc00031	story_4025_1	storymenu_4025_1	9607	0	storyinfo_4025	1	24263		
4025	WorldNpc00031	story_4025_2	storymenu_4025_2	9607	0	storyinfo_4025	1	24263		
4027	WorldNpc00031	story_4027_1	storymenu_4027_1	9607	0	storyinfo_4027	1	24270		
4027	WorldNpc00031	story_4027_2	storymenu_4027_2	9607	0	storyinfo_4027	1	24270		
4028	WorldNpc00031	story_4028_1	storymenu_4028_1	9607	0	storyinfo_4028	1	24283		
4028	WorldNpc00031	story_4028_2	storymenu_4028_2	9607	0	storyinfo_4028	1	24283		
4028	WorldNpc00031	story_4028_3	storymenu_4028_3	9607	0	storyinfo_4028	1	24283		
4028	WorldNpc00031	story_4028_4	storymenu_4028_4	9607	0	storyinfo_4028	1	24283		
4028	WorldNpc00031	story_4028_5	storymenu_4028_5	9607	0	storyinfo_4028	1	24283		
4029	WorldNpc08859	story_4029_1	storymenu_4029_1	9607	0	storyinfo_4029	13	24294		
4029	WorldNpc08859	story_4029_2	storymenu_4029_2	9607	0	storyinfo_4029	13	24294		
4029	WorldNpc08859	story_4029_3	storymenu_4029_3	9607	0	storyinfo_4029	13	24294		
4029	WorldNpc08859	story_4029_4	storymenu_4029_4	9607	0	storyinfo_4029	13	24294		
4029	WorldNpc08859	story_4029_5	storymenu_4029_5	9607	0	storyinfo_4029	13	24294		
4030	WorldNpc08841	story_4030_1	storymenu_4030_1	9607	0	storyinfo_4030	13	24296		
4030	WorldNpc08841	story_4030_2	storymenu_4030_2	9607	0	storyinfo_4030	13	24296		
4030	WorldNpc08841	story_4030_3	storymenu_4030_3	9607	0	storyinfo_4030	13	24296		
4031	WorldNpc06402	story_4031_1	storymenu_4031_1	9607	0	storyinfo_4031	20	24302		
4031	WorldNpc06402	story_4031_2	storymenu_4031_2	9607	0	storyinfo_4031	20	24302		
4031	WorldNpc06402	story_4031_3	storymenu_4031_3	9607	0	storyinfo_4031	20	24302		
4033	WorldNpc06484	story_4033_1	storymenu_4033_1	9607	0	storyinfo_4033	20	24316		
4033	WorldNpc06484	story_4033_2	storymenu_4033_2	9607	0	storyinfo_4033	20	24316		
4033	WorldNpc06484	story_4033_3	storymenu_4033_3	9607	0	storyinfo_4033	20	24316		
4034	WorldNpc08835	story_4034_1	storymenu_4034_1	9607	0	storyinfo_4034	13	24341		
4034	WorldNpc08835	story_4034_2	storymenu_4034_2	9607	0	storyinfo_4034	13	24341		
4035	WorldNpc08718	story_4035_1	storymenu_4035_1	9607	0	storyinfo_4035	13	24352		
4035	WorldNpc08718	story_4035_2	storymenu_4035_2	9607	0	storyinfo_4035	13	24352		
4036	WorldNpc02907	story_4036_1	storymenu_4036_1	9607	0	storyinfo_4036	10	24386		
4036	WorldNpc02907	story_4036_2	storymenu_4036_2	9607	0	storyinfo_4036	10	24386		
4037	WorldNpc02641	story_4037_1	storymenu_4037_1	9607	0	storyinfo_4037	10	24389		
4037	WorldNpc02641	story_4037_2	storymenu_4037_2	9607	0	storyinfo_4037	10	24389		
