STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	RoundID	Plot	Title	Step	SearchID	Line	AcceptNpc	SubmitNpc	SceneID	AcceptSceneID	SubmitSceneID	AutoAcceptID	AutoSubmit	PreTaskLimit	NextTaskLimit	NotShowMenu	Relation	LuckValue	AcceptLimit	SubmitLimit	AcceptDecMoney	SubFunction	TaskItemList	RefreshMonster	TimeLimitLength	SubmitNpcEx	TaskScript	TitleId	ContextId	AcceptDialogId	CompleteDialogId	UnCompleteDialogId	TaskTargetId	TrackInfoID	LineNextInfo	CanAcceptMenu	UncompleteMenu	CompleteMenu	AcceptMovie	SubmitMovie	DramaAccept	DramaSubmit	CanGiveup	ShareType	RepeatType	RepeatPeriod	CountDayLimit	DifficultCoefficient	DifficultLevel	NeedVip
49201	12				s1350101	12	wssz_038	wssz_038		6	6																	title_49201	context_49201	accept_49201_1;menu_49201_1	complete_49201;submit_49201		target_49201			CanAcceptMenu_49201		CompleteMenu_49201					0	0	0					
49202	12				s1350101	12	wssz_038	wssz_038		6	6																	title_49202	context_49202	accept_49202_1;menu_49202_1	complete_49202;submit_49202		target_49202			CanAcceptMenu_49202		CompleteMenu_49202					0	0	0					
49203	12				s1350101	12	wssz_038	wssz_038		6	6																	title_49203	context_49203	accept_49203_1;menu_49203_1	complete_49203;submit_49203		target_49203			CanAcceptMenu_49203		CompleteMenu_49203					0	0	0					
49204	11				s1350101	12	wssz_038	wssz_038		6	6																	title_49204	context_49204	accept_49204_1;menu_49204_1	complete_49204;submit_49204		target_49204			CanAcceptMenu_49204		CompleteMenu_49204					0	0	0					
49205	11				s1350101	12	wssz_038	wssz_038		6	6																	title_49205	context_49205	accept_49205_1;menu_49205_1	complete_49205;submit_49205		target_49205			CanAcceptMenu_49205		CompleteMenu_49205					0	0	0					
49206	11				s1350101	12	wssz_038	wssz_038		6	6																	title_49206	context_49206	accept_49206_1;menu_49206_1	complete_49206;submit_49206		target_49206			CanAcceptMenu_49206		CompleteMenu_49206					0	0	0					
49207	10				s1350101	12	wssz_038	wssz_038		6	6																	title_49207	context_49207	accept_49207_1;menu_49207_1	complete_49207;submit_49207		target_49207			CanAcceptMenu_49207		CompleteMenu_49207					0	0	0					
49208	10				s1350101	12	wssz_038	wssz_038		6	6																	title_49208	context_49208	accept_49208_1;menu_49208_1	complete_49208;submit_49208		target_49208			CanAcceptMenu_49208		CompleteMenu_49208					0	0	0					
49209	10				s1350101	12	wssz_038	wssz_038		6	6																	title_49209	context_49209	accept_49209_1;menu_49209_1	complete_49209;submit_49209		target_49209			CanAcceptMenu_49209		CompleteMenu_49209					0	0	0					
49210	13				s1350101	12	wssz_038	wssz_038		6	6																	title_49210	context_49210	accept_49210_1;menu_49210_1	complete_49210;submit_49210		target_49210			CanAcceptMenu_49210		CompleteMenu_49210					0	0	0					
49211	13				s1350101	12	wssz_038	wssz_038		6	6																	title_49211	context_49211	accept_49211_1;menu_49211_1	complete_49211;submit_49211		target_49211			CanAcceptMenu_49211		CompleteMenu_49211					0	0	0					
49212	9				s1350101	12	wssz_038	wssz_038		6	6																	title_49212	context_49212	accept_49212_1;menu_49212_1	complete_49212;submit_49212		target_49212		next_49212	CanAcceptMenu_49212		CompleteMenu_49212					0	0	0					
49213	9				s1350101	12	wssz_038	wssz_038		6	6												7600					title_49213	context_49213	accept_49213_1;menu_49213_1	complete_49213;submit_49213		target_49213		next_49213	CanAcceptMenu_49213		CompleteMenu_49213					0	0	0					
49214	13				s1350101	12	wssz_038	wssz_038		6	6																	title_49214	context_49214	accept_49214_1;menu_49214_1	complete_49214;submit_49214		target_49214			CanAcceptMenu_49214		CompleteMenu_49214					0	0	0					
49223	13				s1350101	12	wssz_038	wssz_038		6	6												7601					title_49223	context_49223	accept_49223_1;menu_49223_1	complete_49223;submit_49223		target_49223			CanAcceptMenu_49223		CompleteMenu_49223					0	0	0					
49236	11				s1350101	12	wssz_038	wssz_038		6	6																	title_49236	context_49236	accept_49236_1;menu_49236_1	complete_49236;submit_49236		target_49236			CanAcceptMenu_49236		CompleteMenu_49236					0	0	0					
49233	11				s1350101	12	wssz_038	wssz_038		6	6																	title_49233	context_49233	accept_49233_1;menu_49233_1	complete_49233;submit_49233		target_49233			CanAcceptMenu_49233		CompleteMenu_49233					0	0	0					
49227	10				s1350101	12	wssz_038	wssz_038		6	6																	title_49227	context_49227	accept_49227_1;menu_49227_1	complete_49227;submit_49227		target_49227			CanAcceptMenu_49227		CompleteMenu_49227					0	0	0					
