NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	选择状态	脚本编号	玩家最多传送人数（-1：不限制）	玩家传送坐标	npc最多传送人数（-1：不限制）	npc传送坐标	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	CKindID	SpringRange	SelectState	LuaScript	PlayerTransferNum	PlayerTransferPosition	NpcTransferNum	NpcTransferPosition	AIEditorPackID
													
GotoDoorCity04a	GotoDoor	白云洞外前往白云洞内	npc\funcnpc019	43		9	33	npc\goto_door_npc.lua	-1	"-306.917,30.925,-403.589,5.79"	0		
GotoDoorCity04b	GotoDoor	白云洞内前往白云洞外	npc\funcnpc019	43		9	33	npc\goto_door_npc.lua	-1	"366.473,-29.005,303.975,1.41"	0		
GotoDoorCity04c	GotoDoor	鸡冠洞外前往鸡冠洞内	npc\funcnpc019	43		9	33	npc\goto_door_npc.lua	-1	"-567.365,17.199,-403.888,1.98"	0		
GotoDoorCity04d	GotoDoor	鸡冠洞内前往鸡冠洞外	npc\funcnpc019	43		9	33	npc\goto_door_npc.lua	-1	"100.03,11.101,175.741,4.55"	0		
GotoDoorSchool05a	GotoDoor	墨溪前往唐门密道	npc\funcnpc019	43		3	33	npc\goto_door_npc.lua	-1	"2232.737,11.328,25.494,1.11"	0		
GotoDoorSchool05b	GotoDoor	唐门密道前往墨溪	npc\funcnpc019	43		4	33	npc\goto_door_npc.lua	-1	"1312.849,-14.733,-86.735,5.93"	0		
GotoDoorSchool05c	GotoDoor	唐门中央花园前往密道	npc\funcnpc019	43		1	33	npc\goto_door_npc.lua	-1	"2209.778,62.75,76.508,2.6"	0		
GotoDoorSchool05d	GotoDoor	密道前往唐门中央花园	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"1285.879,168.887,-153.146,4.02"	0		
													
GotoDoorSchool10a	GotoDoor	桃花阵内传送	npc\funcnpc034	53		1	33	npc\goto_door_npc.lua	-1	"-480.250,46.373,63.250,0"	0		
GotoDoorSchool10b	GotoDoor	桃花岛传送外	npc\funcnpc035	53		1	33						
GotoDoorSchool10c	GotoDoor	桃花岛传送内	npc\funcnpc035	53		1	33	npc\goto_door_npc.lua	-1	"-387.250,43.669,52.750,1.6"	0		
GotoDoorSchool10d	GotoDoor	桃花阵内传送	npc\funcnpc034	53		1	33	npc\goto_door_npc.lua	-1	"-118.250,59.415,-208.250,0"	0		
GotoDoorSchool10e	GotoDoor	桃花阵内传送	npc\funcnpc034	53		1	33	npc\goto_door_npc.lua	-1	"-941.250,50.958,-179.250,0"	0		
													
GotoDoorSchoolFight02	GotoDoor	门派战内传送	npc\funcnpc019	43		5	33	npc\goto_door_npc.lua	-1	"601.4,5.25,473.9,2.98"	0		
GotoDoorSchoolFight06	GotoDoor	门派战内传送	npc\funcnpc019	43		5	33	npc\goto_door_npc.lua	-1	"601.65,35.75,713.165,4"	0		
GotoDoorSchoolFight08	GotoDoor	门派战内传送	npc\funcnpc019	43		5	33	npc\goto_door_npc.lua	-1	"654.58,-45.721,942.86,0.3"	0		
													
GotoDooryhg01	GotoDoor	百花谷传送至古墓蜂房	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"-15.371,356.510,-306.497,4.696"	0		
GotoDooryhg02	GotoDoor	练功坪传送至虬松居	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"6.859,356.442,-368.069,3.141"	0		
GotoDooryhg03	GotoDoor	花房树屋传送至傲梅居	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"7.173,356.442,-460.104,0.024"	0		
GotoDooryhg05	GotoDoor	傲梅居传送至花房树屋	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"-1030.520,323.225,22.612,3.509"	0		
GotoDooryhg06	GotoDoor	虬松居居传送至练功坪	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"-17.349,315.339,49.648,5.580"	0		
GotoDooryhg09	GotoDoor	蜂房传送至百花谷	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"959.627,371.530,-808.759,3.434"	0		
													
GotoDooryhg10	GotoDoor	古墓派密室内部传送到密室外	npc\funcnpc019	43		2	33	npc\goto_door_npc.lua	-1	"-244.813,386.437,-576.347,0"	0		
													
