NPC编号	对象类型	ini注释名称	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	模型编号	模型半径	图片	绑定坐标	绑定坐标	绑定坐标	动作	特效	门派	对话方式	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	是否能接镖	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	踢馆专用关联NPC	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	防御概率	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	门派职权	初始动作固定帧播放	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	Resource	CollideRadius	Photo	BindPosX	BindPosY	BindPosZ	PenanceAction	PenanceEffect	PenanceSchool	NpcTalkType	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	EscortFlag	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	TgCorrelation	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	SchoolPoseID	NotRandBAFrame	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID
																																																																																						
RepentNpc01	PenanceNpc	锦衣卫悔过	241	2	2					npc\fbmac021010			0	0	0	interact337		school_jinyiwei	1					0								20				1																																																		
RepentNpc02	PenanceNpc	丐帮悔过	241	2	2					npc\itemnpc063			0	0	0	interact299		school_gaibang	1					0								20				1																																																		
RepentNpc03	PenanceNpc	君子堂悔过	241	2	2					npc\itemnpc063			0	0	0	interact156a		school_junzitang	1					0								20				1																																																		
RepentNpc04	PenanceNpc	极乐谷悔过	241	2	2					npc\fbmac021010			0	0	0	interact337		school_jilegu	1					0								20				1																																																		
RepentNpc05	PenanceNpc	唐门悔过	241	2	2					npc\itemnpc063			0	0	0	interact299		school_tangmen	1					0								20				1																																																		
RepentNpc06	PenanceNpc	峨眉悔过	241	2	2					npc\itemnpc063			0	0	0	interact235		school_emei	1					0								20				1																																																		
RepentNpc07	PenanceNpc	武当悔过	241	2	2					npc\itemnpc063			0	0	0	ng_state_1		school_wudang	1					0								20				1																																																		
RepentNpc08	PenanceNpc	少林悔过	241	2	2					npc\itemnpc063			0	0	0	interact379a		school_shaolin	1					0								20				1																																																		
RepentNpc15	PenanceNpc	念萝坝悔过	241	2	2					npc\itemnpc063			0	0	0	interact379a		newschool_nianluo	1					0								20				1																																																		
RepentNpc17	PenanceNpc	华山悔过	241	2	2					npc\itemnpc063			0	0	0	ng_state_1		newschool_huashan	1					0								20				1																																																		
RepentNpc18	PenanceNpc	明教悔过	241	2	2					npc\itemnpc063			0	0	0	ng_state_1		school_mingjiao	1					0								20				1																																																		
RepentNpc19	PenanceNpc	天山派悔过	241	2	2					npc\itemnpc063			0	0	0	ng_state_1		school_tianshan	1					0								20				1																																																		
