NPC编号	对象类型	名称	模型编号	模型半径	NPC类型	响应范围	移动的时候是否旋转	走路速度	跑步速度	AI类型	巡逻模式	路径编号	相对于自身的可站立高度	Xz平面上可站立范围类形	"StandShape=0时为半径StandShape=1时为长,垂直于面向"	"StandShape=1时为宽,平行于面向"	绳子资源路径	绳子顶高度值	脚本编号	AI编辑包	能不能被攻击	存在时间
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	CollideRadius	NpcType	SpringRange	MotionNoRotate	WalkSpeed	RunSpeed	AITemplate	PatrolMode	PathID	StandHeight	StandShape	ShapePara1	ShapePara2	RopeResource	RopeTopY	LuaScript	AIEditorPackID	CantBeAttack	LifeTime
																						
FlyNpc00001	FlyNpc	二傻	npc\fbmac00523	1	48	0	1	1.2	3	8	0	flytest	3	1	3	3						
FlyNpc00002	FlyNpc	转刺机关1	npc\itemnpc684	1	202	0	0	5	5	8	0	city02_fly001	3	0	1	3			npc\task\suzhou_01.lua			
FlyNpc00003	FlyNpc	转刺机关2	npc\itemnpc684	1	202	0	0	5	5	8	0	city02_fly002	3	0	1	3			npc\task\suzhou_01.lua			
																						
FlyNpc17001	FlyNpc	凌霄城电梯机关	npc\jt_dianti01	1	48	0	1	1.2	3	8	0	scene06_fly001	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	155				
FlyNpc17002	FlyNpc	凌霄城电梯机关	npc\jt_dianti01	1	48	0	1	1.2	3	8	0	scene06_fly002	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	155				
																						
FlyNpc17003	FlyNpc	踢馆凌霄城电梯机关	npc\jt_dianti01	1	48	0	1	1.2	3	8	0	scene06_fly001	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	155				
FlyNpc17004	FlyNpc	踢馆凌霄城电梯机关	npc\jt_dianti01	1	48	0	1	1.2	3	8	0	scene06_fly002	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	155				
																						
FlyNpc09001	FlyNpc	唐门电梯	npc\jt_dianti01	1	48	0	1	4	5	8	0	school05_fly01	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	86.518				
FlyNpc09002	FlyNpc	唐门电梯	npc\jt_dianti01	1	48	0	1	4	5	8	0	school05_fly02	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	191.116				
																						
FlyNpc19001	FlyNpc	蓬莱电梯	npc\jt_dianti01	1	48	0	1	1.2	3	8	0	FlyNpc19002	3	1	3	3	obj\itemnpc\shengzi\diantishengzi02	60.106				
