NPC编号	对象类型	名称	模型编号	NPC类型	NPC种类ID	响应范围	触发事件编号	触发类型	触发任务ID	是否可见	交互顺序	脚本编号	AI编辑包	触发条件	世界触发器相关	存在时间	触发高度
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	CKindID	SpringRange	EventIndex	EventType	EventTaskID	Invisible	EventOrder	LuaScript	AIEditorPackID	SpringCondition	UsedByTrigger	LifeTime	SpringHeightDiff
																	
EventNpc00001	EventNpc	触发测试	npc\worldnpc140	47	4	3	2	1	9998	1							
EventNpc00002	EventNpc	触发地区	npc\worldnpc140	47	4	5	0	2	9033	1	1						
EventNpc01071	EventNpc	挂灯笼之地	npc\worldnpc140	47	4	3	0	2	107	1	1						
EventNpc01131	EventNpc	枯井	npc\worldnpc140	47	4	3	0	2	112	1	2						
EventNpc70191	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	1						
EventNpc70192	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	2						
EventNpc70193	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	3						
EventNpc70194	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	4						
EventNpc70195	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	5						
EventNpc70196	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	6						
EventNpc70197	EventNpc	七星印	npc\worldnpc140	47	4	2	0	2	7019	1	7						
EventNpc70131	EventNpc	演武场跑步触发点1	npc\worldnpc140	47	4	4	0	2	10003	1	1						
EventNpc70132	EventNpc	演武场跑步触发点2	npc\worldnpc140	47	4	4	0	2	10003	1	2						
EventNpc70133	EventNpc	演武场跑步触发点3	npc\worldnpc140	47	4	4	0	2	10003	1	3						
EventNpc70134	EventNpc	演武场跑步触发点4	npc\worldnpc140	47	4	4	0	2	10003	1	4						
EventNpc70370	EventNpc	演武场木桩	npc\worldnpc140	47	4	2	0	2	10027	1	1						
EventNpc70311	EventNpc	戒律院	npc\worldnpc140	47	4	6	0	2	10021	1	1						
EventNpc70312	EventNpc	般若堂	npc\worldnpc140	47	4	6	0	2	10021	1	2						
EventNpc70313	EventNpc	藏经阁	npc\worldnpc140	47	4	6	0	2	10021	1	3						
EventNpc70314	EventNpc	达摩院	npc\worldnpc140	47	4	6	0	2	10021	1	4						
EventNpc70315	EventNpc	菩提院	npc\worldnpc140	47	4	6	0	2	10021	1	5						
EventNpc70351	EventNpc	结阵触发点1	npc\worldnpc140	47	4	2	3	1	10025	1	1						
EventNpc70352	EventNpc	结阵触发点2	npc\worldnpc140	47	4	2	4	1	10025	1							
EventNpc05360	EventNpc	天降红雪	npc\worldnpc140	47	4	10	20	4	544	1							
EventNpc05590	EventNpc	十年茫茫触发打怪地	npc\worldnpc140	47	4	4	10	1	572	1							
EventNpc05970	EventNpc	西域番僧的营地	npc\worldnpc140	47	4	4	0	2	597	1							
EventNpc22061	EventNpc	苏州太湖地宫触发点	npc\worldnpc140	47	4	4		2	22061	1	2						
EventNpc22065	EventNpc	地宫走廊内	npc\worldnpc140	47	4	4	165	4	22065	1	1						
																	
EventNpc06740	EventNpc	净能被砍处	npc\worldnpc140	47	4	10	13	1	38008	1	2						
EventNpc06750	EventNpc	了因被砍处	npc\worldnpc140	47	4	2	14	1	38045	1	2						
EventNpc44570	EventNpc	草原	npc\worldnpc140	47	4	10	206	1	44570	1	3						
EventNpc38054	EventNpc	大殿前	npc\worldnpc140	47	4	6		2	38054	1							
EventNpc38060	EventNpc	寺内的池边触发点	npc\worldnpc140	47	4	6		2	38060	1							
EventNpc38065	EventNpc	翻墙用的石头	npc\worldnpc140	47	4	6		2	38065	1	2						
EventNpc38083	EventNpc	少林寺池塘边出发点	npc\worldnpc140	47	4	6		2	38083	1							
EventNpc38001	EventNpc	树下触发点	npc\worldnpc140	47	4	70	53	4	38001	1	12118						
EventNpc90002	EventNpc	触发剧情测试	npc\itemnpc009	47	4	4	1	3	10206	1							
																	
																	
EventNpc22183	EventNpc	22183触发地	npc\worldnpc140	47	4	10		2	22183	1	2						
EventNpc22190	EventNpc	22190触发地	npc\worldnpc140	47	4	10		2	22190	1	1						
EventNpc22247	EventNpc	发现江湖人	npc\worldnpc140	47	4	5		2	22247	1	1						
EventNpc22283	EventNpc	陈士心自杀	npc\worldnpc140	47	4	3		2	22283	1	2						
EventNpc22289	EventNpc	泛黄入口	npc\worldnpc140	47	4	10		2	22289	1	1						
EventNpc22292	EventNpc	山贼聚集地	npc\worldnpc140	47	4	5		2	22292	1	1						
EventNpc22305	EventNpc	士官长被砍处	npc\worldnpc140	47	4	3	214	1	22305	1							
EventNpc22308	EventNpc	包裹所在地A	npc\worldnpc140	47	4	5		2	22308	1	1						
EventNpc22309	EventNpc	包裹所在地B	npc\worldnpc140	47	4	3		2	22309	1	1						
EventNpc22314	EventNpc	山西一穴鬼处	npc\worldnpc140	47	4	3		2	22314	1	1						
EventNpc22489	EventNpc	野味烧烤	npc\worldnpc140	47	4	5		2	22489	1	1						
																	
EventNpc24001	EventNpc	黑衣人触发点	npc\worldnpc140	47	4	4		2	24002	1	1						
EventNpc24015	EventNpc	茶林入口触发点	npc\worldnpc140	47	4	4		2	24015	1	1						
EventNpc24016	EventNpc	绿衣少女触发点	npc\worldnpc140	47	4	4	74	2	24016	1	1						
EventNpc24019	EventNpc	站立女子触发点	npc\worldnpc140	47	4	4		2	24019	1	1						
EventNpc24022	EventNpc	逃离此地	npc\worldnpc140	47	4	4		4	24022	1	1						
EventNpc24039	EventNpc	演练武功	npc\worldnpc140	47	4	4	5018	4	24039	1	1						
EventNpc24042	EventNpc	茶林深处	npc\worldnpc140	47	4	4		2	24046	1	1						
EventNpc24046	EventNpc	码头	npc\worldnpc140	47	4	4		5	24046	1							
EventNpc24048	EventNpc	入门点	npc\worldnpc140	47	4	5		5	24048	1							
EventNpc24049	EventNpc	千灯镇北触发点	npc\worldnpc140	47	4	4		2	24049	1	1						
EventNpc24058	EventNpc	天香茶林方向	npc\worldnpc140	47	4	4		2	24058	1	1						
EventNpc24061	EventNpc	乱云涧入口	npc\worldnpc140	47	4	4		2	24061	1	1						
EventNpc24062	EventNpc	乱云涧入口	npc\worldnpc140	47	4	4		5	24061	1							
EventNpc24063	EventNpc	山神庙	npc\worldnpc140	47	4	4		2	24063	1							
EventNpc24064	EventNpc	乱云涧	npc\worldnpc140	47	4	4		2	24064	1							
EventNpc24066	EventNpc	乱云涧中部	npc\worldnpc140	47	4	4		5	24066	1							
EventNpc24068	EventNpc	前面	npc\worldnpc140	47	4	4		2	24068	1							
EventNpc24074	EventNpc	峨眉派山门处	npc\worldnpc140	47	4	5		2	24074	1	2						
EventNpc24085	EventNpc	峨眉偏院外围	npc\worldnpc140	47	4	20		5	24085	1							
EventNpc24087	EventNpc	峨眉偏院	npc\worldnpc140	47	4	20		5	24087	1							
EventNpc24077	EventNpc	茶林入口触发点	npc\worldnpc140	47	4	4		2	24017	1	1						
EventNpc24089	EventNpc	附近	npc\worldnpc140	47	4	2		2	24089	1	1						
EventNpc24091	EventNpc	打斗情况	npc\worldnpc140	47	4	10		2	24091	1	1						
																	
EventNpc25180	EventNpc	向阳坡	npc\worldnpc140	47	4	5		2	24097	1	1						
EventNpc24111	EventNpc	占推家	npc\worldnpc140	47	4	3		2	24111	1	1						
EventNpc24113	EventNpc	冲古寺	npc\worldnpc140	47	4	3		2	24113	1	2						
EventNpc24120	EventNpc	叹息城	npc\worldnpc140	47	4	3		2	24120	1	1						
EventNpc24122	EventNpc	叹息城内	npc\worldnpc140	47	4	3		2	24122	1	2						
EventNpc24123_1	EventNpc	码头	npc\worldnpc140	47	4	3		2	24123	1	1						
EventNpc24123_2	EventNpc	野地	npc\worldnpc140	47	4	4		2	24123	1	2						
EventNpc24132	EventNpc	寺庙	npc\worldnpc140	47	4	5		2	24132	1	1						
