NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	鼠标	农田类型	AI编辑包
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	CursorShape	FarmLandType	AIEditorPackID
											
FarmlandNpc0001	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0002	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0003	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0004	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0005	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0006	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0007	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0008	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0009	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0010	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0011	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0012	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0013	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0014	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0015	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0016	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0017	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0018	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0019	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0020	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0021	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0022	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0023	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0024	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0025	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0026	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0027	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0028	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0029	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0030	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0031	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0032	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0033	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0034	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0035	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0036	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0037	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0038	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0039	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0040	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0041	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0042	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0043	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0044	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0045	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0046	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
FarmlandNpc0047	FarmManageNpc	农田	npc\cj_040101		201	4	5	5	farm	1	
