NPC编号	对象类型	名称	隐藏地面贴花	敌对不可见	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	机关npc类型	生命	机关npc被触发后的执行函数	出生状态	触发机关时的动作	触发后播放的特效	触发后持续添加的buff	添加buff次数	buff生效目标	NPC阵营	门派	表演时间（ms）	模型缩放	鼠标形状	AI编辑包	实力包编号	级别	优先显示												
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING												
ID	script	Name	HideDecal	InVisibleForEnemy	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	MachineNpcType	LifeTime	SpringFunc	table@BornActionRec	SpringAction	SpringEffect	AddBufferID	UseBuffCount	TrackTarget	Camp	School	ActionTimer	Scale	CursorShape	AIEditorPackID	PowerNo	Level	RefreshAtonce												
	//暗器配置																																								
HiddenNpc00001	MachineNpc	陷阱单体		1	npc\cj_106020c		202	4	2	0	npc\tracker_npc.lua	2						buf_hiddenwp_bpyz_01	1	1					0																
HiddenNpc00002	MachineNpc	陷阱范围		1	npc\cj_106020c		202	4	2	0	npc\tracker_npc.lua	2													0																
																																									
	//陷阱																																								
XJNpc_01001	MachineNpc	定身1		1	npc\hw_xj001		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj01	1	1					0																
XJNpc_01002	MachineNpc	定身2		1	npc\hw_xj001		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj01_02	1	1					0																
XJNpc_01003	MachineNpc	定身3		1	npc\hw_xj001		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj01_03	1	1					0																
XJNpc_01004	MachineNpc	定身4		1	npc\hw_xj001		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj01_04	1	1					0																
XJNpc_01005	MachineNpc	定身5		1	npc\hw_xj001		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj01_05	1	1					0																
XJNpc_02001	MachineNpc	直接伤害1		1	npc\hw_xj002		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj02	1	1					0																
XJNpc_02002	MachineNpc	直接伤害2		1	npc\hw_xj002		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj02_02	1	1					0																
XJNpc_02003	MachineNpc	直接伤害3		1	npc\hw_xj002		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj02_03	1	1					0																
XJNpc_02004	MachineNpc	直接伤害4		1	npc\hw_xj002		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj02_04	1	1					0																
XJNpc_02005	MachineNpc	直接伤害5		1	npc\hw_xj002		202	4	2	0	npc\tracker_npc.lua	4						buf_wx_jy_xj02_05	1	1					0																
