NPC编号	对象类型	名称	模型编号			NPC种类ID	响应范围	选择操作分类	脚本编号	采集范围	采集动作名	读条时间(ms)	一次性开启编号	掉落	无拾取物消失时间（s）	最大消失时间(s)	宝箱开启前特效	宝箱开启后特效	钥匙数量	钥匙id	NPC特效名称	鼠标形状	开启条件	AI编辑包	分配类型	存在时间
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	OpenRange	OpenAction	DelayTime	SeekBoxNpcNo	DropID	DestroyTime1	DestoryTime2	BeforeOpenEffect	AfterOpenEffect	KeyNum	KeyID	NpcEffect	CursorShape	ConditionID	AIEditorPackID	AllotType	LifeTime
											5															
yhgceshi001	SeekBoxNpc	木质宝箱1	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		1	drop_yhg_sl_001	3	900						28				
yhgceshi002	SeekBoxNpc	木质宝箱2	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		2	drop_yhg_sl_001	3	900						28				
yhgceshi003	SeekBoxNpc	木质宝箱3	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		3	drop_yhg_sl_001	3	900						28				
yhgceshi004	SeekBoxNpc	木质宝箱4	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		4	drop_yhg_sl_001	3	900						28				
yhgceshi005	SeekBoxNpc	木质宝箱5	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		5	drop_yhg_sl_001	3	900						28				
yhgceshi006	SeekBoxNpc	木质宝箱6	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		6	drop_yhg_sl_001	3	900						28				
yhgceshi007	SeekBoxNpc	木质宝箱7	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		7	drop_yhg_sl_001	3	900						28				
yhgceshi008	SeekBoxNpc	木质宝箱8	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		8	drop_yhg_sl_001	3	900						28				
yhgceshi009	SeekBoxNpc	木质宝箱9	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		9	drop_yhg_sl_001	3	900						28				
yhgceshi010	SeekBoxNpc	木质宝箱10	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		10	drop_yhg_sl_001	3	900						28				
yhgceshi011	SeekBoxNpc	木质宝箱11	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		11	drop_yhg_sl_001	3	900						28				
yhgceshi012	SeekBoxNpc	木质宝箱12	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		12	drop_yhg_sl_001	3	900						28				
yhgceshi013	SeekBoxNpc	木质宝箱13	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		13	drop_yhg_sl_001	3	900						28				
yhgceshi014	SeekBoxNpc	木质宝箱14	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		14	drop_yhg_sl_001	3	900						28				
yhgceshi015	SeekBoxNpc	木质宝箱15	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		15	drop_yhg_sl_001	3	900						28				
yhgceshi016	SeekBoxNpc	木质宝箱16	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		16	drop_yhg_sl_001	3	900						28				
yhgceshi017	SeekBoxNpc	木质宝箱17	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		17	drop_yhg_sl_001	3	900						28				
yhgceshi018	SeekBoxNpc	木质宝箱18	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		18	drop_yhg_sl_001	3	900						28				
yhgceshi019	SeekBoxNpc	木质宝箱19	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		19	drop_yhg_sl_001	3	900						28				
yhgceshi020	SeekBoxNpc	木质宝箱20	npc\itemnpc586	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		20	drop_yhg_sl_001	3	900						28				
																										
yhg_seekbox001	SeekBoxNpc	一捆马草	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		50	yhg_seekboxdl001	3	500						28	103524			
yhg_seekbox002	SeekBoxNpc	一枚墨玉梅花	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		51	yhg_seekboxdl002	3	500						28	103524			
yhg_seekbox003	SeekBoxNpc	装饰坛砵(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		52	yhg_seekboxdl003	3	500						28	103524			
yhg_seekbox004	SeekBoxNpc	置物柜(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		53	yhg_seekboxdl004	3	500						28	103525			
yhg_seekbox005	SeekBoxNpc	宝箱(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		54	yhg_seekboxdl005	3	500						28	103525			
yhg_seekbox006	SeekBoxNpc	置物格里的香囊	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		55	yhg_seekboxdl006	3	500						28	103525			
yhg_seekbox007	SeekBoxNpc	花瓶(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		56	yhg_seekboxdl007	3	500						28	103525			
yhg_seekbox008	SeekBoxNpc	多宝格上的小盒子	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		57	yhg_seekboxdl008	3	500						28	103525			
yhg_seekbox009	SeekBoxNpc	陶器(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		58	yhg_seekboxdl009	3	500						28	103525			
yhg_seekbox010	SeekBoxNpc	花篮1(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		59	yhg_seekboxdl010	3	500						28	103525			
yhg_seekbox011	SeekBoxNpc	花篮2(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		60	yhg_seekboxdl011	3	500						28	103525			
yhg_seekbox012	SeekBoxNpc	矿堆1(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		61	yhg_seekboxdl012	3	500						28	103525			
yhg_seekbox013	SeekBoxNpc	矿堆2(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		62	yhg_seekboxdl013	3	500						28	103525			
yhg_seekbox014	SeekBoxNpc	木材堆1(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		63	yhg_seekboxdl014	3	500						28	103525			
yhg_seekbox015	SeekBoxNpc	木材堆2(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		64	yhg_seekboxdl015	3	500						28	103525			
yhg_seekbox016	SeekBoxNpc	木材堆3(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		65	yhg_seekboxdl016	3	500						28	103525			
yhg_seekbox017	SeekBoxNpc	木材堆4(已有)	npc\npcitem633	icon\funcnpc\itemnpc005.png	297		3	9	npc\npc_seek_box.lua	2	interact041		66	yhg_seekboxdl017	3	500						28	103525			
