NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ			NPCÖÖÀàID	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	½Å±¾±àºÅ	²É¼¯·¶Î§	²É¼¯¶¯×÷Ãû	¶ÁÌõÊ±¼ä(ms)	µôÂä	ÎÞÊ°È¡ÎïÏûÊ§Ê±¼ä£¨s£©	×î´óÏûÊ§Ê±¼ä(s)	±¦Ïä¿ªÆôÇ°ÌØÐ§	±¦Ïä¿ªÆôºóÌØÐ§	Ô¿³×ÊýÁ¿	Ô¿³×id	NPCÌØÐ§Ãû³Æ	Êó±êÐÎ×´	¿ªÆôÌõ¼þ	Ëõ·Å	·ÖÅäÀàÐÍ	´æÔÚÊ±¼ä	´óÌÓÉ±×¨ÓÃ	ÍÅ¶ÓÏÔÊ¾µÀ¾ß																
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING																
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	OpenRange	OpenAction	DelayTime	DropID	DestroyTime1	DestoryTime2	BeforeOpenEffect	AfterOpenEffect	KeyNum	KeyID	NpcEffect	CursorShape	ConditionID	Scale	AllotType	LifeTime	TaoShaNpcType	IsDropTip																
																																											
BoxNpc10001	BoxNpc	Ä¾ÖÊ±¦Ïä	npc\itemnpc586	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_01	3	900						28																						
BoxNpc10002	BoxNpc	Ä¾ÖÊ±¦Ïä	npc\itemnpc586	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_01	3	900						28																						
BoxNpc10003	BoxNpc	Í­ÖÊ±¦Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_02	3	900						28																						
BoxNpc10004	BoxNpc	Í­ÖÊ±¦Ïä	npc\itemnpc587	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_02	3	900						28																						
BoxNpc10005	BoxNpc	¶ÆÒø±¦Ïä	npc\itemnpc588	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_03	3	900						28																						
BoxNpc10006	BoxNpc	¶ÆÒø±¦Ïä	npc\itemnpc588	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_03	3	900						28																						
BoxNpc10007	BoxNpc	¶Æ½ð±¦Ïä	npc\itemnpc589	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_04	3	900						28																						
BoxNpc10008	BoxNpc	¶Æ½ð±¦Ïä	npc\itemnpc589	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_04	3	900						28																						
BoxNpc10009	BoxNpc	ÏâÓñ±¦Ïä	npc\itemnpc590	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_05	3	900						28																						
BoxNpc10010	BoxNpc	ÏâÓñ±¦Ïä	npc\itemnpc590	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_05	3	900						28																						
BoxNpc10011	BoxNpc	ºÚÌú±¦Ïä	npc\itemnpc591	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_06	3	900						28																						
BoxNpc10012	BoxNpc	ºÚÌú±¦Ïä	npc\itemnpc591	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	comd_drop_taskitem_xiakexing_06	3	900						28																						
BoxNpc10013	BoxNpc	ÏâÍ­´¢Îï¹ñ	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	NormalBox06000	3	900						28																						
BoxNpc10014	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	0	NormalBox01001	1	120000						28																						
BoxNpc10015	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox01001	3	900						28																						
BoxNpc10016	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox02001	3	900						28																						
BoxNpc10017	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox02001	3	900						28																						
BoxNpc10018	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox03001	3	900						28																						
BoxNpc10019	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox03001	3	900						28																						
BoxNpc10020	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox04001	3	900						28																						
BoxNpc10021	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox04001	3	900						28																						
BoxNpc10022	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox05001	3	900						28																						
BoxNpc10023	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox05001	3	900						28																						
BoxNpc10024	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox06001	3	900						28																						
BoxNpc10025	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox06001	3	900						28																						
BoxNpc10026	BoxNpc	ÎäÆ÷¼Ü	npc\fbmac00040	icon\funcnpc\fbmac00040.png	161		3	9		2	interact041	5000	NormalBox06001	3	900						28																						
BoxNpc10027	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10028	BoxNpc	¾«ÖÂµÄÏä×Ó	npc\itemboxnpc002	icon\funcnpc\itemboxnpc002.png	161		3	9		2	interact041	5000	NormalBox03004	3	900						28																						
BoxNpc10029	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10030	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10031	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10032	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10033	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10034	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox03002	3	900						28																						
BoxNpc10035	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10036	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10037	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10038	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10039	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox06002	3	900						28																						
BoxNpc10040	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10041	BoxNpc	¾«ÖÂµÄÏä×Ó	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3	9		2	interact041	5000	NormalBox06004	3	900						28																						
BoxNpc10042	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10043	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10044	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10045	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10046	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10047	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox03002	3	900						28																						
BoxNpc10048	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10049	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10050	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10051	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10052	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox06002	3	900						28																						
BoxNpc10053	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10054	BoxNpc	¾«ÖÂµÄÀñºÐ	npc\itemnpc201	icon\funcnpc\itemnpc201.png	161		3	9		2	interact041	5000	NormalBox03004	3	900						28																						
BoxNpc10055	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox01002	3	900						28																						
BoxNpc10056	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10057	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10058	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10059	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox02002	3	900						28																						
BoxNpc10060	BoxNpc	Êé¶Ñ	npc\itemnpc048	icon\funcnpc\itemnpc048.png	161		3	9		2	interact041	5000	NormalBox03002	3	900						28																						
BoxNpc10061	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10062	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox04002	3	900						28																						
BoxNpc10063	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10064	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox05002	3	900						28																						
BoxNpc10065	BoxNpc	Êé¶Ñ	npc\itemnpc049	icon\funcnpc\itemnpc049.png	161		3	9		2	interact041	5000	NormalBox06002	3	900						28																						
BoxNpc10066	BoxNpc	³Â¾ÉµÄÄ¾Ïä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox03003	3	900						28																						
BoxNpc10067	BoxNpc	¾«ÖÂµÄÏä×Ó	npc\itemboxnpc003	icon\funcnpc\itemboxnpc003.png	161		3	9		2	interact041	5000	NormalBox05004	3	900						28																						
BoxNpc10068	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox01005	3	900						28																						
BoxNpc10069	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox02005	3	900						28																						
BoxNpc10070	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox03005	3	900						28																						
BoxNpc10071	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox04005	3	900						28																						
BoxNpc10072	BoxNpc	Ä¾ÖÆ´¢ÎïÏä	npc\itemboxnpc001	icon\funcnpc\itemnpc005.png	161		3	9		2	interact041	5000	NormalBox05005	3	900						28																						
