NPC±àºÅ	¶ÔÏóÀàÐÍ	Ãû³Æ	Ä£ÐÍ±àºÅ	NPCÀàÐÍ	ÏìÓ¦·¶Î§	Ñ¡Ôñ²Ù×÷·ÖÀà	ÐÔ±ð(0:ÄÐ 1:Å®)	½Å±¾±àºÅ	NPCËù¹Ò°óµãÊôÐÔ		Ö°ÒµID	AI±à¼­°ü	µÀ¾ßid	Ôö¼Ó»ªÀö¶È	·çË®Öµ	¼ìË÷·¶Î§	×î¶àÓÐÐ§·çË®¼Ò¾ßÊýÁ¿	¼Ò¾ßÀàÐÍ	¼Ò¾ßµµ´Î	¼Ò¾ßÂÌÈ¦Òþ²Ø
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING		STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	NpcType	SpringRange	SelectState	Sex	LuaScript	table@SaveFurnRec		Job	AIEditorPackID	HomePetItem	pretty	fengshui	relationrange	maxcheckcount	furnituretype	FurnLevel	HideDecal
home_wuqi_001	WeaponRackNpc	ÎäÆ÷¼Ü-1	npc\itemnpc897	333	5	2								5	1	4	3	1		1
home_wuqi_002	WeaponRackNpc	ÎäÆ÷¼Ü-2	npc\itemnpc898	333	5	2								20	2	4	3	1		1
home_wuqi_003	WeaponRackNpc	ÎäÆ÷¼Ü-3	npc\itemnpc899	333	5	2								40	3	4	3	1		1
home_wuqi_004	WeaponRackNpc	ÎäÆ÷¼Ü-4	npc\itemnpc900	333	5	2								70	4	4	3	1		1
home_wuqi_005	WeaponRackNpc	ÎäÆ÷¼Ü-5	npc\itemnpc901	333	5	2								120	5	4	3	1		1
home_wuqi_006	WeaponRackNpc	ÎäÆ÷¼Ü-6	npc\itemnpc902	333	5	2								200	6	4	3	1		1
																				
																				
home_fuzhuang_001	ClothesHangerNpc	·þ×°¼Ü-ÄÐ	npc\b_homefzj	333	5	2	0							200	6	2	6	2		1
home_fuzhuang_002	ClothesHangerNpc	·þ×°¼Ü-Å®	npc\g_homefzj	333	5	2	1							200	6	2	6	2		1
																				
																				
home_yijia_001	ClothesRackNpc	ÒÂ¼Ü	npc\itemnpc1407	333	5	2								200	6	2	6	2		1
																				
																				
home_xiulian_muren_001	FurnitureNpc	Ä¾ÈË×®-1	npc\itemnpc915	333	5	2								5	1	2	6	14		1
home_xiulian_muren_002	FurnitureNpc	Ä¾ÈË×®-2	npc\itemnpc916	333	5	2								20	2	2	6	14		1
home_xiulian_muren_003	FurnitureNpc	Ä¾ÈË×®-3	npc\itemnpc917	333	5	2								40	3	2	6	14		1
home_xiulian_muren_004	FurnitureNpc	Ä¾ÈË×®-4	npc\itemnpc918	333	5	2								70	4	2	6	14		1
