NPC编号	对象类型	名称	模型编号	脚本编号	AI编号	巡逻模式	寻路是是否转向	走路速度	跑步速度	路径编号	NPC类型	NPC种类ID	响应范围	是否可见	是否可被攻击	是否需要判断高度	Y轴上多近的距离才算触发	是否需要判断矩形触发范围	矩形的边长	矩形的边宽	AI编辑包	存在时间
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	LuaScript	AITemplate	PatrolMode	MotionNoRotate	WalkSpeed	RunSpeed	PathID	NpcType	CKindID	SpringRange	Invisible	CantBeAttack	NeedYAxisTrigger	Ydistance	NeedRectRangeTrigger	RectLength	RectBoard	AIEditorPackID	LifeTime
																						
leitai_yanjing_area_controller	TriggerNpc	燕京擂台区域控制器	npc\itemnpc057	npc\leitai\yangjing_area_controller.lua							91	4	18	1	1	1	3	1	30	30		
qiyu_shaolin_area_controller	TriggerNpc	少林奇遇区域触发器	npc\itemnpc057m	Adventure\qiyu_shaolin_area_controller.lua 							93	4	18	0	0	1	3	1	30	30		
																						
smoketg	TriggerNpc	烟雾弹	npc\itemnpc057								202	4	10	0	1			0				
smoketg1	TriggerNpc	烟雾弹	npc\itemnpc057								202	4	10	0	1			0				
Jhbianjie	TriggerNpc	江湖BOSS边界	npc\itemnpc057								202	4	20	0	1			0				720000
huashan_kick1	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	5	1	1						1270	
huashan_kick2	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	10	1	1						1270	
huashan_kick3	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	20	1	1						1270	
huashan_kick4	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	30	1	1						1270	
huashan_kick5	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	50	1	1						1270	
huashan_kick6	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	80	1	1						1270	
huashan_kick7	TriggerNpc	华山论剑踢人控制器	npc\itemnpc057								202	4	20	1	1						1424	
																						
groupfight001	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_fight								202	4	1	0	1			0				30000
groupfight002	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_fight								202	4	1	0	1			0				30000
groupfight003	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_fight								202	4	1	0	1			0				30000
groupfight004	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_fight								202	4	1	0	1			0				30000
groupfight005	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_fight								202	4	1	0	1			0				30000
helpfight001	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_baozi								202	4	1	0	1			0				30000
helpfight002	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_dabaozi								202	4	1	0	1			0				30000
helpfight003	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_hehua								202	4	1	0	1			0				30000
helpfight004	TriggerNpc	分组战斗标记	npc\itemnpc057_city05war_renshen								202	4	1	0	1			0				30000
city03war001	TriggerNpc	回收掌门	npc\itemnpc057								202	4	10	0	1			0				
city03war002	TriggerNpc	回收叛军	npc\itemnpc780								202	4	10	0	1			0				
city03war003	TriggerNpc	回收千情公子	npc\itemnpc780								202	4	10	0	1			0				
city03war004a1	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004a2	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004a3	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004a4	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004a5	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004b1	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004b2	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004b3	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004b4	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004b5	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004c1	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004c2	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004c3	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004c4	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004c5	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004d1	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004d2	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004d3	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004d4	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
city03war004d5	TriggerNpc	进度路标	npc\itemnpc057								202	4	10	0	1			0				
																						
sign_help02	TriggerNpc	千情出场动画	npc\itemnpc057								202	4	10	0	1			0				
																						
smokebombyhg	TriggerNpc	烟雾弹	npc\itemnpc057								202	4	10	0	1			0				
tg_help01	TriggerNpc	鸡血石佛	npc\npcitem685								202	4	10	0	1			0				
																						
