NPC编号	对象类型	名称	模型编号	头像	类型	NPC种类ID	响应范围	选择操作分类	脚本编号	模型列表	采集动作名	刷新间隔时间(hour)	单次采集次数	最大单次采集次数	最大采集次数	掉落ID	偷窃掉落ID	成熟效果	风水值	检索范围	家具关系
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	Resource	Photo	NpcType	CKindID	SpringRange	SelectState	LuaScript	table@HomeGNpcModelRec	GatherAction	IntervalTime	OnceCount	MaxOnceCount	MaxCount	DropID	StealDropID	RipeEffect	fengshui	relationrange	furnituretype
																					
zhaozw	HomeGatherNpc	采集家具	npc\cj_040101		162	4	5	2		npc\cj_040101;npc\cj_040047	life_ys_01	1		5	20	3nhd_backbox_001	3nhd_backbox_001				
																					
home_caiji_qs001	HomeGatherNpc	采集家具	npc\itemnpc1088		333	4	5	2		npc\itemnpc1088;npc\itemnpc1132	life_ys_01	1		1	5	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs002	HomeGatherNpc	采集家具	npc\itemnpc1089		333	4	5	2		npc\itemnpc1089;npc\itemnpc1133	life_ys_01	1		2	10	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs003	HomeGatherNpc	采集家具	npc\itemnpc1090		333	4	5	2		npc\itemnpc1090;npc\itemnpc1134	life_ys_01	1		3	15	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs004	HomeGatherNpc	采集家具	npc\itemnpc1091		333	4	5	2		npc\itemnpc1091;npc\itemnpc1135	life_ys_01	1		4	20	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs005	HomeGatherNpc	采集家具	npc\itemnpc1092		333	4	5	2		npc\itemnpc1092;npc\itemnpc1136	life_ys_01	1		5	25	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs006	HomeGatherNpc	采集家具	npc\itemnpc1093		333	4	5	2		npc\itemnpc1093;npc\itemnpc1137	life_ys_01	1		6	30	home_caiji_kuanggong001	home_caiji_kg001				
home_caiji_qs007	HomeGatherNpc	采集家具	npc\itemnpc1088		333	4	5	2		npc\itemnpc1088;npc\itemnpc1132	life_ys_01	1		1	5	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs008	HomeGatherNpc	采集家具	npc\itemnpc1089		333	4	5	2		npc\itemnpc1089;npc\itemnpc1133	life_ys_01	1		2	10	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs009	HomeGatherNpc	采集家具	npc\itemnpc1090		333	4	5	2		npc\itemnpc1090;npc\itemnpc1134	life_ys_01	1		3	15	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs010	HomeGatherNpc	采集家具	npc\itemnpc1091		333	4	5	2		npc\itemnpc1091;npc\itemnpc1135	life_ys_01	1		4	20	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs011	HomeGatherNpc	采集家具	npc\itemnpc1092		333	4	5	2		npc\itemnpc1092;npc\itemnpc1136	life_ys_01	1		5	25	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs012	HomeGatherNpc	采集家具	npc\itemnpc1093		333	4	5	2		npc\itemnpc1093;npc\itemnpc1137	life_ys_01	1		6	30	home_caiji_kuanggong002	home_caiji_kg002				
home_caiji_qs013	HomeGatherNpc	采集家具	npc\itemnpc1088		333	4	5	2		npc\itemnpc1088;npc\itemnpc1132	life_ys_01	1		1	5	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs014	HomeGatherNpc	采集家具	npc\itemnpc1089		333	4	5	2		npc\itemnpc1089;npc\itemnpc1133	life_ys_01	1		2	10	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs015	HomeGatherNpc	采集家具	npc\itemnpc1090		333	4	5	2		npc\itemnpc1090;npc\itemnpc1134	life_ys_01	1		3	15	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs016	HomeGatherNpc	采集家具	npc\itemnpc1091		333	4	5	2		npc\itemnpc1091;npc\itemnpc1135	life_ys_01	1		4	20	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs017	HomeGatherNpc	采集家具	npc\itemnpc1092		333	4	5	2		npc\itemnpc1092;npc\itemnpc1136	life_ys_01	1		5	25	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs018	HomeGatherNpc	采集家具	npc\itemnpc1093		333	4	5	2		npc\itemnpc1093;npc\itemnpc1137	life_ys_01	1		6	30	home_caiji_kuanggong003	home_caiji_kg003				
home_caiji_qs019	HomeGatherNpc	采集家具	npc\itemnpc1088		333	4	5	2		npc\itemnpc1088;npc\itemnpc1132	life_ys_01	1		1	5	home_caiji_kuanggong004	home_caiji_kg004				
