STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26241	s050601	333	2421			repute_jianghu	225				61971	0											
26242	s050601	667	3631			repute_jianghu	451						0	yaopin_00400	4	yaopin_10400	4				4	11000	
26243	s050601	1333	7263			repute_jianghu	902						0	cloth_jh_10507	1	helmet_jh_10510	1						
26244	s050601	667	3631			repute_jianghu	451																
26245	s050601	333	2421			repute_jianghu	225				61971	1	0	ITEMBAG_001	1						5	13000	
26246	s050602	667	3631			repute_jianghu	451				61972	0	0	wrist_jh_10506	1	amulet_jh_10509	1						
26247	s050602	333	2421			repute_jianghu	225																
26248	s050602	333	7263			repute_jianghu	225														4	6000	
26249	s050602	667	3631			repute_jianghu	451						0	leg_jh_10509	1	pants_jh_10507	1				5	6000	
26250	s050602	333	2421			repute_jianghu	225																
26251	s050602	1333	7263			repute_jianghu	902						0	ear_jh_10506	1						5	7000	
26252	s050602	333	2421			repute_jianghu	225																
26253	s050602	333	2421			repute_jianghu	225				61972	1									4	5000	
26254	s050603	667	3631			repute_jianghu	451				61973	0	0	ring_jh_10508	1								
26255	s050603	333	2421			repute_jianghu	225																
26256	s050603	667	3631			repute_jianghu	451						0	helmet_jh_10520	1						4	6000	
26257	s050603	333	2421			repute_jianghu	225																
26258	s050603	333	2421			repute_jianghu	225														5	13000	
26259	s050603	333	2421			repute_jianghu	225						0	yaopin_00400	4	yaopin_10400	4						
26260	s050603	1333	7263			repute_jianghu	902						0	cloth_jh_10516	1						4	5000	
26261	s050603	333	2421			repute_jianghu	225				61973	1											
26262	s050604	333	2421			repute_jianghu	225				61974	0											
26263	s050604	667	3631			repute_jianghu	451						0	shoes_jh_10510	1								
26264	s050604	667	3631			repute_jianghu	451														4	6000	
26265	s050604	333	2421			repute_jianghu	225																
26266	s050604	333	3631			repute_jianghu	225						0	leg_jh_20509	1						5	13000	
26267	s050604	9333	56891			repute_jianghu	6309																
26268	s050604	333	2421			repute_jianghu	225				61974	1									4	5000	
