STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26529	s051201	926	11838			repute_jianghu	3189				61995	0											
26531	s051201	926	11838			repute_jianghu	3189															4	8000
26532	s051201	1389	17756			repute_jianghu	4783																
26535	s051201	2778	35513			repute_jianghu	9565						0	pants_jh_10901	1							5	14000
26536	s051201	926	11838			repute_jianghu	3189															4	8000
26537	s051201	926	11838			repute_jianghu	3189																
26538	s051201	1389	17756			repute_jianghu	4783						0	ear_jh_10905	1	shoes_jh_10904	1					5	14000
26540	s051201	926	11838			repute_jianghu	3189				61995	1										4	7000
26541	s051202	1389	17756			repute_jianghu	4783				61996	0	0	ring_jh_10903	1	leg_jh_10904	1						
26542	s051202	926	11838			repute_jianghu	3189															5	14000
26543	s051202	1389	17756			repute_jianghu	4783																
26546	s051202	2778	35513			repute_jianghu	9565						0	amulet_jh_10903	1	cloth_jh_10902	1					4	12000
26550	s051202	2778	35513			repute_jianghu	9565						0	ITEMBAG_003	1								
26552	s051202	1389	17756			repute_jianghu	4783															5	14000
26553	s051202	926	11838			repute_jianghu	3189				61996	1										4	13000
26554	s051203	2778	35513			repute_jianghu	9565				61997	0	0	ear_jh_10913	1								
26557	s051203	926	11838			repute_jianghu	3189															5	14000
26558	s051203	1389	17756			repute_jianghu	4783																
26560	s051203	1389	17756			repute_jianghu	4783						0	yaopin_00900	5	yaopin_10900	5					4	12000
26562	s051203	926	11838			repute_jianghu	3189																
26563	s051203	1389	17756			repute_jianghu	4783						0	wrist_jh_10901	1							5	14000
26564	s051203	926	11838			repute_jianghu	3189															4	13000
26565	s051203	926	11838			repute_jianghu	3189				61997	1											
26566	s051204	926	11838			repute_jianghu	3189				61998	0										5	14000
26567	s051204	23609	301858			repute_jianghu	81299						0	shoes_jh_10913	1	pants_jh_10914	1						
26570	s051204	1389	17756			repute_jianghu	4783															4	12000
26571	s051204	926	11838			repute_jianghu	3189																
26572	s051204	926	11838			repute_jianghu	3189						0	helmet_jh_10905	1							5	14000
26573	s051204	1389	17756			repute_jianghu	4783						0	ring_jh_20904	1								
26576	s051204	926	11838			repute_jianghu	3189				61998	1										4	13000
