STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	SearchID	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
22001	恍若隔世	s030101		1000	1000	12	repute_jianghu	100				60001	0										4	1000		
22003	恍若隔世	s030101		1000	1000	12	repute_jianghu	100						0	itm_neixiu_01	5							4	1000		
22006	恍若隔世	s030101		1000	1000	12	repute_jianghu	100						0	sword_jh_10102	1	growitem_1a	5					4	1000		
22007	恍若隔世	s030101		1000	1000	12	repute_jianghu	100															4	1000		
22008	恍若隔世	s030101		1000	1000	12	repute_jianghu	100															4	2000		
22011	恍若隔世	s030101		1000	1000	12	repute_jianghu	100						0	shoes_jh_10102	1	ITEMBAG_002_a	1					4	2000		
22012	恍若隔世	s030101		1000	1000	12	repute_jianghu	100				60001	1										4	2000		
22013	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100				60002	0	0	cloth_jh_10102	1							4	2000		
22014	庄中奇遇	s030102		1000	1000	19	repute_jianghu	100															4	2000		
22015	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100															4	2000		
22016	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100															4	2000		
22017	庄中奇遇	s030102		1500	1500	19	repute_jianghu	150						0	helmet_jh_10102	1	caiyao20007	5	equipbag_002_a	1			4	2000		
22018	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100															4	2000		
22019	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100															4	2000		
22021	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100						0	pants_jh_10102	1	caiyao20007	5					4	2000		
22024	庄中奇遇	s030102		1500	1500	19	repute_jianghu	100				60002	1										4	2000		
22025	天外之音	s030103		2000	2000	29	repute_jianghu	100				60003	0										5	3000		
22026	天外之音	s030103		2000	2000	29	repute_jianghu	100															5	3000		
22027							repute_jianghu																			
22028	a	s030103		4000	8000	59	repute_jianghu	400															5	3000		
22029	c	s030103		4000	8000	59	repute_jianghu	400															5	3000		
22030	天外之音	s030103		2000	2000	29	repute_jianghu	100						0	leg_jh_10102	1	caiyao20007	5	STUFFBAG_002_a	1			5	3000		
22031	天外之音	s030103		2000	2000	29	repute_jianghu	100						0	wrist_jh_10102	1	caiyao20007	5					5	3000		
22032	天外之音	s030103		2000	2000	29	repute_jianghu	100															5	3000		
22033	天外之音	s030103		2000	2000	29	repute_jianghu	100						0	amulet_jh_10102	1							5	4000		
22034	天外之音	s030103		2000	2000	29	repute_jianghu	100				60003	1										5	4000		
22037	a	s030104		500	10500	7	repute_jianghu	350				60004	0										5	4000		
22038	c	s030104		10000	10500	150	repute_jianghu	350															5	4000		
22040	重入江湖	s030104		2500	2500	34	repute_jianghu	100						0	ear_jh_10102	1	TASKBAG_002_a	1					5	4000		
22041	重入江湖	s030104		2500	2500	38	repute_jianghu	100															5	4000		
22042	重入江湖	s030104		2500	2500	39	repute_jianghu	100															5	4000		
22043	重入江湖	s030104		2500	2500	39	repute_jianghu	100						0	ring_jh_10102	1							5	4000		
22044	重入江湖	s030104		2500	2500	39	repute_jianghu	100						1	wrist_jh_20101	1	helmet_jh_20103	1	pants_jh_20103	1			5	4000		
22047	重入江湖	s030104		2500	2500	39	repute_jianghu	100															5	4000		
22048	重入江湖	s030104		2500	2500	39	repute_jianghu	100				60004	1										5	4000		
22049		s030105		22720			repute_jianghu	9090				60005											5	20000		
22050		s030105		22720			repute_jianghu	9091															5	20000		
22051		s030105		22720			repute_jianghu	9091															5	30000		
22053		s030105		22720			repute_jianghu	9091						1	renwu_box_001	1	renwu_box_005	1					5	20000		
22054		s030105		22720			repute_jianghu	9091															5	20000		
22058		s030105		22720			repute_jianghu	9091				60005											5	30000		
22061		s030106		22720			repute_jianghu	9091				60006		1	renwu_box_003	1	renwu_box_007	1					5	20000		
22062		s030106		22760			repute_jianghu	9091															5	20000		
22063		s030106		22720			repute_jianghu	9091															5	20000		
22064		s030106		22720			repute_jianghu	9091															5	20000		
22065		s030106		22720			repute_jianghu	9091				60006											5	30000		
22073		s030107		22720			repute_jianghu	9091				60007											5	20000		
22075		s030107		22720			repute_jianghu	9091															5	30000		
22078		s030107		22760			repute_jianghu	9091															5	20000		
22079		s030107		22720			repute_jianghu	9091															5	20000		
22082		s030107		22720			repute_jianghu	9091															5	20000		
22080		s030107		22720			repute_jianghu	9091						1	renwu_box_002	1	renwu_box_006	1					5	20000		
22081		s030107		22760			repute_jianghu	9091				60007											5	30000		
22085		s030108		22720			repute_jianghu	9091				60008											5	20000		
22086		s030108		22720			repute_jianghu	9091															5	20000		
22094		s030108		22720			repute_jianghu	9090						1	renwu_box_004	1	renwu_box_008	1					5	20000		
22095		s030108		22760			repute_jianghu	9091				60008											5	30000		
