STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26433	s051001	498	6667			repute_jianghu	1196				61987	0											
26434	s051001	871	10000			repute_jianghu	2093															5	11000
26435	s051001	871	10000			repute_jianghu	2093						0	yaopin_00700	3	yaopin_10700	3						
26436	s051001	498	6667			repute_jianghu	1196															4	9500
26437	s051001	498	6667			repute_jianghu	1196						0	pants_jh_10802	1	amulet_jh_10801	1						
26438	s051001	1742	20000			repute_jianghu	4186															4	9500
26439	s051001	498	6667			repute_jianghu	1196																
26440	s051001	871	10000			repute_jianghu	2093						0	cloth_jh_10805	1							5	11000
26441	s051001	498	6667			repute_jianghu	1196				61987	1											
26445	s051002	498	6667			repute_jianghu	1196				61988	0	0	wrist_jh_10803	1							4	6000
26446	s051002	1742	20000			repute_jianghu	4186																
26447	s051002	498	6667			repute_jianghu	1196															5	11000
26448	s051002	871	10000			repute_jianghu	2093																
26449	s051002	871	10000			repute_jianghu	2093															4	6000
26450	s051002	498	6667			repute_jianghu	1196						0	shoes_jh_10803	1								
26451	s051002	498	6667			repute_jianghu	1196															5	11000
26452	s051002	1742	20000			repute_jianghu	4186						0	leg_jh_10805	1								
26453	s051002	498	6667			repute_jianghu	1196				61988	1										4	7000
26458	s051003	498	6667			repute_jianghu	1196				61989	0										4	6000
26459	s051003	498	6667			repute_jianghu	1196																
26460	s051003	498	6667			repute_jianghu	1196															5	7000
26461	s051003	1742	20000			repute_jianghu	4186						0	ear_jh_10805	1	ring_jh_10803	1						
26462	s051003	871	10000			repute_jianghu	2093															4	6000
26463	s051003	498	6667			repute_jianghu	1196															5	8000
26464	s051003	871	10000			repute_jianghu	2093						0	EQUIPBAG_002	1								
26465	s051003	871	10000			repute_jianghu	2093						0	helmet_jh_10802	1							4	6000
26466	s051003	871	10000			repute_jianghu	2093						0	yaopin_00800	5	yaopin_10800	5						
26467	s051003	871	10000			repute_jianghu	2093															5	7000
26468	s051003	498	6667			repute_jianghu	1196																
26469	s051004	1742	20000			repute_jianghu	4186				61989	1	0	shoes_jh_10811	1	amulet_jh_10815	1					4	6000
26470	s051004	498	6667			repute_jianghu	1196				61990	0											
26471	s051004	498	6667			repute_jianghu	1196																
26472	s051004	1742	20000			repute_jianghu	39762						0	TASKBAG_002	1							5	7000
26473	s051004	871	10000			repute_jianghu	2093															4	6000
26474	s051004	498	6667			repute_jianghu	1196																
26475	s051004	16552	215000			repute_jianghu	4186						0	wrist_jh_20804	1							5	7000
26476	s051004	498	6667			repute_jianghu	1196																
26477	s051004	498	6667			repute_jianghu	1196															4	7000
26478	s051004	498	6667			repute_jianghu	1196				61990	1										5	8000
