STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26673	s051501	1178	14023			repute_jianghu	4650				62007	0											
26674	s051501	1852	21034			repute_jianghu	7307															4	10000
26675	s051501	1178	14023			repute_jianghu	4650																
26676	s051501	1852	21034			repute_jianghu	7307						0	TASKBAG_003	1							5	12000
26677	s051501	1852	21034			repute_jianghu	7307																
26678	s051501	3703	42068			repute_jianghu	14613						0	shoes_jh_11104	1	helmet_jh_11104	1					4	10000
26679	s051501	1178	14023			repute_jianghu	4650																
26680	s051501	1852	21034			repute_jianghu	7307						0	pants_jh_11102	1	ear_jh_11103	1					5	12000
26681	s051501	1178	14023			repute_jianghu	4650																
26682	s051501	1852	21034			repute_jianghu	7307															4	9000
26683	s051501	1178	14023			repute_jianghu	4650																
26684	s051501	1852	21034			repute_jianghu	7307				62007	1										5	13000
26685	s051502	1178	14023			repute_jianghu	4650				62008	0											
26686	s051502	3703	42068			repute_jianghu	14613						0	amulet_jh_11105	1							4	10000
26687	s051502	1178	14023			repute_jianghu	4650																
26688	s051502	1852	21034			repute_jianghu	7307															5	12000
26689	s051502	1178	14023			repute_jianghu	4650																
26690	s051502	1852	21034			repute_jianghu	7307						0	cloth_jh_11101	1	wrist_jh_11102	1					4	10000
26691	s051502	1178	14023			repute_jianghu	4650																
26692	s051502	1852	21034			repute_jianghu	7307															5	12000
26694	s051502	1178	14023			repute_jianghu	4650																
26695	s051502	3703	42068			repute_jianghu	14613						0	sword_jh_21101	1							4	9000
26696	s051502	1178	14023			repute_jianghu	4650				62008	1										5	13000
26697	s051503	3703	42068			repute_jianghu	14613				62009	0	0	helmet_jh_11114									
26700	s051503	1178	14023			repute_jianghu	4650															4	14000
26701	s051503	1852	21034			repute_jianghu	7307						0	yaopin_01200	5	yaopin_11200	5						
26702	s051503	1178	14023			repute_jianghu	4650															5	18000
26703	s051503	1852	21034			repute_jianghu	7307																
26704	s051503	1178	14023			repute_jianghu	4650															4	15000
26705	s051503	3703	42068			repute_jianghu	14613																
26707	s051503	1852	21034			repute_jianghu	7307				62009	1										5	19000
26709	s051504	1178	14023			repute_jianghu	4650				62010	0											
26710	s051504	1852	21034			repute_jianghu	7307						0	ring_jh_11101	1	leg_jh_11105	1					4	10000
26711	s051504	1178	14023			repute_jianghu	4650																
26712	s051504	3703	42068			repute_jianghu	14613						0	pants_jh_11112								5	12000
26713	s051504	1178	14023			repute_jianghu	4650																
26714	s051504	1178	14023			repute_jianghu	4650															4	10000
26715	s051504	1178	14023			repute_jianghu	4650																
26716	s051504	42588	501314			repute_jianghu	168042						0	ear_jh_21101								5	12000
26717	s051504	1852	21034			repute_jianghu	7307																
26718	s051504	1178	14023			repute_jianghu	4650															4	9000
26719	s051504	1178	14023			repute_jianghu	4650															5	13000
26720	s051504	1178	14023			repute_jianghu	4650				62010	1											
