STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26049	初入极乐	129	130			repute_jianghu	12				61955	0	0	yaopin_10200	5								
26050	接受考验	129	130			repute_jianghu	12															2	1000
26051	耐力试炼	604	606			repute_jianghu	54						0	amulet_jh_10301	1	ear_jh_10302	1					4	1000
26052	初战告捷	129	130			repute_jianghu	12						0	yaopin_00200	5							4	2000
26053	忠诚试炼	302	303			repute_jianghu	27						0	cloth_jh_10303	1							2	2000
26054	善恶试炼	129	130			repute_jianghu	12																
26055	诚信试炼	129	130			repute_jianghu	12						0	shoes_jh_10304	1							2	2000
26056	勇气试炼	129	130			repute_jianghu	12						0	STUFFBAG_001	1								
26057	拜师鬼使	129	130			repute_jianghu	12				61955	1	0	ng_book_jl_001	1							5	2000
26058	订制新衣	302	303			repute_jianghu	27				61956	0	0	pants_jh_10303	1							2	2000
26059	尸体何来	302	303			repute_jianghu	27						0	ring_jh_10302	1							4	3000
26060	一举两得	129	130			repute_jianghu	12															2	3000
26061	金蝉脱壳	129	130			repute_jianghu	12				61956	1										5	2000
26062	夜叉召唤	604	606			repute_jianghu	54				61957	0	0	wrist_jh_10301	1	leg_jh_10304	1						
26063	赌气斗酒	129	130			repute_jianghu	12															2	2000
26064	借药醒酒	302	303			repute_jianghu	27						0	ear_jh_10313	1							4	3000
26065	莫逆之交	129	130			repute_jianghu	12															2	3000
26066	偷酒之人	129	130			repute_jianghu	12				61957	1	0	yaopin_00200	5	yaopin_10200	5					5	2000
26067	再遇艳红	129	130			repute_jianghu	12				61958	0											
26068	教训歹人	302	303			repute_jianghu	27						0	helmet_jh_10305	1							2	2000
26069	独上黑山	302	303			repute_jianghu	27															4	3000
26070	智计救人	2720	3333			repute_jianghu	295						0	amulet_jh_20302	1							2	3000
26071	路遇老妖	129	130			repute_jianghu	12				61958	1										5	2000
