STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
10701		350								62451	0											
10702		210																				
10703		500																				
10704		210																				
10705		210																				
10706		350											taskitem_03108	1								
10707		350																				
10708		210																				
10709		400								62451	1											
10710		150								62452	0											
10711		225																				
10712		200																				
10713		150																				
10714		125																				
10715		225																				
10716		225																				
10717		175																				
10718		250																				
10719		125								62452	1											
10720		175								62453	0											
10721		175																				
10722		175																				
10723		175																				
10724		175																				
10725		175																				
10726		175																				
10727		175																				
10728		175																				
10729		175								62453	1											
10730		153								62454	0											
10731		61																				
10732		163																				
10733		112																				
10734		89																				
10735		196								62454	1											
10736		66								62455	0											
10737		153																				
10738		162																				
10739		174																				
10740		222																				
10741		95								62455	1											
10742		61								62456	0											
10743		72																				
10744		31																				
10745		84								62456	1											
10751		280								62457	0											
10752		280																				
10753		300																				
10754		320																				
10755		380																				
10756		260																				
10757		260																				
10758		260																				
10759		240																				
10760		240								62457	1											
10761		160								62458	0											
10762		200																				
10763		220																				
10764		180																				
10765		250																				
10766		180																				
10767		270																				
10768		290																				
10769		180																				
10770		330								62458	1											
10771		230								62459	0											
10772		250																				
10773		200																				
10774		200																				
10775		270																				
10776		290																				
10777		330																				
10778		240								62459	1											
10781		240								62460	0											
10782		240																				
10783		240																				
10784		220								62460	1											
10785		240								62461	0											
10786		200																				
10787		260																				
10788		180								62461	1											
10789		150								62462	0											
10790		150																				
10791		150																				
10792		200																				
10793		180																				
10794		180								62462	1											
10795		160								62463	0											
10796		210																				
10797		160																				
10798		180																				
10799		160																				
10800		180								62463	1											
10801		400																				
10802		400																				
10803		400																				
10804		400																				
10805		400																				
10806		400																				
10807		700																				
10808		400																				
10809		450																				
10810		400																				
10811		400																				
10812		400																				
10813		400																				
10814		400																				
10815		900																				
10816		900																				
10817		450																				
10818		500																				
10819		400																				
10820		400																				
10821		400																				
10822		400																				
10823		400																				
10824		400																				
10825		400																				
10826		900																				
10827		450																				
10828		400																				
10829		400																				
10830		400																				
10831		450																				
10832		700																				
10833		500																				
10834		400																				
10835		750																				
10836		400																				
10837		400																				
10838		500																				
10839		500																				
10840		400																				
10841		750																				
10842		900																				
10843		400																				
10844		950																				
10845		400																				
10846		400																				
10847		400																				
10848		400																				
10849		900																				
10850		400																				
10851		400																				
10852		500																				
10853		500																				
10854		400																				
10855		400																				
10856		450																				
10857		400																				
10860		1500																				
