STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	SearchID	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
24001	鬼魅黑影	s010101		1000		12	repute_jianghu	100				60151	0										4	1000		
24002	鬼魅黑影	s010101		1000		12	repute_jianghu	120															4	1000		
24003	青梅竹马	s010101		1000		12	repute_jianghu	100						0	thorn_jh_10101	1	growitem_1a	5					4	1000		
24005	勤恳少年	s010101		1000		12	repute_jianghu	100															4	1000		
24009	初窥门径	s010101		1000		12	repute_jianghu	100															4	1000		
24010	茶林秘事	s010101		1000		12	repute_jianghu	120						0	shoes_jh_10101	1	itm_neixiu_01	5					4	1000		
24012	茶林秘事	s010101		1000		12	repute_jianghu	100				60151	1										4	2000		
24013	去除蛇患	s010102		2000		17	repute_jianghu	120				60152	0	0	cloth_jh_10101	1	ITEMBAG_002_a	1					4	2000		
24014	去除蛇患																									
24015	茶林寻药	s010102		5000		44	repute_jianghu	400															4	5000		
24017	硬闯茶林	s010102		5000		44	repute_jianghu	400															4	5000		
24016	茶林寻药	s010102		1500		17	repute_jianghu	100						0	helmet_jh_10101	1	caiyao20007	5					4	2000		
24018	巧遇婉仪	s010102		1500		17	repute_jianghu	120						0	caiyao20007	5	equipbag_002_a	1					4	2000		
24019	巧遇婉仪	s010102		1500		17	repute_jianghu	100															4	2000		
24021	深入茶林	s010102		1500		17	repute_jianghu	100															4	2000		
24022	深入茶林	s010102		1500		17	repute_jianghu	100						0	pants_jh_10101	1							4	2000		
24024	凶险归来	s010102		1500		17	repute_jianghu	100				60152	1										4	2000		
24026	客栈风波	s010103		2500		33	repute_jianghu	100				60153	0	0	leg_jh_10101	1	STUFFBAG_002_a	1					5	4000		
24027	客栈风波						repute_jianghu																			
24028	客栈风波	s010103		10000		33	repute_jianghu	600															5	4000		
24029	客栈风波	s010103		10000		33	repute_jianghu	600															5	4000		
