STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
10005	偷取衣物	115																				
10006	找回画像	115																				
10007	打消贼人	115																				
10011	阴谋败露	480																				
10012	先发制人	115								62501	1											
10013	购买材料	115								62502	0											
10014	毒性反噬	550																				
10015	不祥感觉	115																				
10016	收集毒草	1195																				
10017	打探	115																				
10018	逼问	115																				
10019	教训官兵	500																				
10020	铲除爪牙	1120																				
10021	铲除奸细	1120																				
10022	整治虫灾	480																				
10023	获得消息	115																				
10024	阻止	115								62502	1											
10025	title_10025	480																				
10026	title_10026	480																				
10027	title_10027	960																				
10028	title_10028	960																				
10029	title_10029	1320																				
10030	title_10030	600																				
10031	title_10031	540																				
10032	title_10032	1120																				
10033	title_10033	1248																				
10034	title_10034	480																				
10035	title_10035	480																				
10036	title_10036	480																				
10037	解救富商	200								62503	0											
10038	保驾护航	200																				
10039	修刀材料	516																				
10040	猛兽伤人	200																				
10041	回收	200																				
10042	贩卖私盐	510																				
10043	不明文字	200																				
10044	夺回手册	200																				
10045	辟邪战甲	1280																				
10046	赠送粮食	480																				
10047	诗词爱好	200																				
10048	宝藏	200								62503	1											
10049	寻找手帕	450																				
10050	石竹花	1020																				
10051	驱赶野猪	540																				
10052	赠送布料	1320																				
10053	寻找沙袋	450																				
10054	缝补衣物	520																				
10055	铲除恶徒	504																				
10056	传递心得	480																				
10057	收集草药	60								62506	0											
10058	购买竹子	60																				
10059	杀蛇取胆	60																				
10060	传递药物	60								62506	1											
10061	寻找账本	510																				
10062	教训恶徒	1120																				
10063	拉客住店	480																				
10064	传递口信	480																				
10065	寻找诗经	450																				
10066	题诗作对	520																				
10067	夺回字画	1008																				
10068	四书五经	480																				
10069	收集药材	850																				
10070	收集药方	450																				
10071	高风亮节	450																				
10072	助人为乐	500																				
10073	质问恶霸	450																				
10074	保护草药	500																				
10075	收集蛇胆	500																				
10076	搜寻药粉	500																				
10077	教训恶霸	500																				
10078	半夜下毒	450																				
10079	送药治人	450																				
10080	治病救人	450																				
10081	收集药材	700																				
10082	庸医害人	500																				
