STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
1057	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1058	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1059	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1060	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1061	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1062	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1063	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1064	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1065	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1066	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1067	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1068	演武修炼引导	17	25			repute_jianghu	10							yaopin_00200	2	yaopin_00100	2					5	2000
1069	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1070	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1071	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1072	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1073	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1074	武学内修引导	17	25			repute_jianghu	25							yaopin_00100	2							5	2000
1075	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1076	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1077	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1078	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1079	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1080	风水宝地修炼引导	17	25			repute_jianghu	5							yaopin_00300	2	yaopin_00200	2	yaopin_00100	2			5	2000
1081	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1082	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1083	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1084	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1085	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1086	风水宝地修炼引导	17	25													yaopin_00200	2	yaopin_00100	2			5	2000
1001	打坐调息		25			repute_jianghu	20							yaopin_10100	3	zhenqi_item_005	2					4	1000
1002	因祸得福		25			repute_jianghu	60							yaopin_00100	3	zhenqi_item_005	2					5	2000
1003	檐上的风筝		25			repute_jianghu	20									yaopin_00100	2	yaopin_10100	2			4	1000
1005	打坐调息		25			repute_jianghu	20							yaopin_10100	3	zhenqi_item_005	2					4	1000
1006	因祸得福		25			repute_jianghu	60							yaopin_00100	3	zhenqi_item_005	2					5	2000
1007	檐上的风筝		25			repute_jianghu	20									yaopin_00100	2	yaopin_10100	2			4	1000
1010	打坐调息		25			repute_jianghu	20							yaopin_10100	3	zhenqi_item_005	2					4	1000
1011	因祸得福		25			repute_jianghu	60							yaopin_00100	3	zhenqi_item_005	2					5	2000
