STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Type	MainText	RightAnswer	AnswerText1	AnswerText2	AnswerText3	AnswerText4
6150	10	maintext_6150	1	ZZAnswerText1_6150	ZZAnswerText2_6150		
6151	10	maintext_6151	2	ZZAnswerText1_6151	ZZAnswerText2_6151		
6152	10	maintext_6152	1	ZZAnswerText1_6152	ZZAnswerText2_6152		
6153	10	maintext_6153	2	ZZAnswerText1_6153	ZZAnswerText2_6153		
6154	10	maintext_6154	2	ZZAnswerText1_6154	ZZAnswerText2_6154		
6155	10	maintext_6155	1	ZZAnswerText1_6155	ZZAnswerText2_6155		
6156	10	maintext_6156	1	ZZAnswerText1_6156	ZZAnswerText2_6156		
6157	10	maintext_6157	2	ZZAnswerText1_6157	ZZAnswerText2_6157		
6158	10	maintext_6158	2	ZZAnswerText1_6158	ZZAnswerText2_6158		
6159	10	maintext_6159	1	ZZAnswerText1_6159	ZZAnswerText2_6159		
6160	10	maintext_6160	2	ZZAnswerText1_6160	ZZAnswerText2_6160		
6161	10	maintext_6161	2	ZZAnswerText1_6161	ZZAnswerText2_6161		
6162	10	maintext_6162	1	ZZAnswerText1_6162	ZZAnswerText2_6162		
6163	10	maintext_6163	1	ZZAnswerText1_6163	ZZAnswerText2_6163		
6164	10	maintext_6164	2	ZZAnswerText1_6164	ZZAnswerText2_6164		
6165	10	maintext_6165	1	ZZAnswerText1_6165	ZZAnswerText2_6165		
6166	10	maintext_6166	2	ZZAnswerText1_6166	ZZAnswerText2_6166		
6167	10	maintext_6167	1	ZZAnswerText1_6167	ZZAnswerText2_6167		
6168	10	maintext_6168	1	ZZAnswerText1_6168	ZZAnswerText2_6168		
6169	10	maintext_6169	2	ZZAnswerText1_6169	ZZAnswerText2_6169		
6170	10	maintext_6170	1	ZZAnswerText1_6170	ZZAnswerText2_6170		
6171	10	maintext_6171	1	ZZAnswerText1_6171	ZZAnswerText2_6171		
6172	10	maintext_6172	2	ZZAnswerText1_6172	ZZAnswerText2_6172		
6173	10	maintext_6173	2	ZZAnswerText1_6173	ZZAnswerText2_6173		
6174	10	maintext_6174	2	ZZAnswerText1_6174	ZZAnswerText2_6174		
6340	11	maintext_6340	1	ZZAnswerText1_6340	ZZAnswerText2_6340		
6341	11	maintext_6341	1	ZZAnswerText1_6341	ZZAnswerText2_6341		
6342	11	maintext_6342	2	ZZAnswerText1_6342	ZZAnswerText2_6342		
6343	11	maintext_6343	2	ZZAnswerText1_6343	ZZAnswerText2_6343		
6344	11	maintext_6344	1	ZZAnswerText1_6344	ZZAnswerText2_6344		
6345	11	maintext_6345	2	ZZAnswerText1_6345	ZZAnswerText2_6345		
6346	11	maintext_6346	1	ZZAnswerText1_6346	ZZAnswerText2_6346		
6347	11	maintext_6347	2	ZZAnswerText1_6347	ZZAnswerText2_6347		
6348	11	maintext_6348	1	ZZAnswerText1_6348	ZZAnswerText2_6348		
6349	11	maintext_6349	1	ZZAnswerText1_6349	ZZAnswerText2_6349		
6350	11	maintext_6350	1	ZZAnswerText1_6350	ZZAnswerText2_6350		
6351	11	maintext_6351	2	ZZAnswerText1_6351	ZZAnswerText2_6351		
6352	11	maintext_6352	1	ZZAnswerText1_6352	ZZAnswerText2_6352		
6353	11	maintext_6353	1	ZZAnswerText1_6353	ZZAnswerText2_6353		
6354	11	maintext_6354	2	ZZAnswerText1_6354	ZZAnswerText2_6354		
6355	11	maintext_6355	1	ZZAnswerText1_6355	ZZAnswerText2_6355		
6356	11	maintext_6356	1	ZZAnswerText1_6356	ZZAnswerText2_6356		
6357	11	maintext_6357	2	ZZAnswerText1_6357	ZZAnswerText2_6357		
6358	11	maintext_6358	2	ZZAnswerText1_6358	ZZAnswerText2_6358		
6359	11	maintext_6359	2	ZZAnswerText1_6359	ZZAnswerText2_6359		
6360	11	maintext_6360	1	ZZAnswerText1_6360	ZZAnswerText2_6360		
6361	11	maintext_6361	1	ZZAnswerText1_6361	ZZAnswerText2_6361		
6362	11	maintext_6362	2	ZZAnswerText1_6362	ZZAnswerText2_6362		
