STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	SceneID	TrackInfo	HideNpcID	TaskID
41729	Convoy86300	5-86300	11	convoyinfo_86300	WorldNpc04603	86300
41730	Convoy86301	5-86301	11	convoyinfo_86301	WorldNpc04603	86301
41731	Convoy86302	5-86302	11	convoyinfo_86302	WorldNpc04603	86302
41732	Convoy86303	5-86303	11	convoyinfo_86303	WorldNpc04603	86303
41733	Convoy86304	5-86304	11	convoyinfo_86304	WorldNpc04603	86304
41734	Convoy86305	5-86305	11	convoyinfo_86305	WorldNpc04603	86305
41735	Convoy86306	5-86306	11	convoyinfo_86306	WorldNpc04603	86306
41736	Convoy86307	5-86307	11	convoyinfo_86307	WorldNpc04603	86307
41737	Convoy86308	5-86308	11	convoyinfo_86308	WorldNpc04603	86308
41738	Convoy86309	5-86309	11	convoyinfo_86309	WorldNpc04603	86309
41739	Convoy86310	5-86310	11	convoyinfo_86310	WorldNpc04603	86310
41740	Convoy86311	5-86311	11	convoyinfo_86311	WorldNpc04603	86311
41741	Convoy86312	5-86312	11	convoyinfo_86312	WorldNpc04603	86312
41742	Convoy86313	5-86313	11	convoyinfo_86313	WorldNpc04603	86313
41743	Convoy86314	5-86314	11	convoyinfo_86314	WorldNpc04603	86314
41744	Convoy86315	5-86315	11	convoyinfo_86315	WorldNpc04603	86315
41745	Convoy86316	5-86316	11	convoyinfo_86316	WorldNpc04603	86316
41746	Convoy86317	5-86317	11	convoyinfo_86317	WorldNpc04603	86317
41747	Convoy86318	5-86318	11	convoyinfo_86318	WorldNpc04603	86318
41748	Convoy86319	5-86319	11	convoyinfo_86319	WorldNpc04603	86319
41749	Convoy86320	5-86320	11	convoyinfo_86320	WorldNpc04603	86320
41750	Convoy86321	5-86321	11	convoyinfo_86321	WorldNpc04603	86321
41751	Convoy86322	5-86322	11	convoyinfo_86322	WorldNpc04603	86322
41752	Convoy86323	5-86323	11	convoyinfo_86323	WorldNpc04603	86323
41753	Convoy86324	5-86324	11	convoyinfo_86324	WorldNpc04603	86324
41754	Convoy86325	5-86325	11	convoyinfo_86325	WorldNpc04603	86325
41755	Convoy86326	5-86326	11	convoyinfo_86326	WorldNpc04603	86326
41756	Convoy86327	5-86327	11	convoyinfo_86327	WorldNpc04603	86327
41757	Convoy86328	5-86328	11	convoyinfo_86328	WorldNpc04603	86328
41758	Convoy86329	5-86329	11	convoyinfo_86329	WorldNpc04603	86329
41759	Convoy86330	5-86330	11	convoyinfo_86330	WorldNpc04603	86330
41760	Convoy86331	5-86331	11	convoyinfo_86331	WorldNpc04603	86331
41761	Convoy86332	5-86332	11	convoyinfo_86332	WorldNpc04603	86332
41762	Convoy86333	5-86333	11	convoyinfo_86333	WorldNpc04603	86333
41763	Convoy86334	5-86334	11	convoyinfo_86334	WorldNpc04603	86334
41764	Convoy86335	5-86335	11	convoyinfo_86335	WorldNpc04603	86335
41765	Convoy86336	5-86336	11	convoyinfo_86336	WorldNpc04603	86336
41766	Convoy86337	5-86337	11	convoyinfo_86337	WorldNpc04603	86337
41767	Convoy86338	5-86338	11	convoyinfo_86338	WorldNpc04603	86338
41768	Convoy86339	5-86339	11	convoyinfo_86339	WorldNpc04603	86339
41769	Convoy86340	5-86340	11	convoyinfo_86340	WorldNpc04603	86340
41770	Convoy86341	5-86341	11	convoyinfo_86341	WorldNpc04603	86341
