STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
33001	Convoy10611			3	convoyinfo_33001		
33002	Convoy10622			3	convoyinfo_33002		
33003	Convoy10641			3	convoyinfo_33003		
33004	Convoy10660			3	convoyinfo_33004		
33005	Convoy10617			3	convoyinfo_33005		
33006	Convoy10696			3	convoyinfo_33006		
33007	Convoy10692			3	convoyinfo_33007		
33008	Convoy10682			3	convoyinfo_33008		
33100	Convoy10713	3-10713	1	3	convoyinfo_33100	WorldNpc00629	
33101	Convoy10732	3-10732	3	3	convoyinfo_33101	WorldNpc00563	
33201	Convoy10831			3	convoyinfo_33201	WorldNpc00581	
