STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
31005	Convoy10063				convoyinfo_31005	WorldNpc00096	
31009	Convoy10109		2		convoyinfo_31009		
31010	Convoy10120		2		convoyinfo_31010		
31011	Convoy10133		2		convoyinfo_31011		
31012	Convoy10146		2		convoyinfo_31012		
31013	Convoy10153		3		convoyinfo_31013	FuncNpc00008	
31014	Convoy10169				convoyinfo_31014	WorldNpc00097	
31015	Convoy10173		1		convoyinfo_31015		
31016	Convoy10177		1		convoyinfo_31016	WorldNpc00008	
31017	Convoy10185		1		convoyinfo_31017	JobQianDZ002	
31001	Convoy10011				convoyinfo_31001	WorldNpc00010	10011
31008	Convoy10092		2		convoyinfo_31008	qdzai022	10092
31018	Convoy10255		1		convoyinfo_31018	WorldNpc00098	10255
31019	Convoy10038		1		convoyinfo_31019	WorldNpc00095	10038
31020	Convoy10097		1		convoyinfo_31020		10097
31021	Convoy10169	1-10169	1	1	convoyinfo_31021	WorldNpc00086	10169
31022	Convoy10170	1-10170	1	1	convoyinfo_31022	FuncNpc00003	10170
31023	Convoy10184		1	1	convoyinfo_31023	WorldNpc00097	10184
31024	Convoy10186		1	1	convoyinfo_31024	WorldNpc00021	10186
31216	Convoy14201	1-10211	1	1	convoyinfo_31216	World_qy_qdz013	10211
