STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
41857	Convoy86450	5-86450	3	11	convoyinfo_86450	WorldNpc04603	
41858	Convoy86451	5-86451	3	11	convoyinfo_86451	WorldNpc04603	
41859	Convoy86452	5-86452	3	11	convoyinfo_86452	WorldNpc04603	
41860	Convoy86453	5-86453	3	11	convoyinfo_86453	WorldNpc04603	
41861	Convoy86454	5-86454	3	11	convoyinfo_86454	WorldNpc04603	
41862	Convoy86455	5-86455	3	11	convoyinfo_86455	WorldNpc04603	
41863	Convoy86456	5-86456	3	11	convoyinfo_86456	WorldNpc04603	
41864	Convoy86457	5-86457	3	11	convoyinfo_86457	WorldNpc04603	
41865	Convoy86458	5-86458	3	11	convoyinfo_86458	WorldNpc04603	
41866	Convoy86459	5-86459	3	11	convoyinfo_86459	WorldNpc04603	
41867	Convoy86460	5-86460	3	11	convoyinfo_86460	WorldNpc04603	
41868	Convoy86461	5-86461	3	11	convoyinfo_86461	WorldNpc04603	
41869	Convoy86462	5-86462	3	11	convoyinfo_86462	WorldNpc04603	
41870	Convoy86463	5-86463	3	11	convoyinfo_86463	WorldNpc04603	
41871	Convoy86464	5-86464	3	11	convoyinfo_86464	WorldNpc04603	
41872	Convoy86465	5-86465	3	11	convoyinfo_86465	WorldNpc04603	
41873	Convoy86466	5-86466	3	11	convoyinfo_86466	WorldNpc04603	
41874	Convoy86467	5-86467	3	11	convoyinfo_86467	WorldNpc04603	
41875	Convoy86468	5-86468	3	11	convoyinfo_86468	WorldNpc04603	
41876	Convoy86469	5-86469	3	11	convoyinfo_86469	WorldNpc04603	
41877	Convoy86470	5-86470	3	11	convoyinfo_86470	WorldNpc04603	
41878	Convoy86471	5-86471	3	11	convoyinfo_86471	WorldNpc04603	
41879	Convoy86472	5-86472	3	11	convoyinfo_86472	WorldNpc04603	
41880	Convoy86473	5-86473	3	11	convoyinfo_86473	WorldNpc04603	
41881	Convoy86474	5-86474	3	11	convoyinfo_86474	WorldNpc04603	
41882	Convoy86475	5-86475	3	11	convoyinfo_86475	WorldNpc04603	
41883	Convoy86476	5-86476	3	11	convoyinfo_86476	WorldNpc04603	
41884	Convoy86477	5-86477	3	11	convoyinfo_86477	WorldNpc04603	
41885	Convoy86478	5-86478	3	11	convoyinfo_86478	WorldNpc04603	
41886	Convoy86479	5-86479	3	11	convoyinfo_86479	WorldNpc04603	
41887	Convoy86480	5-86480	3	11	convoyinfo_86480	WorldNpc04603	
41888	Convoy86481	5-86481	3	11	convoyinfo_86481	WorldNpc04603	
41889	Convoy86482	5-86482	3	11	convoyinfo_86482	WorldNpc04603	
41890	Convoy86483	5-86483	3	11	convoyinfo_86483	WorldNpc04603	
41891	Convoy86484	5-86484	3	11	convoyinfo_86484	WorldNpc04603	
41892	Convoy86485	5-86485	3	11	convoyinfo_86485	WorldNpc04603	
41893	Convoy86486	5-86486	3	11	convoyinfo_86486	WorldNpc04603	
41894	Convoy86487	5-86487	3	11	convoyinfo_86487	WorldNpc04603	
41895	Convoy86488	5-86488	3	11	convoyinfo_86488	WorldNpc04603	
41896	Convoy86489	5-86489	3	11	convoyinfo_86489	WorldNpc04603	
41897	Convoy86490	5-86490	3	11	convoyinfo_86490	WorldNpc04603	
41898	Convoy86491	5-86491	3	11	convoyinfo_86491	WorldNpc04603	
41899	Convoy86492	5-86492	3	11	convoyinfo_86492	WorldNpc04603	
