STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
6205	Convoy44319		3	6	convoyinfo_6205_2		
6211	Convoy44394		3	11	convoyinfo_6211		
6001	Convoy44008		3	6	convoyinfo_6001	WorldNpc03132	44008
6003	Convoy44075	6-44075	3	6	convoyinfo_6003	WorldNpc03153	44075
6004	Convoy44087	6-44087	3	6	convoyinfo_6004	WorldNpc03155	44087
6005	Convoy44098	6-44098	3	6	convoyinfo_6005	WorldNpc03158;WorldNpc03158	44098
6006	Convoy44121		3	6	convoyinfo_6006		44121
6007	Convoy44122		3	6	convoyinfo_6007	WorldNpc03160;WorldNpc03161	44122
6008	Convoy44133		3	6	convoyinfo_6008		44133
6100	Convoy44146	6-44146	2	6	convoyinfo_6100	WorldNpc03119	44146
6101	Convoy44155	11-44155	2	11	convoyinfo_6101		44155
6102	Convoy44158	11-44158	2	11	convoyinfo_6102	WorldNpc04446	44158
6103	Convoy44484		3	4	convoyinfo_6103	WorldNpc10672	44484
6104	Convoy44508	4-44508	3	4	convoyinfo_6104	WorldNpc10703	44508
6105	Convoy44522	4-44522	3	4	convoyinfo_6105	WorldNpc10902	44522
6106	Convoy44545	26-44545	2	26	convoyinfo_6106	WorldNpc06907	44545
6107	Convoy44550	26-44550	2	26	convoyinfo_6107	WorldNpc06910	44550
6108	Convoy44554		3	26	convoyinfo_6108	WorldNpc06911	44554
6109	Convoy44561	26-44561	2	26	convoyinfo_6109	WorldNpc06912	44561
6110	Convoy44570	26-44570	2	26	convoyinfo_6110	WorldNpc07002	44570
6130	Convoy44200	19-44200	2	19	convoyinfo_6130	WorldNpc02115	44200
6131	Convoy44204	19-44204	2	19	convoyinfo_6131	WorldNpc02117	44204
6132	Convoy44205		2	19	convoyinfo_6132	WorldNpc02116	44205
6133	Convoy44208	19-44208	2	19	convoyinfo_6133	WorldNpc02119	44208
6134	Convoy44209		2	19	convoyinfo_6134	WorldNpc02113	44209
6150	Convoy44434		3	6	convoyinfo_6150	WorldNpc03038	44434
6151	Convoy44441		3	6	convoyinfo_6151	WorldNpc03137	44441
6152	Convoy44478		3	2	convoyinfo_6152	WorldNpc09403	44478
6170	Convoy44253	20-44253	2	20	convoyinfo_6170	WorldNpc06666	44253
6171	Convoy44258		2	20	convoyinfo_6171	WorldNpc06667	44258
6200	Convoy44293	16-44293	3	16	convoyinfo_6200	WorldNpc10052	44293
6201	Convoy44294		3	16	convoyinfo_6201		44294
6206	Convoy44337		3	16	convoyinfo_6206	WorldNpc10057;WorldNpc10058;WorldNpc10066	44337
6207	Convoy44339	16-44339	3	16	convoyinfo_6207	WorldNpc10057;WorldNpc10058;WorldNpc10066	44339
6208	Convoy44344	16-44344	3	16	convoyinfo_6208	WorldNpc10057;WorldNpc10058;WorldNpc10066	44344
6209	Convoy44360	16-44360	3	16	convoyinfo_6209	WorldNpc10060;WorldNpc10061	44360
6212	Convoy44398			11	convoyinfo_6212		44398
6213	Convoy44399	11-44399		11	convoyinfo_6213		44399
6202	Convoy44308		3	13	convoyinfo_6202	WorldNpc08525	44308
6204	Convoy44319_1	6-44319	3	6	convoyinfo_6204_1		44319
6214	Convoy44061			6	convoyinfo_6214	WorldNpc03157	44061
6215	Convoy44082			6	convoyinfo_6215	WorldNpc03299	44082
6216	Convoy44038	6-44038		6	convoyinfo_6216	gb347	
6014	Convoy44015	6-44016		6	convoyinfo_6014	WorldNpc03300	44015
