STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
11005	Convoy36078	11-36078	3	11	convoyinfo_11005		
11021	Convoy36279		3	20	convoyinfo_11021		
11026	Convoy36342		3	11	convoyinfo_11026	WorldNpc04572	
11007	Convoy36110	11-36110	3	11	convoyinfo_11007	WorldNpc04558	36110
11008	Convoy36128		3	11	convoyinfo_11008		36128
11009	Convoy36132		3	11	convoyinfo_11009	WorldNpc04560	36132
11013	Convoy36195	12-36195	3	12	convoyinfo_11013	WorldNpc00386	36195
11016	Convoy36211	12-36211	3	12	convoyinfo_11016	WorldNpc00394	36211
11017	Convoy36220		3	12	convoyinfo_11017	WorldNpc00395	36220
11019	Convoy36258	20-36258	3	20	convoyinfo_11019	WorldNpc06618	36258
11020	Convoy36262		3	20	convoyinfo_11020	WorldNpc06619	36262
11024	Convoy36328		3	11	convoyinfo_11024	WorldNpc04432	36328
11025	Convoy36333		3	11	convoyinfo_11025		36333
11027	Convoy36362		3	16	convoyinfo_11027		36362
11043	Convoy36492		3	18	convoyinfo_11043	WorldNpc05384	36492
11044	Convoy36501		3	18	convoyinfo_11044		36501
11046	Convoy36525		3	18	convoyinfo_11046	WorldNpc05391	36525
11049	Convoy36573		3	26	convoyinfo_11049	WorldNpc06904	36573
11051	Convoy36150		3	11	convoyinfo_11051	WorldNpc04408	36150
11055	Convoy36319		3	17	convoyinfo_11055	WorldNpc09903	36319
11023	Convoy36305	17-36305	3	17	convoyinfo_11023	WorldNpc09902	36305
11047	Convoy36543	2-36543	3	2	convoyinfo_11047	WorldNpc09302	
11056	Convoy36562	11-36562	3	11	convoyinfo_11056	WorldNpc04431	36562
11057	Convoy36562_2		3	11	convoyinfo_11057	WorldNpc04433	36562
11050	Convoy36076	11-36076	3	11	convoyinfo_11050	WorldNpc04418	36076
11003	Convoy36034		3	11	convoyinfo_11003	WorldNpc04552	36034
11022	Convoy36286		3	20	convoyinfo_11022	WorldNpc06620	36286
11045	Convoy36511		3	18	convoyinfo_11045	WorldNpc05387	36511
11053	Convoy36252		3	20	convoyinfo_11053	WorldNpc06619	36252
11015	Convoy36207		3	12	convoyinfo_11015	WorldNpc00388	36207
11002	Convoy36023	11-36023	3	11	convoyinfo_11002		36023
11052	Convoy36189		3	17	convoyinfo_11052	WorldNpc09801	
11001	Convoy36013		3	11	convoyinfo_11001	WorldNpc04413	
11059	Convoy36019			11	convoyinfo_11059	WorldNpc04802	36019
11060	Convoy36021	11-36021		11	convoyinfo_11060	WorldNpc04551	36021
11061	Convoy36027			11	convoyinfo_11061	WorldNpc04553	
11058	Convoy36003	11-36003		11	convoyinfo_11058	WorldNpc04736	36003
