STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
8003	Convoy48038	8-48038	3	8	convoyinfo_8003	WorldNpc03822	48038
8005	Convoy48053	8-48053	3	8	convoyinfo_8005	WorldNpc03836	48053
8006	Convoy48076		3	8	convoyinfo_8006	WorldNpc03822	48076
8007	Convoy48081		3	8	convoyinfo_8007	WorldNpc03812	48081
8008	Convoy48137		3	8	convoyinfo_8008	WorldNpc03840	48137
8009	Convoy48159	17-48159	3	17	convoyinfo_8009	WorldNpc09802	48159
8010	Convoy48173	8-48173	3	8	convoyinfo_8010	WorldNpc03825	48173
8011	Convoy48086	8-48086	3	8	convoyinfo_8011	WorldNpc03837	48086
8012	Convoy48104		3	24	convoyinfo_8012	WorldNpc05103	48104
8013	Convoy48118		3	24	convoyinfo_8013	WorldNpc05103	48118
8014	Convoy48123		3	24	convoyinfo_8014	WorldNpc05103	48123
8015	Convoy48126		3	24	convoyinfo_8015	WorldNpc05102	48126
8016	Convoy48131		3	24	convoyinfo_8016	WorldNpc05103	48131
8017	Convoy48196	8-48196	3	8	convoyinfo_8017	WorldNpc04057	48196
8019	Convoy48228	8-48228	3	8	convoyinfo_8019	WorldNpc04008	48228
8020	Convoy48241		3	8	convoyinfo_8020	WorldNpc03834	48241
8021	Convoy48246	11-48246	3	8	convoyinfo_8021	WorldNpc04439	48246
8025	Convoy48322	8-48322	3	8	convoyinfo_8025		48322
8026	Convoy48328		3	8	convoyinfo_8026	WorldNpc03932	48328
8028	Convoy48346		3	8	convoyinfo_8028	WorldNpc03823	48346
8029	Convoy48352	7-48352	3	7	convoyinfo_8029	WorldNpc03316	48352
8030	Convoy48361	8-48361	3	8	convoyinfo_8030	WorldNpc03824	48361
8031	Convoy48363	8-48363	3	8	convoyinfo_8031	WorldNpc03824	48363
8032	Convoy48365	8-48365	3	8	convoyinfo_8032	WorldNpc03824	48365
8033	Convoy48406		3	3	convoyinfo_8033	WorldNpc03810	48406
8034	Convoy48415		3	8	convoyinfo_8034	WorldNpc03825	48415
8050	Convoy48421	14-48421	3	14	convoyinfo_8050	WorldNpc01299	48421
8052	Convoy48434	12-48434	3	12	convoyinfo_8052	WorldNpc00232	48434
8053	Convoy48438	12-48438	3	12	convoyinfo_8053	WorldNpc00489	48438
8070	Convoy48477	8-48477	3	8	convoyinfo_8070	WorldNpc03816	48477
8071	Convoy48480	9-48480	3	9	convoyinfo_8071	WorldNpc02431	48480
8072	Convoy48487		3	8	convoyinfo_8072	WorldNpc03938	48487
8073	Convoy48522		3	8	convoyinfo_8073	WorldNpc03939	48522
8074	Convoy48530		3	5	convoyinfo_8074	WorldNpc04320	48530
8027	Convoy48336	7-48336	3	7	convoyinfo_8027	WorldNpc03453	48336
8024	Convoy48266		3	2	convoyinfo_8024	WorldNpc09206	48266
8018	Convoy48200		3	8	convoyinfo_8018	WorldNpc03808	
8022	Convoy48251	2-48251	3	2	convoyinfo_8022	WorldNpc09305	
8023	Convoy48259	2-48259	3	2	convoyinfo_8023		
8004	Convoy48046	8-48046	3	8	convoyinfo_8004	WorldNpc03925	48046
8051	Convoy48428	14-48428	3	14	convoyinfo_8051	WorldNpc01701	48428
8001	Convoy48001		3	8	convoyinfo_8001	WorldNpc03826	
8002	Convoy48018		3	8	convoyinfo_8002	WorldNpc03856	
8076	Convoy48010			8	convoyinfo_8076	WorldNpc03826	48010
8075	Convoy48012	8-48012	3	8	convoyinfo_8075		
8077	Convoy48011	8-48011		8	convoyinfo_8077	WorldNpc03810	48011
8078	Convoy48015	8-48015		8	convoyinfo_8078	WorldNpc03820	48015
8079	Convoy48018			8	convoyinfo_8079		48022
