STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
32600			3	2	convoyinfo_32600		
32601			3	2	convoyinfo_32601		
32602			3	2	convoyinfo_32602		
32603			3	2	convoyinfo_32603		
32604			3	2	convoyinfo_32604		
32605			3	2	convoyinfo_32605		
32606			3	2	convoyinfo_32606		
32607			3	2	convoyinfo_32607		
32608			3	2	convoyinfo_32608		
32609			3	2	convoyinfo_32609		
32610			3	2	convoyinfo_32610		
32611			3	2	convoyinfo_32611		
32612			3	2	convoyinfo_32612		
32613			3	2	convoyinfo_32613		
32614			3	2	convoyinfo_32614		
32615			3	2	convoyinfo_32615		
32616			3	2	convoyinfo_32616		
32617			3	2	convoyinfo_32617		
