STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
10006	Convoy40042_2	10-40042	2	10	convoyinfo_10006		
10015	Convoy40050		3	10	convoyinfo_40150	WorldNpc02689	
10016	Convoy40064		3	10	convoyinfo_40064	WorldNpc02607	
10017							
10018							
10019							
10020							
10203	Convoy40315			17	convoyinfo_10203		
10205	Convoy40348		3	13	convoyinfo_10205	WorldNpc11003	
10007	Convoy40100_1		3	10	convoyinfo_40100_1	WorldNpc02687	40100
10008	Convoy40100_2	10-40100	3	10	convoyinfo_40100_2	WorldNpc02687	40100
10009	Convoy40112		3	17	convoyinfo_10009	WorldNpc09601	40112
10010	Convoy40121	14-40121	3	14	convoyinfo_10010	WorldNpc01612	40121
10011	Convoy40124		3	14	convoyinfo_10011	WorldNpc01615	40124
10013	Convoy40134		3	14	convoyinfo_10013	WorldNpc01610	40134
10014	Convoy40135		3	10	convoyinfo_10014	WorldNpc02687	40135
10190	Convoy40244	10-40244	3	10	convoyinfo_10190	WorldNpc02613	40244
10191	Convoy40253		3	10	convoyinfo_10191	WorldNpc02704	40253
10192	Convoy40256	21-40256	3	21	convoyinfo_10192	WorldNpc05807	40256
10206	Convoy40349		3	13	convoyinfo_10206	WorldNpc11003	40349
10251	Convoy40401		3	13	convoyinfo_10251	WorldNpc08942	40401
10252	Convoy40402		3	13	convoyinfo_10252	WorldNpc08944	40402
10253	Convoy40412	13-40412	3	13	convoyinfo_10253	WorldNpc08946	40412
10254	Convoy40414	13-40414	3	13	convoyinfo_10254	WorldNpc08947	40414
10255	Convoy40424	13-40424	3	13	convoyinfo_10255	WorldNpc08948;WorldNpc08949;WorldNpc08950	40424
10256	Convoy40532		3	10	convoyinfo_10256	WorldNpc02719	40532
10257	Convoy40547		3	19	convoyinfo_10257	WorldNpc02043	40547
10258	Convoy40485		3	5	convoyinfo_10258	WorldNpc04229	40485
10259	Convoy40488	5-40488	3	5	convoyinfo_10259	WorldNpc04231	40488
10261	Convoy40509		3	5	convoyinfo_10261	WorldNpc04226;WorldNpc04227	40509
10260	Convoy40499		3	5	convoyinfo_10260		
10262	Convoy40207			10	convoyinfo_10262	WorldNpc02720	40207
10264	Convoy40184			10	convoyinfo_10264	WorldNpc02625	40184
10200	Convoy40290			17	convoyinfo_10200	WorldNpc09794	40290
10263	Convoy40171	10-40171		10	convoyinfo_10263	WorldNpc02635	
10202	Convoy40300		3	17	convoyinfo_10202	WorldNpc09958	
10204	Convoy40318			17	convoyinfo_10204		
10001	Convoy40004	10-40004	3	10	convoyinfo_10001	WorldNpc02610	
10250	Convoy40390		3	10	convoyinfo_10250	WorldNpc02629	
10266	Convoy40171	10-40171		10	convoyinfo_10266	WorldNpc02635	40171
10012	Convoy40125		3	14	convoyinfo_10012	WorldNpc01615	40125
10207	Convoy40360		3	16	convoyinfo_10207	WorldNpc10050	40360
10201	Convoy40296			17	convoyinfo_10201	WorldNpc09796	40296
10265	Convoy40004	10-40004		10	convoyinfo_10265	WorldNpc02610	
10267	Convoy40075	10-40075		10	convoyinfo_10267		40075
10004	Convoy40018		3	10	convoyinfo_10004	WorldNpc02682	
10002	Convoy40006		3	10	convoyinfo_10002	WorldNpc02681	40017
10268	Convoy40028			10	convoyinfo_10268	WorldNpc02684	
10005	Convoy40042_1	10-40041	3	10	convoyinfo_10005	WorldNpc02684	40041
