STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
9001	Convoy50008		1	9	convoyinfo_9001	WorldNpc02239	50008
9002	Convoy50015	9-50015	1	9	convoyinfo_9002	WorldNpc02246	50015
9003	Convoy50030	9-50030	1	9	convoyinfo_9003	WorldNpc02247	50030
9004	Convoy50047		1	9	convoyinfo_9004	WorldNpc02252	50047
9005	Convoy50069	9-50069	0	9	convoyinfo_9005	WorldNpc02236	50069
9006	Convoy50079		0	9	convoyinfo_9006	WorldNpc02242	50079
9008	Convoy50099	9-50099	3	9	convoyinfo_9008	WorldNpc02230	50099
9009	Convoy50164	17-50164	3	17	convoyinfo_9009	WorldNpc09804	50164
9010	Convoy50197	1-50197	3	1	convoyinfo_9010	WorldNpc00036	50197
9011	Convoy50206	1-50206	3	1	convoyinfo_9011	WorldNpc00040	50206
9012	Convoy50209	1-50209	3	1	convoyinfo_9012	WorldNpc00036	50209
9013	Convoy50217	1-50217	3	1	convoyinfo_9013	FuncNpc00004	50217
9014	Convoy50227	1-50227	3	1	convoyinfo_9014	WorldNpc00043	50227
9015	Convoy50253		0	9	convoyinfo_9015	WorldNpc02254	50253
9016	Convoy50265		0	9	convoyinfo_9016	WorldNpc02255	50265
9017	Convoy50272		0	9	convoyinfo_9017	WorldNpc02256	50272
9018	Convoy50283		0	21	convoyinfo_9018	WorldNpc05805	50283
9019	Convoy50297	16-50297	3	16	convoyinfo_9019	WorldNpc10021	50297
9021	Convoy50326	16-50326	0	16	convoyinfo_9021	WorldNpc10029;WorldNpc10035	50326
9022	Convoy50327		0	16	convoyinfo_9022	WorldNpc10035	50327
9023	Convoy50334	16-50334	0	16	convoyinfo_9023	WorldNpc10035	50334
9024	Convoy50339		3	9	convoyinfo_9024	WorldNpc02222	50339
9025	Convoy50354	10-50354	3	10	convoyinfo_9025	WorldNpc02904	50354
9026	Convoy50365	10-50365	3	10	convoyinfo_9026	WorldNpc02602	50365
9028	Convoy50377	9-50377	3	9	convoyinfo_9028	WorldNpc02203	50377
9029	Convoy50379	9-50379	3	9	convoyinfo_9029	WorldNpc02204	50379
9030	Convoy50415		3	7	convoyinfo_9030	WorldNpc03423	50415
9031	Convoy50426		3	7	convoyinfo_9031	WorldNpc03424	50426
9032	Convoy50440		3	9	convoyinfo_9032	WorldNpc02202	50440
9033	Convoy50452		3	2	convoyinfo_9033	WorldNpc09307	50452
9035	Convoy50463		3	9	convoyinfo_9035	WorldNpc02259	50463
9036	Convoy50466		3	9	convoyinfo_9036	WorldNpc02202	50466
9039	Convoy50491	20-50491	0	20	convoyinfo_9039	WorldNpc06608	50491
9043	Convoy50515		0	9	convoyinfo_9043	WorldNpc02264	50515
9044	Convoy50538		3	9	convoyinfo_9044	WorldNpc02204	50538
9045	Convoy50547		3	26	convoyinfo_9045	WorldNpc06902	50547
9046	Convoy50561		3	9	convoyinfo_9046	WorldNpc02205	50561
9027	Convoy50367		3	9	convoyinfo_9027	WorldNpc02203	
9047	Convoy50574		3	9	convoyinfo_9047	WorldNpc02205	
9020	Convoy50306		0	16	convoyinfo_9020	WorldNpc10026	50306
9037	Convoy50471		0	9	convoyinfo_9037	WorldNpc02203	
