STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
1	Convoy300	401-300		401	convoyinfo_1		300
2	Convoy301	401-301		401	convoyinfo_2		301
3	Convoy302	401-302		401	convoyinfo_3		302
4	Convoy303	401-303		401	convoyinfo_4		303
5	Convoy304	401-304		401	convoyinfo_5		304
6	Convoy305	401-305		401	convoyinfo_6		305
7	Convoy306	401-306		401	convoyinfo_7		306
8	Convoy307	401-307		401	convoyinfo_8		307
9	Convoy308	401-308		401	convoyinfo_9		308
10	Convoy309	401-309		401	convoyinfo_10		309
11	Convoy310	401-310		401	convoyinfo_11		310
12	Convoy311	401-311		401	convoyinfo_12		311
13	Convoy312	401-312		401	convoyinfo_13		312
14	Convoy313	401-313		401	convoyinfo_14		313
15	Convoy314	401-314		401	convoyinfo_15		314
16	Convoy315	401-315		401	convoyinfo_16		315
17	Convoy316	401-316		401	convoyinfo_17		316
18	Convoy317	401-317		401	convoyinfo_18		317
19	Convoy318	401-318		401	convoyinfo_19		318
20	Convoy319	401-319		401	convoyinfo_20		319
21	Convoy320	401-320		401	convoyinfo_21		320
22	Convoy321	401-321		401	convoyinfo_22		321
23	Convoy322	401-322		401	convoyinfo_23		322
24	Convoy323	401-323		401	convoyinfo_24		323
25	Convoy324	401-324		401	convoyinfo_25		324
26	Convoy325	401-325		401	convoyinfo_26		325
27	Convoy326	401-326		401	convoyinfo_27		326
28	Convoy327	401-327		401	convoyinfo_28		327
29	Convoy328	401-328		401	convoyinfo_29		328
30	Convoy329	401-329		401	convoyinfo_30		329
31	Convoy330	401-330		401	convoyinfo_31		330
32	Convoy331	401-331		401	convoyinfo_32		331
33	Convoy332	401-332		401	convoyinfo_33		332
34	Convoy333	401-333		401	convoyinfo_34		333
35	Convoy334	401-334		401	convoyinfo_35		334
36	Convoy335	401-335		401	convoyinfo_36		335
37	Convoy336	401-336		401	convoyinfo_37		336
38	Convoy337	401-337		401	convoyinfo_38		337
39	Convoy338	401-338		401	convoyinfo_39		338
40	Convoy339	401-339		401	convoyinfo_40		339
41	Convoy340	401-340		401	convoyinfo_41		340
42	Convoy341	401-341		401	convoyinfo_42		341
43	Convoy342	401-342		401	convoyinfo_43		342
