STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
12055	Convoy2009	12-2009	1				
12007	Convoy38045	12-38045	1	12	convoyinfo_12007	WorldNpc00385	38045
12008	Convoy38053	12-38053	3	12	convoyinfo_12008	WorldNpc00383	38053
12009	Convoy38066	12-38066	3	12	convoyinfo_12009	WorldNpc00391	38066
12010	Convoy38131		3	12	convoyinfo_12010	WorldNpc00272	38131
12012	Convoy38166		3	12	convoyinfo_12012	WorldNpc00208	38166
12014	Convoy38228	16-38228	3	16	convoyinfo_12014	WorldNpc10010	38228
12015	Convoy38234		3	16	convoyinfo_12015	WorldNpc10015	38234
12017	Convoy38248	12-38248	3	12	convoyinfo_12017	WorldNpc00204	38248
12018	Convoy38254		3	12	convoyinfo_12018	WorldNpc00204	38254
12019	Convoy38283	2-38283	3	2	convoyinfo_12019	WorldNpc09303	38283
12020	Convoy38287		3	2	convoyinfo_12020	WorldNpc09301	38287
12021	Convoy38302	14-38302	3	14	convoyinfo_12021	WorldNpc01230	38302
12022	Convoy38311		3	14	convoyinfo_12022	WorldNpc01308	38311
12025	Convoy38338	13-38338	3	13	convoyinfo_12025	WorldNpc08913	38338
12028	Convoy38353	13-38353	3	13	convoyinfo_12028	WorldNpc08914	38353
12031	Convoy38376	13-38376	3	13	convoyinfo_12031	WorldNpc08922	38376
12037	Convoy38406	13-38406	3	13	convoyinfo_12037	WorldNpc08831	38406
12040	Convoy38451		3	2	convoyinfo_12040	WorldNpc09201	38451
12043	Convoy38471	14-38471	0	14	convoyinfo_12043		38471
12044	Convoy38479		3	14	convoyinfo_12044	WorldNpc01457	38479
12045	Convoy38484	9-38484	3	9	convoyinfo_12045	WorldNpc02509	38484
12046	Convoy38491	9-38491	3	9	convoyinfo_12046	WorldNpc02510	38491
12049	Convoy38519	9-38519	3	9	convoyinfo_12049	WorldNpc02517	38519
12050	Convoy38523		3	9	convoyinfo_12050	WorldNpc02515	38523
12052	Convoy38550	21-38550	3	21	convoyinfo_12052	WorldNpc05797	38550
12053	Convoy38564		3	21	convoyinfo_12053	WorldNpc05798	38564
12054	Convoy38570	10-38570	3	10	convoyinfo_12054	WorldNpc02602	38570
12048	Convoy38515	9-38515	3	9	convoyinfo_12048	WorldNpc02511	38515
12001	Convoy38008	12-38008	1	12	convoyinfo_12001	WorldNpc00473	
12002	Convoy38012	12-38012	0	12	convoyinfo_12002		
12003	Convoy38015		1	12	convoyinfo_12003	WorldNpc00365	
12004	Convoy38019	12-38019	1	12	convoyinfo_12004	WorldNpc00462	
12005	Convoy38022		1	12	convoyinfo_12005	WorldNpc00359	
12006	Convoy38025		1	12	convoyinfo_12006	WorldNpc00365	
12056	Convoy38006	12-38006	3	12	convoyinfo_12056	WorldNpc00473	38006
