STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
41643	Convoy86200	5-86200	3	11	convoyinfo_86200	WorldNpc04603	86200
41644	Convoy86201	5-86201	3	11	convoyinfo_86201	WorldNpc04603	86201
41645	Convoy86202	5-86202	3	11	convoyinfo_86202	WorldNpc04603	86202
41646	Convoy86203	5-86203	3	11	convoyinfo_86203	WorldNpc04603	86203
41647	Convoy86204	5-86204	3	11	convoyinfo_86204	WorldNpc04603	86204
41648	Convoy86205	5-86205	3	11	convoyinfo_86205	WorldNpc04603	86205
41649	Convoy86206	5-86206	3	11	convoyinfo_86206	WorldNpc04603	86206
41650	Convoy86207	5-86207	3	11	convoyinfo_86207	WorldNpc04603	86207
41651	Convoy86208	5-86208	3	11	convoyinfo_86208	WorldNpc04603	86208
41652	Convoy86209	5-86209	3	11	convoyinfo_86209	WorldNpc04603	86209
41653	Convoy86210	5-86210	3	11	convoyinfo_86210	WorldNpc04603	86210
41654	Convoy86211	5-86211	3	11	convoyinfo_86211	WorldNpc04603	86211
41655	Convoy86212	5-86212	3	11	convoyinfo_86212	WorldNpc04603	86212
41656	Convoy86213	5-86213	3	11	convoyinfo_86213	WorldNpc04603	86213
41657	Convoy86214	5-86214	3	11	convoyinfo_86214	WorldNpc04603	86214
41658	Convoy86215	5-86215	3	11	convoyinfo_86215	WorldNpc04603	86215
41659	Convoy86216	5-86216	3	11	convoyinfo_86216	WorldNpc04603	86216
41660	Convoy86217	5-86217	3	11	convoyinfo_86217	WorldNpc04603	86217
41661	Convoy86218	5-86218	3	11	convoyinfo_86218	WorldNpc04603	86218
41662	Convoy86219	5-86219	3	11	convoyinfo_86219	WorldNpc04603	86219
41663	Convoy86220	5-86220	3	11	convoyinfo_86220	WorldNpc04603	86220
41664	Convoy86221	5-86221	3	11	convoyinfo_86221	WorldNpc04603	86221
41665	Convoy86222	5-86222	3	11	convoyinfo_86222	WorldNpc04603	86222
41666	Convoy86223	5-86223	3	11	convoyinfo_86223	WorldNpc04603	86223
41667	Convoy86224	5-86224	3	11	convoyinfo_86224	WorldNpc04603	86224
41668	Convoy86225	5-86225	3	11	convoyinfo_86225	WorldNpc04603	86225
41669	Convoy86226	5-86226	3	11	convoyinfo_86226	WorldNpc04603	86226
41670	Convoy86227	5-86227	3	11	convoyinfo_86227	WorldNpc04603	86227
41671	Convoy86228	5-86228	3	11	convoyinfo_86228	WorldNpc04603	86228
41672	Convoy86229	5-86229	3	11	convoyinfo_86229	WorldNpc04603	86229
41673	Convoy86230	5-86230	3	11	convoyinfo_86230	WorldNpc04603	86230
41674	Convoy86231	5-86231	3	11	convoyinfo_86231	WorldNpc04603	86231
41675	Convoy86232	5-86232	3	11	convoyinfo_86232	WorldNpc04603	86232
41676	Convoy86233	5-86233	3	11	convoyinfo_86233	WorldNpc04603	86233
41677	Convoy86234	5-86234	3	11	convoyinfo_86234	WorldNpc04603	86234
41678	Convoy86235	5-86235	3	11	convoyinfo_86235	WorldNpc04603	86235
41679	Convoy86236	5-86236	3	11	convoyinfo_86236	WorldNpc04603	86236
41680	Convoy86237	5-86237	3	11	convoyinfo_86237	WorldNpc04603	86237
41681	Convoy86238	5-86238	3	11	convoyinfo_86238	WorldNpc04603	86238
41682	Convoy86239	5-86239	3	11	convoyinfo_86239	WorldNpc04603	86239
41683	Convoy86240	5-86240	3	11	convoyinfo_86240	WorldNpc04603	86240
41684	Convoy86241	5-86241	3	11	convoyinfo_86241	WorldNpc04603	86241
41685	Convoy86242	5-86242	3	11	convoyinfo_86242	WorldNpc04603	86242
