STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	PathID	HideType	SceneID	TrackInfo	HideNpcID	TaskID
41814	Convoy86400	5-86400	3	11	convoyinfo_86400	WorldNpc04603	
41815	Convoy86401	5-86401	3	11	convoyinfo_86401	WorldNpc04603	
41816	Convoy86402	5-86402	3	11	convoyinfo_86402	WorldNpc04603	
41817	Convoy86403	5-86403	3	11	convoyinfo_86403	WorldNpc04603	
41818	Convoy86404	5-86404	3	11	convoyinfo_86404	WorldNpc04603	
41819	Convoy86405	5-86405	3	11	convoyinfo_86405	WorldNpc04603	
41820	Convoy86406	5-86406	3	11	convoyinfo_86406	WorldNpc04603	
41821	Convoy86407	5-86407	3	11	convoyinfo_86407	WorldNpc04603	
41822	Convoy86408	5-86408	3	11	convoyinfo_86408	WorldNpc04603	
41823	Convoy86409	5-86409	3	11	convoyinfo_86409	WorldNpc04603	
41824	Convoy86410	5-86410	3	11	convoyinfo_86410	WorldNpc04603	
41825	Convoy86411	5-86411	3	11	convoyinfo_86411	WorldNpc04603	
41826	Convoy86412	5-86412	3	11	convoyinfo_86412	WorldNpc04603	
41827	Convoy86413	5-86413	3	11	convoyinfo_86413	WorldNpc04603	
41828	Convoy86414	5-86414	3	11	convoyinfo_86414	WorldNpc04603	
41829	Convoy86415	5-86415	3	11	convoyinfo_86415	WorldNpc04603	
41830	Convoy86416	5-86416	3	11	convoyinfo_86416	WorldNpc04603	
41831	Convoy86417	5-86417	3	11	convoyinfo_86417	WorldNpc04603	
41832	Convoy86418	5-86418	3	11	convoyinfo_86418	WorldNpc04603	
41833	Convoy86419	5-86419	3	11	convoyinfo_86419	WorldNpc04603	
41834	Convoy86420	5-86420	3	11	convoyinfo_86420	WorldNpc04603	
41835	Convoy86421	5-86421	3	11	convoyinfo_86421	WorldNpc04603	
41836	Convoy86422	5-86422	3	11	convoyinfo_86422	WorldNpc04603	
41837	Convoy86423	5-86423	3	11	convoyinfo_86423	WorldNpc04603	
41838	Convoy86424	5-86424	3	11	convoyinfo_86424	WorldNpc04603	
41839	Convoy86425	5-86425	3	11	convoyinfo_86425	WorldNpc04603	
41840	Convoy86426	5-86426	3	11	convoyinfo_86426	WorldNpc04603	
41841	Convoy86427	5-86427	3	11	convoyinfo_86427	WorldNpc04603	
41842	Convoy86428	5-86428	3	11	convoyinfo_86428	WorldNpc04603	
41843	Convoy86429	5-86429	3	11	convoyinfo_86429	WorldNpc04603	
41844	Convoy86430	5-86430	3	11	convoyinfo_86430	WorldNpc04603	
41845	Convoy86431	5-86431	3	11	convoyinfo_86431	WorldNpc04603	
41846	Convoy86432	5-86432	3	11	convoyinfo_86432	WorldNpc04603	
41847	Convoy86433	5-86433	3	11	convoyinfo_86433	WorldNpc04603	
41848	Convoy86434	5-86434	3	11	convoyinfo_86434	WorldNpc04603	
41849	Convoy86435	5-86435	3	11	convoyinfo_86435	WorldNpc04603	
41850	Convoy86436	5-86436	3	11	convoyinfo_86436	WorldNpc04603	
41851	Convoy86437	5-86437	3	11	convoyinfo_86437	WorldNpc04603	
41852	Convoy86438	5-86438	3	11	convoyinfo_86438	WorldNpc04603	
41853	Convoy86439	5-86439	3	11	convoyinfo_86439	WorldNpc04603	
41854	Convoy86440	5-86440	3	11	convoyinfo_86440	WorldNpc04603	
41855	Convoy86441	5-86441	3	11	convoyinfo_86441	WorldNpc04603	
41856	Convoy86442	5-86442	3	11	convoyinfo_86442	WorldNpc04603	
