NPC编号	ini注释名称	对象类型	NPC类型	实力包编号	级别	修为经验	怪物强度	掉落	掉落数量	走路速度	跑步速度	武器持握方式	是否转身	模型编号	模型半径	图片	npc声音	材质类型	脚本编号	技能表	AI类型	主动被动	响应范围	锁定位移攻击	选择操作	拾取权限清空时间	无拾取物消失时间	最大消失时间	刷新时间	触发特效	巡逻模式	巡逻半径	路径ID	是否随机出现	武器名称	武器类型	出生状态	表现AI包编号	NPC种类ID	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	空闲状态对话	进入战斗对话	脱离战斗对话	死亡对话	召唤对话	受到伤害状态对话	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻击防御比重	防御概率	"战斗频率,毫秒"	无法被硬直	锁定技能间隔	召唤类型	召唤ID	召唤半径	表演概率	表演时间	"追击范围,米"	只关心距离脱离战斗	附加随机能力编号	普通攻击	势力归属	势力关系表	AI编辑包	直接触发	NPC可战斗设置	动作集	存在时间	缩放尺寸	格挡类型
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	script	NpcType	PowerNo	Level	FacultyExp	BossLevel	DropID	DropCount	WalkSpeed	RunSpeed	WeaponMode	NeedRotate	Resource	CollideRadius	Photo	ActionSoundMode	Material	LuaScript	table@SkillRec	AITemplate	NotPositive	SpringRange	Fixed	SelectState	PickChangeTime	DestroyTime1	DestroyTime2	RefreshTime	SpringEffect	PatrolMode	PatrolRange	PathID	RandomBorn	WeaponName	WeaponType	table@BornActionRec	AIParaNo	CKindID	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	FreeTalk	BeginFightTalk	EndFightTalk	DieTalk	SummonTalk	BeAttackTalk	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIParrayRate	AIFightFreq	CantBeStick	SkillHoldTime	CallHelpType	CallHelpID	CallHelpRange	ShowRate	ShowTime	ChaseRange	OnlyCareDistance	AddPropID	NormalSkill	SelfForceID	table@ForceRec	AIEditorPackID	DirectSpring	DirectSpring	ActionSet	LifeTime	Scale	ParrayID
	//锦衣卫BOSS-school01																																																																															
bosssw_final_jyw	最终BOSS（皇甫遥）	BossNpc	4	98	42		4			1.25	5	blade3_1		npc\worldnpc1118	0.943237	icon\funcnpc\worldnpc036.png			npc\clone\schoolwar5\bosssw_final_jyw.lua	"sw_jyw_0101,1,30;sw_jyw_0102,1,30;sw_jyw_0103,1,30;sw_jyw_0104,1,30"	7			1	2	8	60	40	-1						b_r_npcitem024			1																						1000	1	1000	0					50	1			1111	"1110,0"	1866	1	1				
bosssw_zhenfa_jyw01	神机营指挥使	BossNpc	3	96	42		3			1.25	5	blade2_1		npc\monster290	0.885	icon\monster\monster290.png			npc\clone\schoolwar5\bosssw_zhenfa_jyw01.lua	"sw_jyw_0201,1,0;sw_jyw_0202,1,0;sw_jyw_0203,1,0"	7			1	2	8	60	40	-1						gb_r_npcitem201			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jyw01	药品据点BOSS（王逍）	BossNpc	3	96	42		3			1.25	5	blade3_1		npc\worldnpc792	0.885	icon\monster\monster290.png			npc\clone\schoolwar5\bosssw_judian_jyw01.lua	"sw_jyw_0301,1,0;sw_jyw_0302,1,0;sw_jyw_0303,1,0"	7			1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_judian_jyw02	刷兵据点BOSS（诸葛英）	BossNpc	3	96	42		3			1.25	5	blade1_2		npc\monster382	0.93	icon\monster\monster382.png			npc\clone\schoolwar5\bosssw_judian_jyw02.lua	"sw_jyw_0401,1,0;sw_jyw_0402,1,0;sw_jyw_0403,1,0"	7			1	2	8	60	40	-1						b_r_npcitem309			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
bosssw_fu_jyw01	副BOSS（慕容魏玉）	BossNpc	3	96	42		3			1.25	5	blade2_2		npc\worldnpc078	0.97	icon\funcnpc\worldnpc078.png			npc\clone\schoolwar5\bosssw_fu_jyw01.lua	"sw_jyw_0501,1,0;sw_jyw_0502,1,0;sw_jyw_0503,1,0"	7			1	2	8	60	40	-1						b_r_npcitem154			1																						1500	1	1000	0					50	1			1111	"1110,0"	1526	1	1				
																																																																																
																																																																																
