NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	npc声音	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	身份参数00000000'01	身份参数2	身份参数3	对话规则	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	进入切磋前对话	结束切磋后对话	空闲状态对话	碰撞时对话	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	落脚点	驿站	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	运镖编号	是否有帮派仓库	所属帮会地块编号	AI编辑包	是否可见	缩放比例	刷新时间	直接触发	防御概率属性	是否预载入	缩放比例	据点属性
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	int
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	CollideRadius	Photo	BornAction	ActionSoundMode	Material	WeaponName	CKindID	LuaScript	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	OriginPara1	OriginPara2	OriginPara3	NpcTalkRule	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	BeginQiecuoTalk	EndQiecuoTalk	FreeTalk	KnockTalk	table@CondHandleIDRec	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	HomePoint	TransFuncID	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	EscortID	GuildDepotFunc	DomainID	AIEditorPackID	Invisible	Scale	RefreshTime	DirectSpring	AIParrayRate	Preload	Scale	PointIndex
	//机关NPC																																																																																																													
	//锦衣卫-school01																																																																																																													
SWJG_jyw_01	CommonNpc	木栅栏			172								npc\fbmac00007		icon\funcnpc\fbmac00007.png						npc\clone\schoolwar5\SWJG_jyw_01.lua							100																																																																																		
SWJG_jyw_02	CommonNpc	门			76	2	2						npc\fbmac005004		icon\funcnpc\fbmac004001.png						npc\clone\schoolwar5\SWJG_jyw_02.lua							100																						116	20		1			1		1																						1111																									-1			1		
SWJG_jyw_03	CommonNpc	门			76	2	2						npc\fbmac005004		icon\funcnpc\fbmac004001.png						npc\clone\schoolwar5\SWJG_jyw_03.lua							100																						116	20		1			1		1																						1111																									-1			1		
																																																																																																														
																																																																																																														
																																																																																																														
