NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	NPC对话类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	恩怨响应包编号			建筑耐久	建筑可修缮耐久	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	对话规则	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	是否有帮派仓库	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	主功能类型	主功能类型	是否是门牌	公会功能类型	相关属性包	对应等级	所属帮会地块编号	AI编辑包	直接触发	npc功能分类	是否预载入	脱战回血	NPC优先显示新增属性	模型字体	模型厚度	模型颜色	模型缩放	建造时间	外观替换	BUFF表	血量表	侧旗配置表	复活点配置表	王旗归属	检测范围	上高度差	下高度差	偏向最大时间	旗帜冷却最大时间	人数差阀值	归属战场	积分参数1-给玩家增加的积分	积分参数1-给阵营增加的积分	阵营1占领模型	阵营1占领模型
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	NpcTalkType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	CollideRadius	Photo	BornAction	Material	WeaponName	CKindID	LuaScript	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	KarmaID	KarmaCoefID	KarmaMatchingID	GuildBuildEndure	GuildBuildRepairingEndure	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	TransFuncID	NpcTalkRule	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	GuildDepotFunc	table@CondHandleIDRec	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	MainType	SubType	IsDoor	GuildFuncType	AttributeBag	FuncLevel	DomainID	AIEditorPackID	DirectSpring	MenuFuncType	PreLoad	RecoverType	RefreshAtonce	ModelFont	ModelExtrusion	ModelColor	Scale	GuildStriveBuildBase	table@GuildStriveResourceRec	table@GuildStriveBuffRec	table@GuildStriveHpRec	table@GuildFlagSideRec	table@GuildFlagReliveRec	GuildFlagDomain	LdfRange	LdfHeight	LdfHeight2	LdfDevTimeMax	LdfCoolTimeMax	LdfNumDiffMax	LdfWarType	LdfScoreParam1	LdfScoreParam2	LdfRes1	LdfRes2
	//新帮会战NPC																																																																																																																																		
NewGuildWar_FlagNpc_001	GuildFlagNpc	大王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									1404										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_001,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_001,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_001,0.262194,-6.520756,230.515895,3.575;NewGuildWar_ReliveNpc_atk_001,-124.409949,-7.042294,172.27684,2.04"	1404											
NewGuildWar_FlagNpc_002	GuildFlagNpc	大王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									1703										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_002,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_002,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_002,35.906284,-6.851412,211.465062,-3.178;NewGuildWar_ReliveNpc_atk_002,-72.299977,-6.42194,176.732041,-2.693"	1703											
NewGuildWar_FlagNpc_003	GuildFlagNpc	大王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									1301										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_003,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_003,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_003,24.660635,-4.305628,244.387395,-2.723;NewGuildWar_ReliveNpc_atk_003,-115.553867,-6.714602,169.624823,2.04"	1301											
NewGuildWar_FlagNpc_004	GuildFlagNpc	王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									101										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_004,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_004,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_004,23.776381,-5.386002,232.78485,-2.253;NewGuildWar_ReliveNpc_atk_004,-122.691747,-7.036722,172.211454,-4.533"	101											
NewGuildWar_FlagNpc_005	GuildFlagNpc	王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									302										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_005,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_005,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_005,8.47826,-8.533994,238.891048,4.025;NewGuildWar_ReliveNpc_atk_005,-91.390479,-3.310398,193.924832,1.75"	302											
NewGuildWar_FlagNpc_006	GuildFlagNpc	王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									402										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_006,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_006,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_006,7.623543,-6.376707,234.210218,4.025;NewGuildWar_ReliveNpc_atk_006,-123.124044,-7.043865,174.323654,1.75"	402											
NewGuildWar_FlagNpc_007	GuildFlagNpc	王旗			757		2	2			0	0		npc\itemnpc1597						0			0	0	0			5																																				3	1					1								-1																									503										"1.5,1.5,1.5"	90	"0,npc\itemnpc1597;1,npc\itemnpc1597_c_side;2,npc\itemnpc1597_side;3,npc\itemnpc1597_c;4,npc\itemnpc1597"	"0,buf_newguild_flagHP_shp_001;1,buf_newguild_flagHP_shp_002;2,buf_newguild_flagHP_shp_003;3,buf_newguild_flagHP_shp_004;4,buf_newguild_flagHP_shp_005"	"0,10000;1,750;2,7500;3,10000;4,10000"	"NewGuildWar_SideFlag_007,-23.113,-3.01,50.628,0,buf_newguild_flag_shp_002;NewGuildWar_SideFlag_n_007,23.502,-3.01,51.319,0,buf_newguild_flag_shp_003"	"NewGuildWar_ReliveNpc_atk_007,16.745266,-6.101183,229.279115,-2.253;NewGuildWar_ReliveNpc_atk_007,-112.893855,-6.833,171.472196,-4.048001"	503											
