NPC编号	对象类型	ini注释名称	NPC乞讨信息	表现AI包编号	NPC类型	NPC对话类型	选择操作	鼠标形状	停留时间	是否转身	走路速度	跑步速度	武器持握方式	模型编号	模型半径	图片	出生状态	组成材料	武器名称	NPC种类ID	脚本编号	触发特效	AI类型	巡逻模式	巡逻半径	路径ID	是否随机出现	响应范围	门派	称号	籍贯	阵营	名字表序号	生平表序号	生平	能否切磋	随机对话	下棋玩家的最小等级	NPC身上挂的棋谱包	NPC事件包编号	恩怨响应包编号			建筑耐久	商店ID	洗红名功能	仓库ID	职业ID	宝石游戏NPC ID	接任务表	交任务表	可以加入的门派表	可获得的身份表	复活点	驿站	对话规则	输入关系包编号	是否有公会功能	帮派地块购买	是否有门派战功能	是否有帮派仓库	AI条件执行编码表	实力包编号	级别	修为经验	怪物强度	掉落	武器类型	锁定位移攻击	拾取权限清空时间	无拾取物消失时间	最大消失时间	附加随机能力编号	普通攻击	技能表	主动被动	固定NPC重生时间	敌人NPC编号表	队友编号	能否攻击	能不能被攻击	不能被杀死	攻防比重	"战斗频率,毫秒"	"追击范围,米"	无法被硬直	锁定技能间隔	召唤ID	召唤半径	召唤类型	表演概率	表演时间	势力归属	势力关系表	战斗开始的召唤ID	主功能类型	主功能类型	是否是门牌	公会功能类型	相关属性包	对应等级	所属帮会地块编号	AI编辑包	直接触发	npc功能分类	NPC优先显示	随机商店ID
STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	script	Name	NpcBegInfo	AIParaNo	NpcType	NpcTalkType	SelectState	CursorShape	StopTime	NeedRotate	WalkSpeed	RunSpeed	WeaponMode	Resource	CollideRadius	Photo	BornAction	Material	WeaponName	CKindID	LuaScript	SpringEffect	AITemplate	PatrolMode	PatrolRange	PathID	RandomBorn	SpringRange	School	Call	Hometown	Camp	SNameTable	StoryTable	Story	CanQiecuo	FreeTalk	LevelMin	table@Qipus	FeedBack	KarmaID	KarmaCoefID	KarmaMatchingID	GuildBuildEndure	ShopID	ClearPK	DepotID	Job	GemGameNpcID	table@TaskCanAccept	table@TaskCanSubmit	table@school_rec	table@OriginCanGet	RelivePos	TransFuncID	NpcTalkRule	RelationInputNo	GuildFunc	BuyGuildDomain	SchoolWarFunc	GuildDepotFunc	table@CondHandleIDRec	PowerNo	Level	FacultyExp	BossLevel	DropID	WeaponType	Fixed	PickChangeTime	DestroyTime1	DestroyTime2	AddPropID	NormalSkill	table@SkillRec	NotPositive	RefreshTime	table@EnemyNpcRec	FriendNpc	CantAttack	CantBeAttack	CantBeKilled	AttackRate	AIFightFreq	ChaseRange	CantBeStick	SkillHoldTime	CallHelpID	CallHelpRange	CallHelpType	ShowRate	ShowTime	SelfForceID	table@ForceRec	SummonIDBeginFight	MainType	SubType	IsDoor	GuildFuncType	AttributeBag	FuncLevel	DomainID	AIEditorPackID	DirectSpring	MenuFuncType	RefreshAtonce	SingleShopID
																																																																																																											
	// 帮会建筑NPC																																																																																																										
GuildBuildingNPC001	GuildBuildingNpc	练功台门牌		8	72		2	2			1.25	5		npc\worldnpc564		icon\funcnpc\worldnpc564.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				1	2	1				1701					
GuildBuildingNPC002	GuildBuildingNpc	练功台建筑		8	76		0	0			0	0		npc\1701_liangongtai						0			0	0	0			100																5000																																																				1	2	0				1701					
GuildBuildingNPC003	GuildBuildingNpc	聚义堂门牌		8	72		2	2			1.25	5		npc\worldnpc536		icon\funcnpc\worldnpc536.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				2	0	1				1701					
GuildBuildingNPC004	GuildBuildingNpc	聚义堂建筑		8	76		0	0			0	0		npc\1701_juyitang						0			0	0	0			100																5000																																																				2	0	0				1701					
GuildBuildingNPC005	GuildBuildingNpc	帮会议事厅门牌		8	72		2	2			1.25	5		npc\worldnpc312		icon\funcnpc\worldnpc312.png				0	npc\guild_npc_with_fire.lua		0	0	0			20																																																																				3	0	1				1701					
GuildBuildingNPC006	GuildBuildingNpc	帮会议事厅建筑		8	76		0	0			0	0		npc\1701_yishiting						0			0	0	0			100																5000																																																				3	0	0				1701					
