STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
86500	interact	58001	1	
86500	interact	58002	2	
86500	useitem	58001	3	
86501	interact	58003	1	
86501	interact	58004	2	
86501	special	101	3	
86502	interact	58005	1	
86502	interact	58006	2	
86502	special	102	3	
86504	interact	58009	1	
86504	useitem	58003	2	
86503	interact	58007	1	
86503	interact	58008	3	
86503	useitem	58002	4	
86503	collect	58001	2	
86505	special	231	1	
86506	special	232	1	
86507	special	233	1	
86508	special	234	1	
86509	special	235	1	
86510	hunter	58001	1	
86511	special	236	1	
86512	special	237	1	
86513	special	238	1	
86514	special	239	1	
86515	hunter	58002	1	
86516	special	240	1	
86517	hunter	58003	1	
86518	special	241	1	
86519	special	242	1	
86520	special	330	1	
86521	story	58001	1	
86521	interact	58011	2	
86521	special	360	3	
86522	story	58002	1	
86522	story	58003	2	
86522	story	58004	3	
86522	special	361	4	
86523	story	58005	1	
86523	interact	58012	2	
86523	collect	58010	3	
86523	interact	58013	4	
86523	story	58006	5	
86523	special	363	6	
86527	interact	58014	-1	3
86527	collect	58007	-1	3
86527	collect	58008	-1	3
86527	collect	58009	-1	3
86527	interact	58015	-1	3
86527	hunter	58004	-1	3
86527	interact	58016	-1	3
86527	special	304	-1	3
86527	interact	58017	-1	3
86527	special	622	-1	3
86528	interact	58018	1	
86528	story	58007	2	
86529	useitem	58004	-1	
86529	hunter	58005	-1	
86529	collect	58011	-1	
