STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
58501	story	83501	1	
58501	story	83502	2	
58505	story	83504	1	
58505	story	83505	2	
58506	story	83506	1	
58506	collect	83502	2	
58507	interact	83509	1	
58507	story	83507	2	
58508	interact	83510	1	
58509	story	83508	1	
58509	hunter	83501	2	
58509	story	83509	3	
58511	story	83510	1	
58512	story	83511	1	
58512	hunter	83502	2	
58512	story	83512	3	
58502	interact	83501	-1	4
58502	interact	83502	-1	4
58502	interact	83503	-1	4
58502	interact	83504	-1	4
58502	interact	83505	-1	4
58502	interact	83506	-1	4
58515	hunter	83503	1	
58515	interact	83513	2	
58515	collect	83503	3	
58510	interact	83511	1	
58514	interact	83512	1	
58514	story	83515	2	
58516	story	83516	1	
58518	useitem	83501	1	
58518	hunter	83504	2	
58518	interact	83514	3	
58519	story	83518	1	
58519	story	83519	2	
58522	hunter	83507	1	
58523	hunter	83508	1	
58525	hunter	83506	1	
58513	story	83513	1	
58513	interact	83516	2	
58524	hunter	83509	1	
58528	hunter	83510	-1	
58528	hunter	83511	-1	
58528	hunter	83512	-1	
58528	hunter	83513	-1	
58529	story	83524	1	
58530	interact	83517	1	
58530	story	83525	2	
58531	story	83526	1	
58526	story	83521	1	
58526	collect	83505	2	
58504	interact	83507	1	
58504	interact	83519	2	
58517	story	83517	1	
58517	interact	83521	2	
58520	interact	83522	1	
58503	story	83503	1	
58503	interact	83520	2	
58532	story	83527	1	
58533	interact	83524	1	
58533	interact	83525	2	
58533	interact	83526	3	
58534	story	83528	1	
58534	story	83529	1	
58534	story	83530	1	
58537	story	83533	1	
58538	collect	83508	1	
58538	story	83534	2	
58535	collect	83507	2	
58535	interact	83527	1	
58535	story	83532	3	
58536	collect	83509	1	
58536	story	83531	2	
58539	hunter	83518	1	
58539	story	83535	2	
58540	story	83536	1	
